child	parent	length
n8884		0.04556
n6970	n8884	0.22442
n5535	n6970	0.30762
35209	n5535	0.3243
n5534	n5535	0.01236
37046	n5534	0.17502
n5368	n5534	0.10059
n4995	n5368	0.02876
n4985	n4995	0.06513
17199	n4985	0.00329
7696	n4985	0.00295
14023	n4995	0.01529
n5367	n5368	0.01549
n5273	n5367	0.0151
n5038	n5273	0.10994
n5032	n5038	0.01187
34021	n5032	0.00296
34227	n5032	0.00014
35509	n5038	0.00906
n5267	n5273	0.03247
7991	n5267	0.01011
n5223	n5267	0.06123
5395	n5223	0.00569
n5222	n5223	0.00583
n5201	n5222	0.01711
n5187	n5201	0.00224
28433	n5187	0.00014
n5183	n5187	0.01869
2205	n5183	0.00294
7886	n5183	0.00294
n5200	n5201	0.00484
n5199	n5200	0.00708
n5195	n5199	0.00607
n5194	n5195	0.00014
34297	n5194	0.01488
26411	n5194	0.00323
7762	n5195	0.00014
n5198	n5199	0.00015
31292	n5198	0.00231
n5197	n5198	0.00342
13664	n5197	0.03095
27135	n5197	0.0227
7143	n5200	0.00015
n5220	n5222	0.00195
30759	n5220	0.01191
n5215	n5220	0.00064
15389	n5215	0.01188
n5214	n5215	0.00011
19817	n5214	0.02954
n5212	n5214	0.0203
35058	n5212	0.00906
37085	n5212	0.0089
n5359	n5367	0.0915
35155	n5359	0.01909
23222	n5359	0.04605
n6969	n6970	0.03081
n6661	n6969	0.22643
n6660	n6661	0.00562
29409	n6660	0.00016
n6659	n6660	0.00156
n6655	n6659	0.01567
14682	n6655	0.00014
n6654	n6655	0.00016
1718	n6654	0.0085
12012	n6654	0.00014
n6658	n6659	0.02276
31071	n6658	0.01019
n6657	n6658	0.00557
27862	n6657	0.00396
n6656	n6657	0.00015
27854	n6656	0.00428
22578	n6656	0.00014
30409	n6661	0.01191
n6952	n6969	0.06206
25606	n6952	0.06267
14753	n6952	0.04442
n8883	n8884	0.02902
n8304	n8883	0.05416
29951	n8304	0.05118
n8303	n8304	0.00346
23087	n8303	0.01327
3080	n8303	0.00283
22045	n8883	0.14956
