child	parent	length
n2		0
35209	n2	0.30303
n2812	n2	0.05583
n2813	n2812	0.01236
37046	n2813	0.17502
n4725	n2813	0.10059
n4729	n4725	0.02876
n4808	n4729	0.06513
17199	n4808	0.00329
7696	n4808	0.00295
14023	n4729	0.01529
n4867	n4725	0.01549
n4869	n4867	0.0151
n4909	n4869	0.10994
n4911	n4909	0.01187
34021	n4911	0.00296
34227	n4911	0.00014
35509	n4909	0.00906
n5192	n4869	0.03247
7991	n5192	0.01011
n5209	n5192	0.06123
5395	n5209	0.00569
n5211	n5209	0.00583
n5212	n5211	0.01711
n5213	n5212	0.00224
28433	n5213	0.00014
n5221	n5213	0.01869
2205	n5221	0.00294
7886	n5221	0.00294
n5224	n5212	0.00484
n5225	n5224	0.00708
n5226	n5225	0.00607
n5227	n5226	0.00014
34297	n5227	0.01488
26411	n5227	0.00323
7762	n5226	0.00014
n5243	n5225	0.00015
31292	n5243	0.00231
n5245	n5243	0.00342
13664	n5245	0.03095
27135	n5245	0.0227
7143	n5224	0.00015
n5255	n5211	0.00195
30759	n5255	0.01191
n5261	n5255	0.00064
15389	n5261	0.01188
n5263	n5261	0.00011
19817	n5263	0.02954
n5280	n5263	0.0203
35058	n5280	0.00906
37085	n5280	0.0089
n5519	n4867	0.0915
35155	n5519	0.01909
23222	n5519	0.04605
n10072	n2812	0.29432
n10073	n10072	0.03081
n10076	n10073	0.22643
n10077	n10076	0.00562
29409	n10077	0.00016
n10079	n10077	0.00156
n10080	n10079	0.01567
14682	n10080	0.00014
n10082	n10080	0.00016
1718	n10082	0.0085
12012	n10082	0.00014
n10085	n10079	0.02276
31071	n10085	0.01019
n10087	n10085	0.00557
27862	n10087	0.00396
n10089	n10087	0.00015
27854	n10089	0.00428
22578	n10089	0.00014
30409	n10076	0.01191
n10097	n10073	0.06206
25606	n10097	0.06267
14753	n10097	0.04442
n15639	n10072	0.23682
n15689	n15639	0.05416
29951	n15689	0.05118
n15691	n15689	0.00346
23087	n15691	0.01327
3080	n15691	0.00283
22045	n15639	0.14956
