child	parent	length
n8279		0.06496
n7783	n8279	0.10577
n7499	n7783	0.02359
19003	n7499	0.20047
n7498	n7499	0.02198
n6653	n7498	0.06911
n1638	n6653	0.0886
n1626	n1638	0.02267
24032	n1626	0.0168
n1625	n1626	0.01022
2680	n1625	0.01506
40453	n1625	0.00014
37897	n1638	0.03716
n5534	n6653	0.30455
n4060	n5534	0.19971
13953	n4060	0.00888
27175	n4060	0.0115
n5449	n5534	0.05184
n5222	n5449	0.17887
n5191	n5222	0.03566
37080	n5191	0.00616
12195	n5191	0.01191
n5219	n5222	0.00222
25341	n5219	0.01189
n5218	n5219	0.00011
n5216	n5218	0.00011
n5214	n5216	0.00026
n5209	n5214	0.00015
13628	n5209	0.0045
n5208	n5209	0.00336
19669	n5208	0.01205
n5206	n5208	0.00522
6724	n5206	0.11646
6839	n5206	0.01196
n5210	n5214	0.02058
17317	n5210	0.00685
24241	n5210	0.01132
3367	n5216	0.0119
n5217	n5218	0.00014
23605	n5217	0
24221	n5217	0
n5375	n5449	0.33273
16247	n5375	0.0007
38860	n5375	0.01263
17204	n7498	0.37245
924	n7783	0.21494
n8170	n8279	0.25353
n8152	n8170	0.02714
n8109	n8152	0.02998
2333	n8109	0.00014
30353	n8109	0.00014
n8151	n8152	0.0227
n8133	n8151	0.01385
3040	n8133	0.00627
6262	n8133	0.01101
14690	n8151	0.01735
n8157	n8170	0.03508
15134	n8157	0.00015
299	n8157	0.00633
