child	parent	length
n8921		0
n263	n8921	0.00014
n245	n263	0.00016
n7	n245	0.00189
n2	n7	0.00014
36021	n2	0.00601
36319	n2	0.00918
n6	n7	0.00016
21510	n6	0.00694
n5	n6	0.00735
12071	n5	0.02197
n3	n5	0.03138
11732	n3	0.00407
8510	n3	0.0074
n244	n245	0.00463
n21	n244	0.00016
n15	n21	0.0193
35255	n15	0.00014
n14	n15	0.01101
n8	n14	0.00632
28759	n8	0.00016
29327	n8	0.01293
n13	n14	0.00267
n11	n13	0.00754
8578	n11	0.00949
n10	n11	0.00015
n9	n10	0.00372
21184	n9	0.05679
31004	n9	0.0031
28554	n10	0.00948
n12	n13	0.00516
31202	n12	0.00686
35633	n12	0.0051
n20	n21	0.00262
29644	n20	0.00899
n19	n20	0.00014
24571	n19	0.00851
n18	n19	0.00015
n17	n18	0.00297
12493	n17	0.00598
39577	n17	0.00297
8424	n18	0.00899
n243	n244	0.00014
n45	n243	0.00011
n42	n45	0.00011
n28	n42	0.00595
n22	n28	0.00894
22297	n22	0.00299
34628	n22	0.00609
n27	n28	0.00016
13314	n27	0.00599
n26	n27	0.04075
29625	n26	0.00302
n25	n26	0.00016
34192	n25	0.01517
n23	n25	0.01361
15059	n23	0.02796
37390	n23	0.00902
n41	n42	0.00103
n40	n41	0.00076
n32	n40	0.00297
38036	n32	0.01204
n31	n32	0.00014
n29	n31	0.00299
16463	n29	0.00603
3055	n29	0.00896
n30	n31	0.00299
22821	n30	0.009
2892	n30	0.006
n39	n40	0.00017
n38	n39	0.00028
2348	n38	0.02038
n37	n38	0.00015
n33	n37	0.00469
22935	n33	0.01155
13744	n33	0.00473
n36	n37	0.01484
32217	n36	0.01239
n35	n36	0.02775
10687	n35	0.03306
22528	n35	0.02131
40800	n39	0.01208
8253	n41	0.00593
n44	n45	0.00293
8644	n44	0.009
n43	n44	0.00884
14942	n43	0.01215
8833	n43	0.00014
n242	n243	0.00016
18751	n242	0.00677
n241	n242	0.00014
n80	n241	0.00216
n79	n80	0.00142
n47	n79	0.00297
26277	n47	0.009
31893	n47	0.00895
n78	n79	0.0001
n76	n78	0.0001
n51	n76	0.0107
26971	n51	0.00894
n50	n51	0.00014
14844	n50	0.00893
n49	n50	0.00015
12474	n49	0.01509
n48	n49	0.01085
26269	n48	0.0119
38887	n48	0.0113
n75	n76	0.00291
n54	n75	0.0147
10129	n54	0.01794
n53	n54	0.00015
11829	n53	0.00895
n52	n53	0.00014
10889	n52	0.00896
32485	n52	0.01672
n74	n75	0.0001
n55	n74	0.00297
24289	n55	0.00896
25780	n55	0.009
n73	n74	0.00013
n72	n73	0.00254
n69	n72	0.00015
n57	n69	0.00335
40276	n57	0.00894
23971	n57	0.00913
n68	n69	0.00016
n60	n68	0.00225
16844	n60	0.00827
n59	n60	0.00014
20225	n59	0.00297
19312	n59	0.009
n67	n68	0.00011
n65	n67	0.00015
n62	n65	0.00016
22418	n62	0.00014
4264	n62	0.01353
n64	n65	0.00296
35098	n64	0.00896
28931	n64	0.00913
n66	n67	0.00296
21411	n66	0.00298
25801	n66	0.009
n71	n72	0.00225
20506	n71	0.00014
21312	n71	0.01425
29936	n73	0.01202
n77	n78	0.00298
18121	n77	0.01202
34300	n77	0.00899
19805	n80	0.012
n240	n241	0.00015
n236	n240	0.00015
n81	n236	0.00225
27748	n81	0.00899
9738	n81	0.00685
n235	n236	0.00015
n234	n235	0.00016
n83	n234	0.00281
21268	n83	0.00848
n82	n83	0.00299
1202	n82	0.00899
30481	n82	0.00597
n233	n234	0.00408
n231	n233	0.02426
n229	n231	0.00016
n87	n229	0.00409
n85	n87	0.0082
18580	n85	0.00585
n84	n85	0.00016
3383	n84	0.01251
