child	parent	length
n386		0.1533
n387	n386	0.00991
n503	n387	0.102
30168	n503	0.13005
6324	n503	0.04139
n1477	n387	0.23702
21274	n1477	0.01663
25234	n1477	0.01581
n2696	n386	0.03938
n2753	n2696	0.33559
21058	n2753	0.00016
10169	n2753	0.01282
n2756	n2696	0.00999
n2787	n2756	0.28673
19914	n2787	0.05129
2474	n2787	0.03381
n2812	n2756	0.03456
n2813	n2812	0.01236
n2925	n2813	0.03093
n2939	n2925	0.11247
20729	n2939	0.0088
1143	n2939	0.03852
n3255	n2925	0.03775
n3548	n3255	0.1734
12333	n3548	0.01469
6199	n3548	0.02749
n3686	n3255	0.02125
n3707	n3686	0.32062
n3708	n3707	0.02663
25348	n3708	0.03803
n3710	n3708	0.00373
24688	n3710	0.02925
30583	n3710	0.00817
n3714	n3707	0.05188
17724	n3714	0.04888
31086	n3714	0.00504
27522	n3686	0.14009
n4725	n2813	0.10059
n4729	n4725	0.02876
n4730	n4729	0.00289
n4731	n4730	0.00302
8075	n4731	0.01762
n4733	n4731	0.00959
15843	n4733	0.00043
n4742	n4733	0.00624
30842	n4742	0.00014
n4744	n4742	0.00015
28043	n4744	0.01194
38845	n4744	0.01882
n4750	n4730	0.00877
n4752	n4750	0.00032
26553	n4752	0.15094
24311	n4752	0.00588
3291	n4750	0.02717
24948	n4729	0.01529
n4867	n4725	0.01549
n4868	n4867	0.00908
n4869	n4868	0.00602
32646	n4869	0.03364
n4925	n4869	0.00732
n4926	n4925	0.01091
n4940	n4926	0.01956
n4941	n4940	0.00015
21070	n4941	0.01188
n4943	n4941	0.00015
n4944	n4943	0.00016
n4945	n4944	0.00545
n4946	n4945	0.00014
18873	n4946	0.04151
n4948	n4946	0.00012
16461	n4948	0.02371
n4950	n4948	0.00016
34487	n4950	0.01051
16780	n4950	0.01527
21282	n4945	0.00791
n4954	n4944	0.00015
n4955	n4954	0.00296
n4956	n4955	0.00013
n4957	n4956	0.00016
32935	n4957	0.00596
30288	n4957	0.00892
27025	n4956	0.00889
40502	n4955	0.00894
n4962	n4954	0.00015
26670	n4962	0.00455
n4964	n4962	0.00016
20154	n4964	0.0045
n4966	n4964	0.00014
n4967	n4966	0.00095
n4968	n4967	0.00075
n4969	n4968	0.00011
n4970	n4969	0.00295
23269	n4970	0.00889
n4972	n4970	0.00014
15608	n4972	0.00891
8063	n4972	0.01189
n4975	n4969	0.00358
21841	n4975	0.01188
n4977	n4975	0.00386
n4978	n4977	0.00686
27900	n4978	0.01426
5799	n4978	0.01255
n4981	n4977	0.0001
n4982	n4981	0.00283
34957	n4982	0.00898
n4984	n4982	0.00292
29454	n4984	0.00015
14852	n4984	0.0178
n4987	n4981	0.00092
n4988	n4987	0.00015
n4989	n4988	0.00014
n4990	n4989	0.00011
n4991	n4990	0.00295
n4992	n4991	0.00014
n4993	n4992	0.00295
n4994	n4993	0.00012
24481	n4994	0.00594
25370	n4994	0.01188
3365	n4993	0.00591
26728	n4992	0.0089
5599	n4991	0.00891
n5000	n4990	0.00015
n5001	n5000	0.00153
n5002	n5001	0.00156
n5003	n5002	0.00015
30749	n5003	0.0119
6182	n5003	0.0089
n5006	n5002	0.00016
15135	n5006	0.02742
17315	n5006	0.00884
20981	n5001	0.01478
n5010	n5000	0.00016
n5011	n5010	0.00014
n5012	n5011	0.00013
n5013	n5012	0.00015
n5014	n5013	0.00014
n5015	n5014	0.0001
n5016	n5015	0.00696
n5017	n5016	0.00022
n5018	n5017	0.00016
n5019	n5018	0.0001
n5020	n5019	0.00295
n5021	n5020	0.00014
n5022	n5021	0.00012
40253	n5022	0.00891
28738	n5022	0.00889
n5025	n5021	0.00014
26192	n5025	0.01189
31806	n5025	0.01188
31563	n5020	0.00888
n5029	n5019	0.00014
n5030	n5029	0.00295
n5031	n5030	0.00015
1536	n5031	0.00893
22191	n5031	0.00889
10853	n5030	0.00888
n5035	n5029	0.00015
n5036	n5035	0.00014
30015	n5036	0.01493
n5038	n5036	0.00015
n5039	n5038	0.00014
n5040	n5039	0.00015
n5041	n5040	0.00015
40805	n5041	0.01191
n5043	n5041	0.00022
n5044	n5043	0.00027
n5045	n5044	0.00048
n5046	n5045	0.00155
n5047	n5046	0.00158
14374	n5047	0.02107
n5049	n5047	0.00014
20133	n5049	0.00888
37338	n5049	0.01188
25173	n5046	0.01177
n5053	n5045	0.00016
n5054	n5053	0.00331
23661	n5054	0.00889
n5056	n5054	0.00015
9755	n5056	0.0089
30279	n5056	0.01003
n5059	n5053	0.01803
40010	n5059	0.00889
n5061	n5059	0.00016
15243	n5061	0.0089
34183	n5061	0.00014
n5064	n5044	0.00298
14927	n5064	0.0089
n5066	n5064	0.00016
n5067	n5066	0.00014
16078	n5067	0.0089
28829	n5067	0.00599
146	n5066	0.00889
n5071	n5043	0.00287
35266	n5071	0.00905
8514	n5071	0.01205
n5074	n5040	0.00295
3553	n5074	0.00891
13395	n5074	0.0089
n5077	n5039	0.00295
18753	n5077	0.00892
30182	n5077	0.00889
n5080	n5038	0.00295
n5081	n5080	0.00016
38701	n5081	0.00893
297	n5081	0.00891
n5084	n5080	0.00016
34636	n5084	0.00893
8285	n5084	0.0089
37710	n5035	0.0119
15811	n5018	0.01193
n5089	n5017	0.01057
n5090	n5089	0.00014
22619	n5090	0.00588
n5092	n5090	0.00014
31643	n5092	0.00302
n5094	n5092	0.00014
n5095	n5094	0.00015
4792	n5095	0.00938
2597	n5095	0.00875
n5098	n5094	0.0035
n5099	n5098	0.00712
3720	n5099	0.00893
39113	n5099	0.03666
33194	n5098	0.00597
16015	n5089	0.01196
n5104	n5016	0.01135
8604	n5104	0.00816
n5108	n5104	0.01036
29960	n5108	0.01713
n5110	n5108	0.02551
2716	n5110	0.0445
