child	parent	length
n2		0
n3	n2	0.0281
n4	n3	0.01405
n5	n4	0.00991
n41	n5	0.31924
16493	n41	0.00295
35946	n41	0.00015
38628	n5	0.41371
n2252	n4	0.02115
22094	n2252	0.23127
5451	n2252	0.32588
39574	n3	0.52834
n2812	n2	0.05583
n2813	n2812	0.01236
n2814	n2813	0.00882
n2925	n2814	0.02211
n2932	n2925	0.09147
n2939	n2932	0.021
1758	n2939	0.00605
n2975	n2939	0.00832
22010	n2975	0.01733
5661	n2975	0.0302
35017	n2932	0.04941
n3255	n2925	0.03775
n3304	n3255	0.02662
n3342	n3304	0.06625
n3355	n3342	0.02999
33749	n3355	0.00014
37560	n3355	0.00558
n3382	n3342	0.02088
n3399	n3382	0.02823
3087	n3399	0.00016
8691	n3399	0.09364
n3414	n3382	0.01442
12571	n3414	0.01127
4245	n3414	0.00015
23408	n3304	0.10133
n3686	n3255	0.02125
n3687	n3686	0.01968
n3695	n3687	0.08661
1508	n3695	0.19983
n3799	n3695	0.18793
25067	n3799	0.00343
18882	n3799	0.10131
26232	n3687	0.09323
7040	n3686	0.163
n4428	n2814	0.0273
31592	n4428	0.16191
11204	n4428	0.09852
n4617	n2813	0.01374
n4725	n4617	0.08685
n4727	n4725	0.0137
n4728	n4727	0.00676
n4730	n4728	0.01119
31392	n4730	0.058
n4750	n4730	0.00877
n4791	n4750	0.0031
12345	n4791	0.00014
5465	n4791	0.00293
18201	n4750	0.02707
n4825	n4728	0.11926
13029	n4825	0.00889
36881	n4825	0.00014
n4841	n4727	0.02113
2253	n4841	0.00014
39572	n4841	0.00014
n5518	n4725	0.09781
21248	n5518	0.05769
n5554	n5518	0.02422
29228	n5554	0.04486
8010	n5554	0.01127
n5721	n4617	0.10488
24689	n5721	0.04426
n5843	n5721	0.00805
11609	n5843	0.05059
n5845	n5843	0.05993
4456	n5845	0.00686
6933	n5845	0.00197
n5884	n2812	0.0518
38811	n5884	0.25899
n6092	n5884	0.09197
n6108	n6092	0.33969
n6109	n6108	0.00441
n6112	n6109	0.01692
n6113	n6112	0.00014
31087	n6113	0.00014
35278	n6113	0.00015
23929	n6112	0.10852
n6117	n6109	0.0094
19974	n6117	0.00593
35403	n6117	0.00285
8541	n6108	0.03427
n6728	n6092	0.09109
n6729	n6728	0.03609
n6736	n6729	0.09865
n6737	n6736	0.09622
25297	n6737	0.00014
35151	n6737	0.00014
n6741	n6736	0.13057
16398	n6741	0.00525
24835	n6741	0.00106
n6753	n6729	0.01267
n6754	n6753	0.02053
n6763	n6754	0.07344
n6764	n6763	0.02156
4975	n6764	0.06058
n6766	n6764	0.00015
27719	n6766	0.00016
5760	n6766	0.00014
n6769	n6763	0.01349
n6770	n6769	0.03766
10593	n6770	0.00014
3818	n6770	0.00312
n6773	n6769	0.00015
37889	n6773	0.00014
n6775	n6773	0.00337
11186	n6775	0.02159
6194	n6775	0.01279
n6778	n6754	0.0433
n6779	n6778	0.06233
40784	n6779	0.00014
40055	n6779	0.0003
n6784	n6778	0.0196
n6785	n6784	0.03244
n6786	n6785	0.04143
n6787	n6786	0.01999
n6789	n6787	0.04682
n6790	n6789	0.01634
n6791	n6790	0.02982
n6792	n6791	0.00783
24173	n6792	0.00483
29925	n6792	0.00014
n6795	n6791	0.00599
n6796	n6795	0.00026
24122	n6796	0.00014
29245	n6796	0.00909
17732	n6795	0.07435
26480	n6790	0.09523
n6805	n6789	0.01425
n6806	n6805	0.01779
