child	parent	length
n18		0.06713
31140	n18	0.51504
n78	n18	0.07212
n79	n78	0.00014
n82	n79	0.07229
n85	n82	0.06882
39915	n85	0.00238
19031	n85	0.05432
n100	n82	0.15732
11420	n100	0.30802
929	n100	0.33574
n103	n79	0.02556
n104	n103	0.03919
n110	n104	0.0999
13805	n110	0.02716
n119	n110	0.02113
10075	n119	0.007
755	n119	0.00923
n130	n104	0.07008
1014	n130	0.27426
21650	n130	0.17374
n137	n103	0.03572
n139	n137	0.23677
22503	n139	0.0769
4962	n139	0.04224
n149	n137	0.02607
n206	n149	0.03952
n207	n206	0.00014
40495	n207	0.42874
n228	n207	0.06012
n260	n228	0.2216
14971	n260	0.0163
n262	n260	0.00016
16360	n262	0.00014
33858	n262	0.00016
n270	n228	0.03424
26589	n270	0.13431
n272	n270	0.06414
18952	n272	0.01864
35661	n272	0.0125
n363	n206	0.23384
16447	n363	0.00014
39283	n363	0.00287
211	n149	0.10176
n386	n78	0.01405
n387	n386	0.00991
n388	n387	0.01085
n389	n388	0.01946
n390	n389	0.00648
n391	n390	0.09317
17487	n391	0.07739
n393	n391	0.05069
24404	n393	0.08284
n395	n393	0.0336
33878	n395	0.04154
n397	n395	0.01856
8700	n397	0.06479
n399	n397	0.00813
24059	n399	0.01556
32957	n399	0.01318
n404	n390	0.01778
n405	n404	0.02432
26379	n405	0.03812
n407	n405	0.06576
22412	n407	0.03172
7770	n407	0.01518
25064	n404	0.10449
n413	n389	0.01279
n414	n413	0.00033
n416	n414	0.27636
23020	n416	0.00217
24302	n416	0.00618
n426	n414	0.14422
n427	n426	0.0726
21444	n427	0.04701
n429	n427	0.00313
18930	n429	0.01845
8948	n429	0.01619
n432	n426	0.05673
n433	n432	0.00014
9557	n433	0.00014
n435	n433	0.01815
26111	n435	0.02149
38046	n435	0.00749
n438	n432	0.0139
22863	n438	0.01233
2760	n438	0.00014
n441	n413	0.00874
n442	n441	0.01327
n443	n442	0.00015
n444	n443	0.27343
210	n444	0.10174
n446	n444	0.02722
24314	n446	0.02191
n448	n446	0.00501
22701	n448	0.00909
n450	n448	0.01293
11094	n450	0.00016
35134	n450	0.01657
n453	n443	0.03288
n454	n453	0.06306
17076	n454	0.00568
17298	n454	0.00014
n457	n453	0.04556
n458	n457	0.00248
31443	n458	0.00267
35113	n458	0.05693
n461	n457	0.00015
n462	n461	0.00015
5803	n462	0.01757
n464	n462	0.0034
n465	n464	0.01615
n466	n465	0.02008
11439	n466	0
7162	n466	0
32388	n465	0.0537
n485	n464	0.03738
n492	n485	0.01201
17623	n492	0.00289
34676	n492	0.00291
37314	n485	0.01799
8454	n461	0.00014
n502	n442	0.02014
n503	n502	0.01675
n505	n503	0.01751
n506	n505	0.01497
n507	n506	0.011
n508	n507	0.02252
n509	n508	0.04968
39050	n509	0.01342
n511	n509	0.06441
17380	n511	0.03305
n513	n511	0.00016
40107	n513	0.02721
n515	n513	0.00016
15265	n515	0.01482
n517	n515	0.00294
7236	n517	0
14172	n517	0
n520	n508	0.19177
n521	n520	0.00257
32798	n521	0.01625
7633	n521	0.00863
n524	n520	0.00015
7850	n524	0.00014
40485	n524	0.01755
n527	n507	0.01678
12569	n527	0.02361
9955	n527	0.06025
26515	n506	0.1162
n533	n505	0.01418
n534	n533	0.02624
1222	n534	0.01488
9090	n534	0.03356
n537	n533	0.02095
n538	n537	0.00153
n539	n538	0.00324
5231	n539	0.00871
n543	n539	0.00295
27805	n543	0.01767
6782	n543	0.02075
n546	n538	0.00014
n547	n546	0.00243
28087	n547	0.02339
n553	n547	0.00432
n555	n553	0.0003
n556	n555	0.00015
