child	parent	length
n362		0.05001
n748	n362	0.04926
n1784	n748	0.16179
28660	n1784	0.01903
n1786	n1784	0.00594
18972	n1786	0.00014
35900	n1786	0.0049
n1935	n748	0.05691
n1938	n1935	0.03567
n1939	n1938	0.01382
n3388	n1939	0.13374
7111	n3388	0
3390	n3388	0
n3591	n1939	0.33494
n3596	n3591	0.01424
n3600	n3596	0.00369
24466	n3600	0.00345
30388	n3600	0.00936
n3604	n3596	0.00013
8374	n3604	0.00703
n3606	n3604	0.00191
16184	n3606	0.03135
6878	n3606	0.03671
n4124	n3591	0.00409
32229	n4124	0.00234
n4126	n4124	0.00014
33047	n4126	0.00733
n4137	n4126	0.00034
10146	n4137	0.0096
n4160	n4137	0.02672
2652	n4160	0.00559
22954	n4160	0.02854
n6720	n1938	0.15545
n6766	n6720	0.02804
n6797	n6766	0.01448
n6798	n6797	0.00747
n6854	n6798	0.0587
40476	n6854	0.11834
7670	n6854	0.17389
n6908	n6798	0.06168
n6958	n6908	0.11656
36487	n6958	0.00429
21357	n6958	0.00527
n7094	n6908	0.05872
5943	n7094	0.00014
1849	n7094	0.00016
n7262	n6797	0.15058
9653	n7262	0.00293
16705	n7262	0.00014
n7301	n6766	0.07032
n7302	n7301	0.0052
n7314	n7302	0.07661
16670	n7314	0.00246
n7316	n7314	0.00223
n7317	n7316	0.00015
16396	n7317	0.0073
n7319	n7317	0.00015
35949	n7319	0.00979
n7321	n7319	0.00016
n7322	n7321	0.01962
29047	n7322	0.0073
n7324	n7322	0.01233
20412	n7324	0.006
15407	n7324	0.12711
n7339	n7321	0.03683
n7340	n7339	0.08317
11766	n7340	0.02752
n7344	n7340	0.04981
19325	n7344	0.05937
6645	n7344	0.03358
n7347	n7339	0.0291
n7348	n7347	0.03737
11209	n7348	0.01464
n7352	n7348	0.05849
16154	n7352	0.05531
37316	n7352	0.03632
15378	n7347	0.07347
n7358	n7316	0.00014
24065	n7358	0.00481
n7364	n7358	0.02694
5121	n7364	0.00465
20166	n7364	0.01222
n7368	n7302	0.0029
n7445	n7368	0.0132
n7446	n7445	0.00014
21616	n7446	0.00489
n7448	n7446	0.01131
n7449	n7448	0.00088
n7450	n7449	0.00733
38743	n7450	0.01988
4900	n7450	0.00491
n7453	n7449	0.00011
n7454	n7453	0.00015
n7455	n7454	0.00019
n7465	n7455	0.00392
n7470	n7465	0.01829
15975	n7470	0.00483
n7472	n7470	0.00016
7235	n7472	0.00481
n7474	n7472	0.00016
28590	n7474	0.00482
30508	n7474	0.00578
n7482	n7465	0.00324
n7500	n7482	0.00043
n7509	n7500	0.00564
28631	n7509	0.00978
19503	n7509	0.00875
29267	n7500	0.01312
n7529	n7482	0.00327
n7530	n7529	0.00014
34019	n7530	0.0074
n7533	n7530	0.00032
4519	n7533	0.00675
36868	n7533	0.00745
n7539	n7529	0.00015
21384	n7539	0.00729
9373	n7539	0.01229
n7551	n7455	0.01339
n7552	n7551	0.00539
27054	n7552	0.00985
n7554	n7552	0.00042
n7555	n7554	0.00013
n7556	n7555	0.00244
31937	n7556	0.00738
28529	n7556	0.0049
n7559	n7555	0.01751
n7560	n7559	0.0001
n7561	n7560	0.00019
n7562	n7561	0.00326
3645	n7562	0.00656
36518	n7562	0.01237
n7565	n7561	0.00015
35689	n7565	0.00734
n7567	n7565	0.00547
n7568	n7567	0.00014
n7569	n7568	0.00223
9762	n7569	0.0049
n7573	n7569	0.01088
39125	n7573	0.04142
n7575	n7573	0.00037
21333	n7575	0.00593
n7577	n7575	0.00015
n7579	n7577	0.00028
n7580	n7579	0.00016
37222	n7580	0.00728
n7582	n7580	0.00015
n7583	n7582	0.00602
18852	n7583	0.00248
n7585	n7583	0.0183
35717	n7585	0.01202
n7587	n7585	0.00015
27931	n7587	0.00716
20105	n7587	0.00481
3953	n7582	0.04485
33659	n7579	0.00486
n7593	n7577	0.00726
34098	n7593	0.00015
36876	n7593	0.0075
n7598	n7568	0.00013
n7599	n7598	0.00207
15900	n7599	0.002
n7601	n7599	0.00015
30705	n7601	0.00767
34638	n7601	0.006
n7604	n7598	0.00163
n7605	n7604	0.00383
8461	n7605	0.00781
n7607	n7605	0.00284
40399	n7607	0.00285
21377	n7607	0.00244
n7610	n7604	0.00016
11259	n7610	0.002
37446	n7610	0.0098
n7613	n7567	0.00192
35064	n7613	0.00192
n7615	n7613	0.00015
36644	n7615	0.00488
n7617	n7615	0.00015
27217	n7617	0.00489
32505	n7617	0.00491
n7620	n7560	0.00244
14677	n7620	0.0049
3450	n7620	0.0049
n7623	n7559	0.00016
n7624	n7623	0.00199
40272	n7624	0.002
35401	n7624	0.00736
n7627	n7623	0.00014
n7628	n7627	0.00015
n7629	n7628	0.00244
5950	n7629	0.00488
n7631	n7629	0.00016
30765	n7631	0.00491
21310	n7631	0.00488
n7634	n7628	0.00015
n7635	n7634	0.00016
8916	n7635	0.00792
n7637	n7635	0.00893
16921	n7637	0.00485
n7639	n7637	0.00015
14500	n7639	0.00925
18187	n7639	0.00737
19382	n7634	0.00733
n7643	n7627	0.00249
2630	n7643	0.00755
36	n7643	0.0049
n7646	n7554	0.00729
n7647	n7646	0.00549
n7648	n7647	0.00077
n7649	n7648	0.00101
460	n7649	0.00718
n7651	n7649	0.001
n7652	n7651	0.00243
6474	n7652	0.00492
21719	n7652	0.00736
n7655	n7651	0.00015
30147	n7655	0.00191
n7657	n7655	0.00015
n7658	n7657	0.006
10573	n7658	0.00408
n7660	n7658	0.00536
12257	n7660	0.00533
34926	n7660	0.01135
5584	n7657	0.00487
n7664	n7648	0.00015
n7665	n7664	0.00015
n7666	n7665	0.00191
n7667	n7666	0.00016
39828	n7667	0.00488
n7669	n7667	0.00014
n7670	n7669	0.00014
16273	n7670	0.00489
33592	n7670	0.00489
n7673	n7669	0.00014
23201	n7673	0.00489
1674	n7673	0.0049
2862	n7666	0.00382
n7677	n7665	0.00015
n7678	n7677	0.00244
34446	n7678	0.00488
n7680	n7678	0.00015
28273	n7680	0.00489
16857	n7680	0.00489
n7683	n7677	0.00012
n7684	n7683	0.00016
n7685	n7684	0.00015
n7686	n7685	0.00014
n7687	n7686	0.00512
n7688	n7687	0.00244
7016	n7688	0.00721
34355	n7688	0.00258
n7691	n7687	0.00015
27425	n7691	0.0027
n7693	n7691	0.00494
3305	n7693	0.00257
n7695	n7693	0.00978
40632	n7695	0.01
16200	n7695	0.00489
n7698	n7686	0.00014
n7699	n7698	0.00015
n7700	n7699	0.00014
40303	n7700	0.00734
n7702	n7700	0.00016
n7703	n7702	0.00015
n7704	n7703	0.00015
28326	n7704	0.00736
n7706	n7704	0.00016
n7707	n7706	0.00016
n7708	n7707	0.00244
2560	n7708	0.00495
33909	n7708	0.00487
842	n7707	0.00729
n7712	n7706	0.00014
n7713	n7712	0.00014
1748	n7713	0.01331
n7715	n7713	0.00016
n7716	n7715	0.00016
n7717	n7716	0.00222
n7718	n7717	0.00223
n7719	n7718	0.00674
n7720	n7719	0.00201
4128	n7720	0.00595
n7723	n7720	0.01146
36135	n7723	0.04303
25521	n7723	0.00811
25866	n7719	0.00583
24137	n7718	0.00245
n7733	n7717	0.00016
13943	n7733	0.00488
23002	n7733	0.00488
19679	n7716	0.00393
n7737	n7715	0.00195
12954	n7737	0.00735
14073	n7737	0.00197
n7740	n7712	0.00015
n7741	n7740	0.00809
1723	n7741	0.00879
n7743	n7741	0.00292
7613	n7743	0.00702
n7747	n7743	0.00811
n7748	n7747	0.00608
8318	n7748	0.00783
9427	n7748	0.00587
14200	n7747	0.00782
30674	n7740	0.0073
n7757	n7703	0.00244
n7758	n7757	0.00015
8143	n7758	0.0049
20932	n7758	0.00734
16747	n7757	0.00488
29862	n7702	0.00981
n7763	n7699	0.00244
28620	n7763	0.00489
n7765	n7763	0.00015
36058	n7765	0.00489
10249	n7765	0.0049
5062	n7698	0.00383
n7769	n7685	0.00191
18146	n7769	0.00192
36905	n7769	0.00489
n7772	n7684	0.0019
n7773	n7772	0.00015
18351	n7773	0.00488
n7775	n7773	0.00014
491	n7775	0.00488
5311	n7775	0.00488
40350	n7772	0.00014
n7779	n7683	0.00015
n7780	n7779	0.00556
23177	n7780	0.00015
31833	n7780	0.00489
10446	n7779	0.00735
n7784	n7664	0.0019
19392	n7784	0.0049
27444	n7784	0.00192
n7787	n7647	0.00195
n7788	n7787	0.00015
3224	n7788	0.00727
12593	n7788	0.00491
35475	n7787	0.0079
n7792	n7646	0.00225
n7793	n7792	0.00015
n7794	n7793	0.00016
36852	n7794	0.00734
11298	n7794	0.00488
17845	n7793	0.00751
7087	n7792	0.0068
n7801	n7551	0.01554
n7802	n7801	0.00244
38357	n7802	0.0049
17993	n7802	0.0049
n7805	n7801	0.00094
n7806	n7805	0.00014
n7807	n7806	0.00192
6807	n7807	0.0078
14861	n7807	0.00736
n7810	n7806	0.00195
34209	n7810	0.00393
n7812	n7810	0.00014
33943	n7812	0.00488
34179	n7812	0.00488
n7815	n7805	0.00015
n7816	n7815	0.00243
n7817	n7816	0.00015
21949	n7817	0.00488
7012	n7817	0.00488
28093	n7816	0.00487
n7825	n7815	0.01927
30236	n7825	0.02043
n7829	n7825	0.00025
31745	n7829	0.00735
n7831	n7829	0.0001
n7832	n7831	0.0001
38786	n7832	0.00733
n7834	n7832	0.00011
25407	n7834	0.00734
n7836	n7834	0.00064
n7837	n7836	0.00014
n7838	n7837	0.00191
n7839	n7838	0.00014
4222	n7839	0.00742
6187	n7839	0.00488
13992	n7838	0.00381
n7843	n7837	0.00112
n7844	n7843	0.00244
17903	n7844	0.00489
1817	n7844	0.00489
n7847	n7843	0.0008
n7848	n7847	0.00016
n7849	n7848	0.00188
31174	n7849	0.00488
13825	n7849	0.00015
n7852	n7848	0.00015
n7853	n7852	0.00015
n7854	n7853	0.00014
30612	n7854	0.00735
n7856	n7854	0.00014
n7857	n7856	0.00014
37032	n7857	0.00744
n7859	n7857	0.01118
n7860	n7859	0.00015
2636	n7860	0.00488
n7862	n7860	0.02224
16500	n7862	0.00579
32873	n7862	0.01577
14154	n7859	0.00485
6650	n7856	0.00734
n7867	n7853	0.00244
n7868	n7867	0.00015
36969	n7868	0.00734
30291	n7868	0.00489
35734	n7867	0.00488
n7872	n7852	0.00242
17164	n7872	0.00491
18488	n7872	0.00493
n7875	n7847	0.00476
6744	n7875	0.00681
n7877	n7875	0.00014
29550	n7877	0.01144
35374	n7877	0.00489
28712	n7836	0.00738
n7881	n7831	0.00244
40474	n7881	0.00491
n7883	n7881	0.00014
36828	n7883	0.00489
13681	n7883	0.00488
26692	n7454	0.00489
30314	n7453	0.00243
2617	n7448	0.03251
2159	n7445	0.01785
n7938	n7368	0.23174
n7941	n7938	0.02248
24820	n7941	0.00495
n7943	n7941	0.00712
n7946	n7943	0.00712
13737	n7946	0.00484
n7950	n7946	0.01454
n7951	n7950	0.00014
13444	n7951	0.00722
14727	n7951	0.00725
n7954	n7950	0.00014
37778	n7954	0.00722
34502	n7954	0.025
n7957	n7943	0.00015
n7958	n7957	0.00014
38058	n7958	0.00497
30243	n7958	0.00481
17480	n7957	0.00481
31175	n7938	0.01466
n8337	n7301	0.0489
n8360	n8337	0.02365
9042	n8360	0.00014
22147	n8360	0.00014
n8413	n8337	0.04664
22744	n8413	0.01306
32404	n8413	0.01723
n8786	n6720	0.03288
35979	n8786	0.16749
n9703	n8786	0.06019
1635	n9703	0.2895
n10404	n9703	0.22971
6630	n10404	0.05057
33372	n10404	0.0156
15823	n1935	0.17235
n14219	n362	0.0723
n14265	n14219	0.43702
4523	n14265	0.03231
27179	n14265	0.01428
n14563	n14219	0.08585
n14564	n14563	0.02901
n14565	n14564	0.00603
35800	n14565	0.0046
34163	n14565	0.09295
n14570	n14564	0.00667
20009	n14570	0.00488
n14572	n14570	0.00014
23832	n14572	0.00488
27363	n14572	0.00488
n14575	n14563	0.02072
39351	n14575	0.01652
14642	n14575	0.01574
