child	parent	length
n8881		0.2935
n8173	n8881	0.04926
n2404	n8173	0.16179
28660	n2404	0.01903
n2403	n2404	0.00594
18972	n2403	0.00014
35900	n2403	0.0049
n7989	n8173	0.05691
n7167	n7989	0.03567
n4834	n7167	0.01382
n3196	n4834	0.13374
7111	n3196	0
3390	n3196	0
n3607	n4834	0.33494
n3475	n3607	0.01424
n3292	n3475	0.00369
24466	n3292	0.00345
30388	n3292	0.00936
n3474	n3475	0.00013
8374	n3474	0.00703
n3473	n3474	0.00191
16184	n3473	0.03135
6878	n3473	0.03671
n3582	n3607	0.00409
32229	n3582	0.00234
n3581	n3582	0.00014
33047	n3581	0.00733
n3578	n3581	0.00034
10146	n3578	0.0096
n3565	n3578	0.02672
2652	n3565	0.00559
22954	n3565	0.02854
n7140	n7167	0.15545
n5875	n7140	0.02804
n5138	n5875	0.01448
n5127	n5138	0.00747
n4933	n5127	0.0587
40476	n4933	0.11834
7670	n4933	0.17389
n5124	n5127	0.06168
n4971	n5124	0.11656
36487	n4971	0.00429
21357	n4971	0.00527
n5041	n5124	0.05872
5943	n5041	0.00014
1849	n5041	0.00016
n5128	n5138	0.15058
9653	n5128	0.00293
16705	n5128	0.00014
n5707	n5875	0.07032
n5574	n5707	0.0052
n5176	n5574	0.07661
16670	n5176	0.00246
n5175	n5176	0.00223
n5170	n5175	0.00015
16396	n5170	0.0073
n5169	n5170	0.00015
35949	n5169	0.00979
n5168	n5169	0.00016
n5158	n5168	0.01962
29047	n5158	0.0073
n5157	n5158	0.01233
20412	n5157	0.006
15407	n5157	0.12711
n5167	n5168	0.03683
n5161	n5167	0.08317
11766	n5161	0.02752
n5159	n5161	0.04981
19325	n5159	0.05937
6645	n5159	0.03358
n5166	n5167	0.0291
n5164	n5166	0.03737
11209	n5164	0.01464
n5162	n5164	0.05849
16154	n5162	0.05531
37316	n5162	0.03632
15378	n5166	0.07347
n5174	n5175	0.00014
24065	n5174	0.00481
n5172	n5174	0.02694
5121	n5172	0.00465
20166	n5172	0.01222
n5573	n5574	0.0029
n5449	n5573	0.0132
n5440	n5449	0.00014
21616	n5440	0.00489
n5439	n5440	0.01131
n5435	n5439	0.00088
n5217	n5435	0.00733
38743	n5217	0.01988
4900	n5217	0.00491
n5434	n5435	0.00011
n5433	n5434	0.00015
n5432	n5433	0.00019
n5259	n5432	0.00392
n5223	n5259	0.01829
15975	n5223	0.00483
n5222	n5223	0.00016
7235	n5222	0.00481
n5221	n5222	0.00016
28590	n5221	0.00482
30508	n5221	0.00578
n5254	n5259	0.00324
