child	parent	length
n12081		0.07734
37971	n12081	0.17566
n10978	n12081	0.19325
n8882	n10978	0.01412
19717	n8882	0.40057
n8624	n8882	0.01481
n8172	n8624	0.08236
n7989	n8172	0.01779
n7167	n7989	0.03567
5901	n7167	0.20931
n5875	n7167	0.18349
n5127	n5875	0.02195
n4925	n5127	0.18007
23861	n4925	0
12709	n4925	0
n4976	n5127	0.20149
14892	n4976	0.0023
29196	n4976	0.00243
n5738	n5875	0.06034
n5707	n5738	0.00998
n5574	n5707	0.0052
n5179	n5574	0.06179
15722	n5179	0.03411
n5175	n5179	0.01705
n5168	n5175	0.00046
n5156	n5168	0.03638
n5154	n5156	0.03498
n5151	n5154	0.02648
1931	n5151	0.01676
6936	n5151	0.06843
21904	n5154	0.00014
21514	n5156	0.03065
n5167	n5168	0.03683
8251	n5167	0.1601
n5166	n5167	0.0291
38054	n5166	0.13043
1782	n5166	0.2055
n5171	n5175	0.02937
29136	n5171	0.02014
9739	n5171	0.00736
n5573	n5574	0.0029
n5450	n5573	0.00699
8205	n5450	0.07663
n5439	n5450	0.01766
n5432	n5439	0.00133
n5264	n5432	0.00354
n5218	n5264	0.0025
24229	n5218	0.00759
26805	n5218	0.00736
n5263	n5264	0.00015
n5260	n5263	0.00011
n5219	n5260	0.00243
2109	n5219	0.00489
32808	n5219	0.00738
n5259	n5260	0.00012
n5220	n5259	0.00983
17414	n5220	0.0024
33105	n5220	0.00975
n5258	n5259	0.00015
n5257	n5258	0.00012
n5256	n5257	0.00266
11701	n5256	0.0098
n5255	n5256	0.00015
n5254	n5255	0.00016
n5245	n5254	0.00014
n5231	n5245	0.00014
n5229	n5231	0.00014
n5225	n5229	0.00197
8542	n5225	0.00513
38298	n5225	0.00191
n5228	n5229	0.00107
18729	n5228	0.00383
n5227	n5228	0.00076
16006	n5227	0.00199
n5226	n5227	0.00013
6431	n5226	0.00738
31567	n5226	0.00192
n5230	n5231	0.00014
23203	n5230	0.00378
34231	n5230	0.02291
n5244	n5245	0.00015
n5241	n5244	0.00014
n5238	n5241	0.00015
n5232	n5238	0.00014
2248	n5232	0
23229	n5232	0
n5237	n5238	0.00015
n5235	n5237	0.00014
15513	n5235	0.01571
26731	n5235	0.02371
n5236	n5237	0.00252
4676	n5236	0.00766
12655	n5236	0.0074
n5240	n5241	0.00191
10959	n5240	0.00736
22126	n5240	0.00578
n5243	n5244	0.00015
35826	n5243	0.00385
n5242	n5243	0.00015
32184	n5242	0.00567
10283	n5242	0.00978
n5253	n5254	0.00015
20269	n5253	0.01226
n5252	n5253	0.00297
n5247	n5252	0.0047
20787	n5247	0.00738
26073	n5247	0.00249
18085	n5252	0.002
25536	n5255	0.004
25482	n5257	0.00979
34133	n5258	0.00981
n5262	n5263	0.00685
24218	n5262	0.01978
n5261	n5262	0.00016
24730	n5261	0.01132
9641	n5261	0.01015
n5431	n5432	0.01339
n5387	n5431	0.00581
n5279	n5387	0.03495
11261	n5279	0.00976
n5276	n5279	0.00237
28269	n5276	0.0148
38034	n5276	0.01228
n5386	n5387	0.00729
n5352	n5386	0.00847
n5334	n5352	0.02
n5331	n5334	0.02005
38857	n5331	0.01606
26423	n5331	0.00337
23224	n5334	0.0156
n5348	n5352	0.01725
32589	n5348	0.01851
18895	n5348	0.04061
8195	n5386	0.01483
35100	n5431	0.05874
n5437	n5439	0.01382
35746	n5437	0.00209
n5436	n5437	0.01089
38634	n5436	0.01767
8373	n5436	0.00233
n5572	n5573	0.00015
n5468	n5572	0.20712
n5454	n5468	0.00785
16420	n5454	0.00755
34334	n5454	0.05061
n5460	n5468	0.05882
38943	n5460	0.02678
24022	n5460	0.02673
n5570	n5572	0.0257
22665	n5570	0.00014
2802	n5570	0.00014
n5702	n5707	0.0489
n5695	n5702	0.00396
n5691	n5695	0.01689
n5675	n5691	0.00404
31874	n5675	0.00408
n5674	n5675	0.00015
39401	n5674	0.00707
3612	n5674	0.00476
n5690	n5691	0.00516
n5676	n5690	0.00963
39106	n5676	0.00014
15190	n5676	0.00236
23144	n5690	0.02376
9538	n5695	0.02154
25858	n5702	0.07211
n5737	n5738	0.01037
n5733	n5737	0.01292
n5728	n5733	0.00533
n5727	n5728	0.0024
n5726	n5727	0.01934
n5709	n5726	0.00016
n5708	n5709	0.00016
3921	n5708	0.00969
604	n5708	0.01164
5573	n5709	0.00384
n5723	n5726	0.00044
n5715	n5723	0.00268
n5712	n5715	0.0003
n5710	n5712	0.00032
22293	n5710	0.01251
36361	n5710	0.01211
9805	n5712	0.00014
n5714	n5715	0.03429
14830	n5714	0.01284
15065	n5714	0.02326
n5721	n5723	0.00998
27739	n5721	0.00016
n5720	n5721	0.00486
n5719	n5720	0.03007
36713	n5719	0.02894
n5717	n5719	0.04921
23283	n5717	0.05826
33075	n5717	0.00542
34471	n5720	0.00015
34640	n5727	0.00762
7311	n5728	0.00517
9016	n5733	0.02576
n5736	n5737	0.02423
13040	n5736	0.00558
27795	n5736	0.0046
n7986	n7989	0.09824
n7427	n7986	0.05128
27340	n7427	0.06521
n7426	n7427	0.00156
969	n7426	0.08178
24468	n7426	0.0322
10885	n7986	0.17254
n8164	n8172	0.0294
34689	n8164	0.17248
n8062	n8164	0.15955
15329	n8062	0.00014
2115	n8062	0.01772
n8557	n8624	0.11688
n8549	n8557	0.02292
35291	n8549	0.09277
28843	n8549	0.03679
3852	n8557	0.0071
n10969	n10978	0.14302
72	n10969	0.02037
n10284	n10969	0.01494
39770	n10284	0.00246
n10283	n10284	0.00015
20565	n10283	0.00987
22965	n10283	0.00014
