child	parent	length
n12074		0.0816
n10978	n12074	0.18899
n8173	n10978	0.07217
n2307	n8173	0.18935
n2252	n2307	0.00308
n2239	n2252	0.00795
n2237	n2239	0.00014
24672	n2237	0.00746
40600	n2237	0.00749
n2238	n2239	0.00014
2353	n2238	0.00736
28035	n2238	0.00731
32321	n2252	0.02429
n2296	n2307	0.01054
36289	n2296	0.00735
n2295	n2296	0.00016
n2293	n2295	0.00015
n2292	n2293	0.00245
21283	n2292	0.00494
n2291	n2292	0.00016
18942	n2291	0.00482
11582	n2291	0.0073
18229	n2293	0.00734
6251	n2295	0.00751
n7167	n8173	0.09258
n3222	n7167	0.2919
36930	n3222	0.00687
n3221	n3222	0.01056
17416	n3221	0.00442
2646	n3221	0.00589
n5828	n7167	0.23996
n5707	n5828	0.01385
n5574	n5707	0.0052
n5149	n5574	0.09528
32705	n5149	0.0615
33754	n5149	0.00974
n5564	n5574	0.04026
13189	n5564	0.14129
n5560	n5564	0.0238
n5542	n5560	0.00335
27424	n5542	0.01234
n5541	n5542	0.0002
16490	n5541	0.01479
n5540	n5541	0.0001
n5530	n5540	0.00137
38736	n5530	0.01707
n5529	n5530	0.00671
40167	n5529	0.00688
2047	n5529	0.06675
n5539	n5540	0.00015
n5537	n5539	0.00014
n5531	n5537	0.02701
40554	n5531	0.01099
33947	n5531	0.04478
24172	n5537	0.00014
35226	n5539	0.01233
n5559	n5560	0.00205
17252	n5559	0.01189
n5558	n5559	0.00107
33747	n5558	0.00739
n5557	n5558	0.00281
n5555	n5557	0.00014
34652	n5555	0.01013
n5554	n5555	0.00015
n5553	n5554	0.00015
n5545	n5553	0.00669
4915	n5545	0.00244
36787	n5545	0.05334
n5552	n5553	0.00016
n5546	n5552	0.00016
23634	n5546	0.02146
37633	n5546	0.01221
n5551	n5552	0.00014
n5549	n5551	0.00014
5312	n5549	0.00383
n5548	n5549	0.00228
18738	n5548	0.00191
n5547	n5548	0.00672
18465	n5547	0.00244
37230	n5547	0.00993
n5550	n5551	0.00014
12199	n5550	0.00576
24595	n5550	0.00384
37473	n5554	0.00402
n5556	n5557	0.00246
7665	n5556	0.00496
10393	n5556	0.00733
n5702	n5707	0.0489
n5692	n5702	0.01875
n5666	n5692	0.01754
39165	n5666	0.00238
n5665	n5666	0.00238
40226	n5665	0.00477
n5664	n5665	0.00238
9080	n5664	0.00238
30539	n5664	0.00014
n5682	n5692	0.03993
17337	n5682	0.00014
32339	n5682	0.00014
39333	n5702	0.04722
n5770	n5828	0.08967
6985	n5770	0.00732
n5769	n5770	0.00016
18327	n5769	0.00488
n5768	n5769	0.00014
11415	n5768	0.00736
15708	n5768	0.00244
n10144	n10978	0.39246
11633	n10144	0.00014
28467	n10144	0.00015
n11577	n12074	0.3084
18782	n11577	0.00014
11957	n11577	0.02934
