child	parent	length
n2		0
n6	n2	0.04122
12269	n6	0.16451
n364	n6	0.03217
18144	n364	0.09843
n748	n364	0.02588
n753	n748	0.10383
n1616	n753	0.11901
35630	n1616	0.05884
19278	n1616	0.01104
n1639	n753	0.14955
21753	n1639	0.00817
33173	n1639	0.00409
n1936	n748	0.06512
n1938	n1936	0.02746
n1939	n1938	0.01382
29530	n1939	0.08426
n6528	n1939	0.14698
n6541	n6528	0.02454
26792	n6541	0.00014
37829	n6541	0.00015
n6546	n6528	0.0042
n6547	n6546	0.00905
19699	n6547	0.00209
33242	n6547	0.00461
11146	n6546	0.00889
n6720	n1938	0.15545
n7300	n6720	0.08838
n7301	n7300	0.00998
n7922	n7301	0.04546
37772	n7922	0.1152
n8078	n7922	0.0238
n8083	n8078	0.00365
4971	n8083	0.02997
n8091	n8083	0.00015
n8092	n8091	0.00014
n8095	n8092	0.0003
11414	n8095	0.00341
10643	n8095	0.00684
15747	n8092	0.00014
31370	n8091	0.02491
34598	n8078	0.03714
3169	n7301	0.09954
30596	n7300	0.06329
n8784	n6720	0.01198
n9595	n8784	0.27633
23067	n9595	0.00965
31571	n9595	0.00503
9726	n8784	0.36281
11101	n1936	0.39838
7500	n2	0.03687
