child	parent	length
n2		0
n6	n2	0.04122
n42	n6	0.051
31138	n42	0.40569
n81	n42	0.00137
n82	n81	0.01112
n163	n82	0.0918
2628	n163	0.00014
n165	n163	0.00015
8282	n165	0.01047
13119	n165	0.01198
n266	n82	0.02625
6315	n266	0.07079
29177	n266	0.00014
20985	n81	0.15873
n362	n6	0.00879
n364	n362	0.02338
n608	n364	0.15024
13572	n608	0.00239
32136	n608	0.01396
n1934	n364	0.065
n1935	n1934	0.01779
n1936	n1935	0.00821
n1938	n1936	0.02746
n1939	n1938	0.01382
n1940	n1939	0.01599
n1941	n1940	0.02585
n2096	n1941	0.07968
n2097	n2096	0.03214
n2098	n2097	0.02026
n2099	n2098	0.03186
n2100	n2099	0.0271
8497	n2100	0.01343
22475	n2100	0.01274
n2103	n2099	0.00852
40257	n2103	0.00014
19767	n2103	0.00557
18795	n2098	0.04287
n2107	n2097	0.0082
9649	n2107	0.02696
n2109	n2107	0.02183
n2110	n2109	0.00916
n2111	n2110	0.00572
12244	n2111	0.00014
n2113	n2111	0.00721
24656	n2113	0.08181
3681	n2113	0.00233
n2116	n2110	0.00295
22953	n2116	0.01792
19514	n2116	0.04534
20733	n2109	0.00506
37324	n2096	0.08471
n2326	n1941	0.04802
n2329	n2326	0.01791
19895	n2329	0.02765
24056	n2329	0.03886
5212	n2326	0.04474
n2526	n1940	0.06571
n2527	n2526	0.00228
n2528	n2527	0.00464
n2532	n2528	0.07082
n2533	n2532	0.01469
13115	n2533	0.00225
n2535	n2533	0.05224
40707	n2535	0.00208
34400	n2535	0.02703
33222	n2532	0.02392
n2548	n2528	0.00221
n2550	n2548	0.01778
n2551	n2550	0.00416
n2552	n2551	0.00049
n2554	n2552	0.00256
n2555	n2554	0.00013
32749	n2555	0.00482
n2557	n2555	0.0001
n2558	n2557	0.00015
n2559	n2558	0.0024
16138	n2559	0.00972
21305	n2559	0.0024
n2562	n2558	0.00012
n2563	n2562	0.00243
22587	n2563	0.00237
37454	n2563	0.03478
n2566	n2562	0.00014
n2567	n2566	0.00015
n2568	n2567	0.01083
7556	n2568	0.02403
33493	n2568	0.01018
n2571	n2567	0.00014
n2572	n2571	0.00014
n2573	n2572	0.00015
n2574	n2573	0.00015
n2575	n2574	0.00014
n2576	n2575	0.00015
n2577	n2576	0.00015
1668	n2577	0.01102
9264	n2577	0.0048
n2582	n2576	0.00127
n2583	n2582	0.00132
4255	n2583	0.00481
21758	n2583	0.00481
1092	n2582	0.00703
37662	n2575	0.00478
n2590	n2574	0.00016
n2591	n2590	0.00418
29662	n2591	0.00612
n2593	n2591	0.00015
24299	n2593	0.0072
n2595	n2593	0.00014
5883	n2595	0.00723
n2597	n2595	0.00015
37859	n2597	0.01209
n2599	n2597	0.00014
n2600	n2599	0.00254
17870	n2600	0.00014
n2602	n2600	0.00015
24127	n2602	0.00725
35787	n2602	0.01296
17707	n2599	0.00964
20082	n2590	0.00473
35480	n2573	0.00407
36459	n2572	0.00406
33996	n2571	0.00609
33435	n2566	0.01557
n2615	n2557	0.0024
15539	n2615	0.00481
17978	n2615	0.00481
19905	n2554	0.0048
38689	n2552	0.0048
n2621	n2551	0.00245
n2622	n2621	0.02557
n2623	n2622	0.03194
1693	n2623	0.07386
23230	n2623	0.00485
n2626	n2622	0.01796
39042	n2626	0.0535
n2628	n2626	0.01447
13391	n2628	0.01352
19445	n2628	0.01816
33745	n2621	0.00242
n2632	n2550	0.00011
n2633	n2632	0.00018
n2634	n2633	0.00148
n2635	n2634	0.00014
n2636	n2635	0.00016
n2637	n2636	0.00014
n2638	n2637	0.00015
n2639	n2638	0.0028
19166	n2639	0.00239
n2641	n2639	0.01128
n2642	n2641	0.00015
n2643	n2642	0.00473
16590	n2643	0.0046
38321	n2643	0.01447
7092	n2642	0.00469
n2647	n2641	0.00202
n2648	n2647	0.01023
n2649	n2648	0.01062
n2650	n2649	0.0149
3176	n2650	0.00462
n2652	n2650	0.01213
15704	n2652	0.01829
24665	n2652	0.00217
n2655	n2649	0.00015
n2656	n2655	0.00491
8605	n2656	0.01644
30834	n2656	0.01526
n2659	n2655	0.00255
39498	n2659	0.02562
29516	n2659	0.02916
n2662	n2648	0.00016
n2663	n2662	0.02066
n2664	n2663	0.01684
40192	n2664	0.00694
n2666	n2664	0.01484
18208	n2666	0.00446
20977	n2666	0.04976
8135	n2663	0.02777
6451	n2662	0.00753
1003	n2647	0.00467
n2672	n2638	0.0002
n2673	n2672	0.00019
9887	n2673	0.0048
n2676	n2673	0.00028
n2677	n2676	0.0002
n2678	n2677	0.00195
34601	n2678	0.01001
2358	n2678	0.0024
n2681	n2677	0.01703
n2682	n2681	0.01583
n2683	n2682	0.00015
n2684	n2683	0.00298
28415	n2684	0.00908
38127	n2684	0.00239
n2687	n2683	0.00015
n2688	n2687	0.00014
n2689	n2688	0.00014
10692	n2689	0.00722
n2693	n2689	0.00042
n2694	n2693	0.00026
19531	n2694	0.00495
33798	n2694	0.00967
n2699	n2693	0.00016
21217	n2699	0.00721
n2701	n2699	0.00015
247	n2701	0.0048
n2703	n2701	0.00015
n2704	n2703	0.00014
2188	n2704	0.0048
n2706	n2704	0.00066
n2707	n2706	0.01117
2030	n2707	0.0048
n2709	n2707	0.0001
n2710	n2709	0.0024
10351	n2710	0.0024
3072	n2710	0.00723
n2713	n2709	0.00015
n2714	n2713	0.00015
n2715	n2714	0.00532
n2716	n2715	0.00532
n2717	n2716	0.00014
n2718	n2717	0.00015
n2719	n2718	0.00243
n2720	n2719	0.00016
n2721	n2720	0.01224
6764	n2721	0.00938
29078	n2721	0.03569
27956	n2720	0.00941
7061	n2719	0.00477
20984	n2718	0.00477
37049	n2717	0.01682
n2728	n2716	0.00391
32711	n2728	0.00714
n2730	n2728	0.00014
15978	n2730	0.01178
n2732	n2730	0.00605
n2733	n2732	0.01897
10857	n2733	0.02367
n2735	n2733	0.0062
13297	n2735	0.06842
20768	n2735	0.02066
n2738	n2732	0.00016
n2739	n2738	0.00016
n2740	n2739	0.01406
7121	n2740	0.00227
15184	n2740	0.01424
329	n2739	0.03238
n2744	n2738	0.00493
4096	n2744	0.00474
1677	n2744	0.00953
n2747	n2715	0.0093
n2748	n2747	0.00253
n2749	n2748	0.00513
18813	n2749	0.01849
22874	n2749	0.00496
26308	n2748	0.00016
14632	n2747	0.0073
n2754	n2714	0.01071
27484	n2754	0.0108
37773	n2754	0.00959
n2757	n2713	0.00242
n2758	n2757	0.01752
n2759	n2758	0.00239
18998	n2759	0.0024
35553	n2759	0.01207
