site	primer	treatment	id	distance	abundance
BayfrontPark	F04R22	Post	15747	0.00512500598707971	6.558
BayfrontPark	F04R22	Post	34598	0.0121200702955486	2.99435
BayfrontPark	F04R22	Post	31370	0.0168278521312268	2.23875
BayfrontPark	F04R22	Post	37772	0.00884682183560057	2.23875
BayfrontPark	F04R22	Post	10643	0.00883898939733806	2.72235
BayfrontPark	F04R22	Post	4971	0.00838515536205197	2.23875
BayfrontPark	F04R22	Post	11414	0.00790002226118782	3.3733
BayfrontPark	NF118Sr2b	Post	3367	0.0179127725856698	2.3502
BayfrontPark	NF118Sr2b	Post	23605	0.0116202917020674	6.381
BayfrontPark	NF118Sr2b	Post	6724	0.01796875	2.3502
BayfrontPark	NF118Sr2b	Post	25341	0.0179127725856698	2.38585
BayfrontPark	NF118Sr2b	Post	24241	0.0208207618920721	2.38585
BayfrontPark	NF118Sr2b	Post	24221	0.0116202917020674	6.5955
BayfrontPark	NF118Sr2b	Post	12195	0.0198934881732687	2.38585
BayfrontPark	NF118Sr2b	Post	24032	0.0134736814948111	4.79995
BayfrontPark	NF118Sr2b	Post	17317	0.0203071512089699	2.38585
BayfrontPark	NF118Sr2b	Post	13628	0.0155763239875389	2.8725
BayfrontPark	NF118Sr2b	Post	37080	0.0147780706754061	2.38585
BayfrontPark	NF118Sr2b	Post	40453	0.0134736814948111	4.5564
BayfrontPark	NF118Sr2b	Post	6839	0.0188370880086137	2.38585
BelleairBlvd	F04R22	Post	11415	0.0120705663881151	2.8362
BelleairBlvd	F04R22	Post	34652	0.017657530517614	2.28425
BelleairBlvd	F04R22	Post	35226	0.0119505158300376	2.8362
BelleairBlvd	F04R22	Post	6985	0.010213556174559	2.8362
BelleairBlvd	F04R22	Post	37473	0.0134047078075428	2.28425
BelleairBlvd	F04R22	Post	33747	0.0190039071576841	2.28425
BelleairBlvd	F04R22	Post	18229	0.016300838740307	2.28425
BelleairBlvd	F04R22	Post	2047	0.0200814153446192	2.28425
BelleairBlvd	F04R22	Post	30539	0.00642791551882461	2.76885
BelleairBlvd	F04R22	Post	40226	0.0100808282626464	2.8362
BelleairBlvd	F04R22	Post	18465	0.0175658439356491	3.05615
BelleairBlvd	F04R22	Post	5312	0.0136090391111298	2.28425
BelleairBlvd	F04R22	Post	11582	0.0160603167024747	2.28425
BelleairBlvd	F04R22	Post	10393	0.0181878880906971	2.28425
BelleairBlvd	F04R22	Post	27424	0.0182451990528764	2.8362
BelleairBlvd	F04R22	Post	40600	0.0143313815477132	4.22765
BelleairBlvd	F04R22	Post	40554	0.0191128882655059	3.3291
BelleairBlvd	F04R22	Post	37230	0.0116035875423088	2.28425
BelleairBlvd	F04R22	Post	12199	0.0162730616236022	3.26105
BelleairBlvd	F04R22	Post	33754	0.0100221242289275	3.66135
BelleairBlvd	F04R22	Post	40167	0.0180428372090389	2.28425
BelleairBlvd	F04R22	Post	36289	0.0165817376167115	2.76885
BelleairBlvd	F04R22	Post	24672	0.0171451178984016	2.8362
BelleairBlvd	F04R22	Post	32321	0.0138067955757142	3.82555
BelleairBlvd	F04R22	Post	7665	0.0155223301559849	2.8362
BelleairBlvd	F04R22	Post	23634	0.015157350893192	2.28425
BelleairBlvd	F04R22	Post	9080	0.0082442809715537	3.6192
BelleairBlvd	F04R22	Post	24172	0.00827270407586574	6.8675
BelleairBlvd	F04R22	Post	15708	0.00835654596100279	3.75715
BelleairBlvd	F04R22	Post	16490	0.0118219036143465	3.42045
BelleairBlvd	F04R22	Post	6251	0.0165833201455927	2.76885
BelleairBlvd	F04R22	Post	2353	0.0171451178984016	2.8362
BelleairBlvd	F04R22	Post	18327	0.00835654596100279	3.6192
BelleairBlvd	F04R22	Post	36787	0.0106566340857246	2.28425
BelleairBlvd	F04R22	Post	32705	0.0186042004041581	2.28425
BelleairBlvd	F04R22	Post	28035	0.0165833201455927	2.8362
BelleairBlvd	F04R22	Post	24595	0.0130148281209611	2.76885
BelleairBlvd	F04R22	Post	17252	0.0153157321039053	2.28425
BelleairBlvd	F04R22	Post	38736	0.0163133327470875	2.28425
BelleairBlvd	F04R22	Post	21283	0.0148947618294034	2.76885
BelleairBlvd	F04R22	Post	4915	0.0102970600165181	2.76885
BelleairBlvd	F04R22	Post	33947	0.0160847978573643	2.8362
BelleairBlvd	F04R22	Post	39165	0.0100808282626464	2.8362
BelleairBlvd	F04R22	Post	18738	0.0116254475092475	3.9173
BelleairBlvd	F04R22	Post	18942	0.0137687925304637	2.76885
BelleairBlvd	F04R22	Post	37633	0.00854736362461966	2.8362
BelleairBlvd	F04R22	Post	13189	0.0143159833316182	2.28425
BelleairBlvd	NF118Sr2b	Post	15389	0.0183002499210604	2.40435
BelleairBlvd	NF118Sr2b	Post	31292	0.0122743850644165	3.90115
BelleairBlvd	NF118Sr2b	Post	22578	0.00908761533231091	3.78565
BelleairBlvd	NF118Sr2b	Post	5395	0.0183002499210604	2.40435
BelleairBlvd	NF118Sr2b	Post	12012	0.0136018852640106	4.5756
BelleairBlvd	NF118Sr2b	Post	7762	0.00961141999040502	3.69475
BelleairBlvd	NF118Sr2b	Post	37085	0.017507183908046	2.42345
BelleairBlvd	NF118Sr2b	Post	35058	0.017507183908046	2.42345
BelleairBlvd	NF118Sr2b	Post	14682	0.0136018852640106	4.5602
BelleairBlvd	NF118Sr2b	Post	29409	0.0145322434150772	3.98575
BelleairBlvd	NF118Sr2b	Post	2205	0.0110462871115032	2.40435
BelleairBlvd	NF118Sr2b	Post	19817	0.0183002499210604	3.54445
BelleairBlvd	NF118Sr2b	Post	26411	0.0120852925809822	2.8914
BelleairBlvd	NF118Sr2b	Post	34297	0.0122942789968652	4.48435
BelleairBlvd	NF118Sr2b	Post	27862	0.0127504553734062	2.42345
BelleairBlvd	NF118Sr2b	Post	7143	0.00884861582390154	4.0615
BelleairBlvd	NF118Sr2b	Post	27135	0.0115385438426208	2.42345
BelleairBlvd	NF118Sr2b	Post	13664	0.0180951616552245	2.42345
BelleairBlvd	NF118Sr2b	Post	30759	0.0183002499210604	2.8914
BelleairBlvd	NF118Sr2b	Post	31071	0.0200016874872818	2.40435
BelleairBlvd	NF118Sr2b	Post	27854	0.0127256393839679	3.4044
