site	primer	treatment	id	distance	abundance
BelleairBlvd	NF118Sr2b	Post	28433	0.0094178768098292	4.25015
BelleairBlvd	NF118Sr2b	Post	30409	0.0145322434150772	3.9661
BelleairBlvd	NF118Sr2b	Post	7886	0.0112201897594715	2.9108
ShellfishLab	F04R22	Post	27739	0.012017070510693	2.13085
ShellfishLab	F04R22	Post	24229	0.0146525565886478	2.3678
ShellfishLab	F04R22	Post	33105	0.0185381753975931	2.13085
ShellfishLab	F04R22	Post	15513	0.0196454231252632	3.142
ShellfishLab	F04R22	Post	17414	0.0118726908238746	3.59715
ShellfishLab	F04R22	Post	20787	0.0184939623707134	2.13085
ShellfishLab	F04R22	Post	28269	0.0148693808795199	2.13085
ShellfishLab	F04R22	Post	18895	0.0147457149684782	3.50675
ShellfishLab	F04R22	Post	16006	0.0151463210359818	3.26105
ShellfishLab	F04R22	Post	38634	0.0217493913361809	2.3678
ShellfishLab	F04R22	Post	604	0.0139917662105302	2.13085
ShellfishLab	F04R22	Post	32184	0.0170640108101326	2.13085
ShellfishLab	F04R22	Post	9805	0.0120792268656573	6.3485
ShellfishLab	F04R22	Post	25536	0.0141777554877451	2.3678
ShellfishLab	F04R22	Post	23144	0.0238581787753849	2.3678
ShellfishLab	F04R22	Post	38857	0.018612143682195	2.8541
ShellfishLab	F04R22	Post	11261	0.0194879389459461	2.13085
ShellfishLab	F04R22	Post	23224	0.0125584618792091	2.8541
ShellfishLab	F04R22	Post	18729	0.0141735843821497	3.10205
ShellfishLab	F04R22	Post	11701	0.0193385222776447	2.3678
ShellfishLab	F04R22	Post	38034	0.0126656948215607	2.13085
ShellfishLab	F04R22	Post	24730	0.0146195530751284	2.13085
ShellfishLab	F04R22	Post	24218	0.0142435386316284	2.3678
ShellfishLab	F04R22	Post	3921	0.0143099470291906	2.13085
ShellfishLab	F04R22	Post	32808	0.020465189420297	2.13085
ShellfishLab	F04R22	Post	35100	0.00873050142193924	2.3678
ShellfishLab	F04R22	Post	34133	0.0191829032539383	2.13085
ShellfishLab	F04R22	Post	26423	0.014866183980334	2.8541
ShellfishLab	F04R22	Post	15190	0.0215136702815292	2.8978
ShellfishLab	F04R22	Post	14830	0.0138409908606205	2.3678
ShellfishLab	F04R22	Post	26731	0.013978564418096	2.3678
ShellfishLab	F04R22	Post	31567	0.0130804391938565	3.59715
ShellfishLab	F04R22	Post	5573	0.0121565245565153	2.6118
ShellfishLab	F04R22	Post	39401	0.0165671531994988	2.3678
ShellfishLab	F04R22	Post	21904	0.0111717760456086	3.3913
ShellfishLab	F04R22	Post	6431	0.0172798183251828	2.13085
ShellfishLab	F04R22	Post	31874	0.0177164930208221	2.8978
ShellfishLab	F04R22	Post	36713	0.0133611137785612	2.13085
ShellfishLab	F04R22	Post	23283	0.0159487801639647	2.13085
ShellfishLab	F04R22	Post	26805	0.0191564829298264	2.3678
ShellfishLab	F04R22	Post	18085	0.0150146232391022	2.3678
ShellfishLab	F04R22	Post	2109	0.0167301460956993	2.13085
ShellfishLab	F04R22	Post	25482	0.0193385222776447	2.3678
ShellfishLab	F04R22	Post	22293	0.0170983714450197	2.3678
ShellfishLab	F04R22	Post	10283	0.0197653709710111	2.13085
ShellfishLab	F04R22	Post	23203	0.0139782096234121	2.13085
ShellfishLab	F04R22	Post	4676	0.0135716432087818	2.3678
ShellfishLab	F04R22	Post	35826	0.0140462139988837	2.6118
ShellfishLab	F04R22	Post	36361	0.0178898298331632	2.3678
ShellfishLab	F04R22	Post	34231	0.0139187722929052	2.3678
ShellfishLab	F04R22	Post	10959	0.0189486035136347	2.3678
ShellfishLab	F04R22	Post	8542	0.0168126844719123	2.3678
ShellfishLab	F04R22	Post	33075	0.0151714368504633	3.82555
ShellfishLab	F04R22	Post	3612	0.0181850969622395	2.13085
ShellfishLab	F04R22	Post	35746	0.0203043560479654	2.13085
ShellfishLab	F04R22	Post	26073	0.0183274424372652	2.8541
ShellfishLab	F04R22	Post	22126	0.0183882047813433	3.10205
ShellfishLab	F04R22	Post	8195	0.0214311095025549	2.8541
ShellfishLab	F04R22	Post	38298	0.0133406369979155	2.6118
ShellfishLab	F04R22	Post	2248	0.00959798437640318	7.6945
ShellfishLab	F04R22	Post	20269	0.0215130651002691	2.13085
ShellfishLab	F04R22	Post	12655	0.018717358442628	2.13085
ShellfishLab	F04R22	Post	1931	0.0117539624834343	2.13085
ShellfishLab	F04R22	Post	21514	0.0125639968254462	2.13085
ShellfishLab	F04R22	Post	9641	0.0171021589658401	2.3678
ShellfishLab	F04R22	Post	39106	0.019306752736407	2.3678
ShellfishLab	F04R22	Post	32589	0.0142489286902319	2.3678
ShellfishLab	F04R22	Post	6936	0.0150217252770278	2.8978
ShellfishLab	F04R22	Post	34471	0.0109973041632108	2.13085
ShellfishLab	F04R22	Post	15065	0.0132564496106093	2.8541
ShellfishLab	F04R22	Post	23229	0.00959798437640318	7.9315
ShellfishLab	F04R22	Post	8373	0.0201354571189441	2.13085
RyanCt	F04R22	Post	29271	0.0115925437053687	7.3945
RyanCt	F04R22	Post	23019	0.0143961112011981	2.82745
RyanCt	F04R22	Post	25802	0.0193999341334972	0.8062
RyanCt	F04R22	Post	16100	0.0187114489309704	2.06305
RyanCt	F04R22	Post	27587	0.021414070082123	0.77465
RyanCt	F04R22	Post	16553	0.0242996266926318	0.8062
RyanCt	F04R22	Post	13284	0.0220742223910635	1.42125
RyanCt	F04R22	Post	4863	0.0181429997552368	0.77465
RyanCt	F04R22	Post	21129	0.0202469228536756	1.1774
RyanCt	F04R22	Post	11180	0.0226662994462066	1.1395
RyanCt	F04R22	Post	30772	0.00645887431645192	4.6456
RyanCt	F04R22	Post	4316	0.0160518316466013	0.77465
RyanCt	F04R22	Post	3401	0.019817752953411	0.8062
RyanCt	F04R22	Post	30266	0.0166575102498361	0.77465
RyanCt	F04R22	Post	8242	0.0196937104957138	0.77465
RyanCt	F04R22	Post	722	0.0170108783219059	0.77465
RyanCt	F04R22	Post	7898	0.0190241287924711	0.8062
RyanCt	F04R22	Post	35194	0.0219620904235313	0.8062
RyanCt	F04R22	Post	29030	0.0208974293537548	1.1395
RyanCt	F04R22	Post	33988	0.0190566474804193	2.0985
RyanCt	F04R22	Post	3497	0.0203524161280394	0.77465
RyanCt	F04R22	Post	3324	0.0216140590619927	1.6032
RyanCt	F04R22	Post	14865	0.0162745876886016	0.8062
RyanCt	F04R22	Post	14102	0.0231323609154798	0.8062
RyanCt	F04R22	Post	17942	0.00843331413907547	0.8062
RyanCt	F04R22	Post	12879	0.0200528301111077	0.77465
RyanCt	F04R22	Post	3936	0.0212962962962963	0.77465
RyanCt	F04R22	Post	21318	0.0225620694217005	0.77465
RyanCt	F04R22	Post	10376	0.016880807872474	1.1774
RyanCt	F04R22	Post	40307	0.0208355117545943	0.77465
RyanCt	F04R22	Post	32439	0.0103937969740958	0.8062
RyanCt	F04R22	Post	30099	0.0223992693838229	0.77465
RyanCt	F04R22	Post	14490	0.0209198048973815	0.77465
RyanCt	F04R22	Post	26198	0.0129835843923006	1.92835
RyanCt	F04R22	Post	22050	0.0178787338679373	0.77465
RyanCt	F04R22	Post	12439	0.0216621122453399	0.8062
RyanCt	F04R22	Post	3042	0.0222565175433079	0.77465
RyanCt	F04R22	Post	982	0.0209193498900583	0.8062
RyanCt	F04R22	Post	16639	0.0215902866405498	0.77465
RyanCt	F04R22	Post	4012	0.013288799477286	1.1774
RyanCt	F04R22	Post	3431	0.0189585344566074	1.74835
RyanCt	F04R22	Post	22494	0.0131229811633056	0.8062
RyanCt	F04R22	Post	37361	0.0213236016795548	0.77465
RyanCt	F04R22	Post	29741	0.0258559678206259	0.8062
RyanCt	F04R22	Post	9176	0.0216020731963341	0.77465
RyanCt	F04R22	Post	9276	0.0197183098591549	0.77465
RyanCt	F04R22	Post	24200	0.01127362976297	0.8062
RyanCt	F04R22	Post	18431	0.0188172043010753	1.86915
RyanCt	F04R22	Post	1954	0.0206261345728875	0.77465
RyanCt	F04R22	Post	3571	0.0195534893057047	0.8062
RyanCt	F04R22	Post	9862	0.011373584989454	1.86915
RyanCt	F04R22	Post	15455	0.0207756232686981	0.8062
RyanCt	F04R22	Post	38852	0.021738013687077	0.8062
RyanCt	F04R22	Post	2976	0.0182194913258263	0.77465
RyanCt	F04R22	Post	22649	0.014771579002307	0.8062
RyanCt	F04R22	Post	18669	0.0161452081701533	1.1774
RyanCt	F04R22	Post	3238	0.0227273631042279	0.77465
RyanCt	F04R22	Post	31971	0.0210329627599884	0.8062
RyanCt	F04R22	Post	37057	0	0.8062
RyanCt	F04R22	Post	24307	0.0225120501024649	0.77465
RyanCt	F04R22	Post	32830	0.0218101645090169	0.77465
RyanCt	F04R22	Post	10916	0.0168646685727431	0.77465
RyanCt	F04R22	Post	14381	0.0143901313712634	1.9726
RyanCt	F04R22	Post	34586	0.0218199444304336	0.8062
RyanCt	F04R22	Post	8783	0.0223656012146012	1.1774
RyanCt	F04R22	Post	36965	0.0220557569148222	0.8062
RyanCt	F04R22	Post	10254	0.020743247245587	0.77465
RyanCt	F04R22	Post	18275	0.0112431816731229	0.77465
RyanCt	F04R22	Post	33506	0.0189587064019976	1.1774
RyanCt	F04R22	Post	10480	0.0181614720519362	0.77465
RyanCt	F04R22	Post	33649	0.0217605399198422	1.1774
RyanCt	F04R22	Post	26100	0.020308524173028	0.77465
RyanCt	F04R22	Post	10571	0.0219958463739492	1.6032
RyanCt	F04R22	Post	39906	0.0180011759250058	0.77465
RyanCt	F04R22	Post	38453	0.0122361497988239	1.1774
RyanCt	F04R22	Post	6012	0.0183640880807283	0.77465
RyanCt	F04R22	Post	11749	0.0204240589558501	2.2157
RyanCt	F04R22	Post	3635	0.0240016477952425	0.8062
RyanCt	F04R22	Post	32057	0.0210588131520435	0.77465
RyanCt	F04R22	Post	30625	0.0241452868173045	0.8062
RyanCt	F04R22	Post	11071	0.0268723049021276	0.8062
RyanCt	F04R22	Post	36129	0.0225872192931561	0.77465
RyanCt	F04R22	Post	32469	0.0158300004457317	3.28805
RyanCt	F04R22	Post	36740	0.0104288957947495	1.1774
RyanCt	F04R22	Post	8090	0.0163315847763203	0.77465
RyanCt	F04R22	Post	10840	0.0129512284870606	2.0985
RyanCt	F04R22	Post	24577	0.0200686062106675	1.1395
RyanCt	F04R22	Post	31095	0.0210484539684611	1.1774
RyanCt	F04R22	Post	33697	0.0239955262935764	0.77465
RyanCt	F04R22	Post	21126	0.0162255563708605	0.8062
RyanCt	F04R22	Post	2237	0.012848655788755	3.5798
RyanCt	F04R22	Post	30902	0.0184878402063326	0.77465
RyanCt	F04R22	Post	32582	0.0197858933682363	0.77465
RyanCt	F04R22	Post	24800	0.0162144804721887	0.8062
RyanCt	F04R22	Post	189	0.0138114209352203	0.77465
RyanCt	F04R22	Post	26458	0.0245873788647497	0.8062
RyanCt	F04R22	Post	36255	0.0183984851804325	0.8062
RyanCt	F04R22	Post	444	0.0167040717028406	2.49695
RyanCt	F04R22	Post	28913	0.0222533087129233	0.8062
RyanCt	F04R22	Post	37235	0.0219171627570743	0.8062
RyanCt	F04R22	Post	18447	0.0212761411113788	0.77465
RyanCt	F04R22	Post	23030	0.022051758557835	1.1774
RyanCt	F04R22	Post	20716	0.0206240792802469	1.7053
RyanCt	F04R22	Post	24031	0.0190204347970593	1.7053
RyanCt	F04R22	Post	6198	0.0139334512407728	0.8062
RyanCt	F04R22	Post	22615	0.0210296828235026	1.42125
RyanCt	F04R22	Post	4623	0.00985849837532683	4.774
RyanCt	F04R22	Post	40590	0.0187416414778968	0.8062
RyanCt	F04R22	Post	23064	0.0159001293267879	1.3807
RyanCt	F04R22	Post	20151	0.0210470510395664	0.8062
RyanCt	F04R22	Post	25147	0.0210499907001284	0.77465
RyanCt	F04R22	Post	37451	0.0144948888110157	0.77465
RyanCt	F04R22	Post	1084	0.0196370872682071	1.1395
RyanCt	F04R22	Post	23223	0.0055991199442554	2.66265
RyanCt	F04R22	Post	38844	0.0180236717280649	0.8062
RyanCt	F04R22	Post	36378	0.0158991073707151	0.8062
RyanCt	F04R22	Post	17166	0.0196368859594295	0.8062
RyanCt	F04R22	Post	23318	0.0243100691220468	0.77465
RyanCt	F04R22	Post	36653	0.0246982358402971	0.77465
RyanCt	F04R22	Post	40406	0.00867579908675799	3.8473
RyanCt	F04R22	Post	7319	0.0193171608265948	0.77465
RyanCt	F04R22	Post	39677	0.0221821207069054	1.3807
RyanCt	F04R22	Post	11443	0.0250073946778597	0.77465
RyanCt	F04R22	Post	25413	0.0227886317709927	0.77465
RyanCt	F04R22	Post	13548	0.0241632428518999	0.8062
RyanCt	F04R22	Post	26981	0.0115438006188838	1.42125
RyanCt	F04R22	Post	12462	0.0156515736569265	1.1774
RyanCt	F04R22	Post	5352	0.0195471326779318	0.77465
RyanCt	F04R22	Post	21321	0.0193153967353394	0.8062
RyanCt	F04R22	Post	874	0.0259131014671181	0.77465
RyanCt	F04R22	Post	16988	0.0241373443056161	0.77465
RyanCt	F04R22	Post	28624	0.0131253563908366	1.1774
RyanCt	F04R22	Post	33671	0.0241062721661042	0.8062
RyanCt	F04R22	Post	21251	0.0245263458048058	0.77465
RyanCt	F04R22	Post	13233	0.0220368680566842	0.8062
RyanCt	F04R22	Post	17359	0.0128012315032405	0.77465
RyanCt	F04R22	Post	796	0.0141006412512817	0.77465
RyanCt	F04R22	Post	4506	0.0179049570288749	3.4446
RyanCt	F04R22	Post	4447	0.015528209069258	0.77465
RyanCt	F04R22	Post	30928	0.0209087454612867	0.8062
RyanCt	F04R22	Post	34911	0.0209560353474256	0.8062
RyanCt	F04R22	Post	32669	0.0121742180293184	1.9726
RyanCt	F04R22	Post	1646	0.0125545612010246	1.1774
RyanCt	F04R22	Post	9061	0.0220089897450917	0.8062
RyanCt	F04R22	Post	34772	0.0201259467779672	0.77465
RyanCt	F04R22	Post	31300	0.0127332025398091	1.42125
RyanCt	F04R22	Post	25134	0.01779095224813	1.3807
RyanCt	F04R22	Post	12149	0.010695411729743	0.77465
RyanCt	F04R22	Post	15187	0.0224161444839081	0.77465
RyanCt	F04R22	Post	38574	0.0236975986975987	0.77465
RyanCt	F04R22	Post	21745	0.0197304311560135	0.8062
RyanCt	F04R22	Post	39506	0.0172150685056533	0.77465
RyanCt	F04R22	Post	4914	0.0150436737870795	1.42125
RyanCt	F04R22	Post	6612	0.022523866923657	0.77465
RyanCt	F04R22	Post	4401	0.0216122741304958	0.8062
RyanCt	F04R22	Post	15789	0.0184806535455886	0.8062
RyanCt	F04R22	Post	16859	0.0205309742029911	0.77465
RyanCt	F04R22	Post	28507	0.0236183424939577	0.8062
RyanCt	F04R22	Post	22689	0.0220214315722474	1.1774
RyanCt	F04R22	Post	22596	0.0128371698936178	2.88405
RyanCt	F04R22	Post	9958	0.0209804673687519	0.8062
RyanCt	F04R22	Post	36613	0.0157936643791206	0.77465
RyanCt	F04R22	Post	36211	0.0211964922483586	1.1774
RyanCt	F04R22	Post	25749	0.0200528301111077	0.8062
RyanCt	F04R22	Post	7084	0.0176948623375828	0.77465
RyanCt	F04R22	Post	33677	0.00702682632507194	1.1774
RyanCt	F04R22	Post	8659	0.0241631398184838	0.77465
RyanCt	F04R22	Post	6945	0.0189307018198784	0.77465
RyanCt	F04R22	Post	6944	0.0224431349519303	0.77465
RyanCt	F04R22	Post	27596	0.0241286863270777	0.77465
RyanCt	F04R22	Post	7507	0.011558812465352	1.1395
RyanCt	F04R22	Post	1834	0.0187616063138347	0.77465
RyanCt	F04R22	Post	30734	0.0222047012830057	0.77465
RyanCt	F04R22	Post	19356	0.019450247508405	0.8062
RyanCt	F04R22	Post	34834	0.00881951855624286	5.3805
RyanCt	F04R22	Post	4427	0.0221413018930653	0.8062
RyanCt	F04R22	Post	11114	0.0163797808999179	0.77465
RyanCt	F04R22	Post	8785	0.0223727100466303	0.8062
RyanCt	F04R22	Post	20765	0.0183602748235532	0.77465
RyanCt	F04R22	Post	19873	0.0209088257662027	0.8062
RyanCt	F04R22	Post	32991	0.021461480979251	0.8062
RyanCt	F04R22	Post	37613	0.02053035982009	0.77465
RyanCt	F04R22	Post	31098	0.0209927592921361	0.8062
RyanCt	F04R22	Post	646	0.0130370650626398	2.06305
RyanCt	F04R22	Post	12081	0.0192508823762617	0.77465
RyanCt	F04R22	Post	15872	0.0155841786288054	0.77465
RyanCt	F04R22	Post	11603	0.0222565175433079	1.1395
RyanCt	F04R22	Post	38319	0.0194444444444444	0.8062
RyanCt	F04R22	Post	35833	0.0207582890221682	0.8062
RyanCt	F04R22	Post	6109	0.0176359040035853	0.8062
RyanCt	F04R22	Post	15088	0.0147515527950311	0.77465
RyanCt	F04R22	Post	37757	0.0222534338605976	0.8062
RyanCt	F04R22	Post	38803	0.0201530743835758	0.77465
RyanCt	F04R22	Post	31854	0.0182502070640517	0.8062
RyanCt	F04R22	Post	21636	0.0193844895659434	0.8062
RyanCt	F04R22	Post	10414	0.0195967541338789	0.77465
RyanCt	F04R22	Post	30139	0.0194379091243738	0.77465
RyanCt	F04R22	Post	5619	0.0171158154241545	0.77465
RyanCt	F04R22	Post	25325	0.0215938527263552	1.3807
RyanCt	F04R22	Post	19708	0.0155078389317499	0.77465
RyanCt	F04R22	Post	31276	0.0238906298359641	0.77465
RyanCt	F04R22	Post	20063	0.0142397507387399	0.8062
RyanCt	F04R22	Post	21942	0.0214106175484063	0.77465
RyanCt	F04R22	Post	27460	0.0156360186495797	0.77465
RyanCt	F04R22	Post	17694	0.0223737808829662	1.1395
RyanCt	F04R22	Post	39065	0.0105616224262453	6.3245
RyanCt	F04R22	Post	22663	0.0216798356120072	0.77465
RyanCt	F04R22	Post	29216	0.0127704169473763	0.8062
RyanCt	F04R22	Post	30058	0.0221414266921388	0.8062
RyanCt	F04R22	Post	24862	0.0221638281258306	0.8062
RyanCt	F04R22	Post	31917	0.0132479874718325	0.8062
RyanCt	F04R22	Post	18595	0.0146146935686976	0.8062
RyanCt	F04R22	Post	34768	0.0199818346957312	0.77465
RyanCt	F04R22	Post	37339	0.0186987560754628	0.77465
RyanCt	F04R22	Post	35045	0.0218723598896907	0.8062
RyanCt	F04R22	Post	40426	0.0248753389929167	0.8062
RyanCt	F04R22	Post	19814	0.0158300004457317	3.32025
RyanCt	F04R22	Post	20424	0.0188365650969529	0.77465
RyanCt	F04R22	Post	14804	0.0196630691101149	1.42125
RyanCt	F04R22	Post	13172	0.0219620904235313	1.1774
RyanCt	F04R22	Post	16829	0.0220739103933798	0.8062
RyanCt	F04R22	Post	19464	0.0245703146974283	0.77465
RyanCt	F04R22	Post	33723	0.0225377702670739	0.77465
RyanCt	F04R22	Post	1988	0.0153715106397997	1.3807
RyanCt	F04R22	Post	23536	0.0219207724449841	1.1395
RyanCt	F04R22	Post	23908	0.0246494414731347	0.8062
RyanCt	F04R22	Post	13596	0.0164073681614624	0.8062
RyanCt	F04R22	Post	37206	0.0282833165261885	0.8062
RyanCt	F04R22	Post	21919	0.0220739100447791	1.1774
RyanCt	F04R22	Post	29958	0.0184703941909103	0.8062
RyanCt	F04R22	Post	28165	0.0142754291409025	0.8062
RyanCt	F04R22	Post	10659	0.0102084425538692	1.1774
RyanCt	F04R22	Post	9903	0.0136415119153228	2.781
RyanCt	F04R22	Post	31170	0.0184502561861052	0.8062
RyanCt	F04R22	Post	39742	0.0144657695574031	1.74835
RyanCt	F04R22	Post	1141	0.0203878937920739	1.7053
RyanCt	F04R22	Post	24833	0.0189330922568666	3.2273
RyanCt	F04R22	Post	8002	0.0205071812682597	0.77465
RyanCt	F04R22	Post	682	0.0222870559268123	1.1395
RyanCt	F04R22	Post	37561	0.0106124078833176	6.62
RyanCt	F04R22	Post	32783	0.0259259259259259	0.77465
RyanCt	F04R22	Post	38175	0.0155892459162722	0.77465
RyanCt	F04R22	Post	22917	0.0168838514194227	1.1395
RyanCt	F04R22	Post	16302	0.0102419021926021	0.77465
RyanCt	F04R22	Post	22607	0.0179575954726601	1.1395
RyanCt	F04R22	Post	3692	0.0223786890938918	0.77465
RyanCt	F04R22	Post	34978	0.022409871767243	0.77465
RyanCt	F04R22	Post	6737	0.0219641732069806	0.8062
RyanCt	F04R22	Post	17057	0.0194104484417499	4.3793
RyanCt	F04R22	Post	37747	0.0207588999504416	0.8062
RyanCt	F04R22	Post	17593	0.0220176312226701	0.77465
RyanCt	F04R22	Post	2959	0.017169949444708	2.0985
RyanCt	F04R22	Post	2944	0.0182894010897168	0.8062
RyanCt	F04R22	Post	35233	0.025	0.77465
RyanCt	F04R22	Post	35814	0.0210521946093382	0.77465
RyanCt	F04R22	Post	10061	0.0104956328511635	2.0985
RyanCt	F04R22	Post	15063	0.0235988574222524	1.1774
RyanCt	F04R22	Post	34965	0.0192892300591231	1.1774
RyanCt	F04R22	Post	29690	0.00883345720302242	1.1395
RyanCt	F04R22	Post	30465	0.00891489504957161	0.77465
RyanCt	F04R22	Post	16834	0.0200191594924866	0.77465
RyanCt	F04R22	Post	4640	0.0116875837519322	0.8062
RyanCt	F04R22	Post	27929	0.0263902549581167	0.77465
RyanCt	F04R22	Post	22931	0.0199877399602706	0.8062
RyanCt	F04R22	Post	5225	0.0209285827975678	0.77465
RyanCt	F04R22	Post	5063	0.0225764077786641	0.77465
RyanCt	F04R22	Post	35270	0.0258326004104368	1.1395
RyanCt	F04R22	Post	37286	0.0208129962846944	0.77465
RyanCt	F04R22	Post	30985	0.0166988131399599	0.8062
RyanCt	F04R22	Post	11141	0.0201681078703816	1.1395
RyanCt	F04R22	Post	21391	0.0217795951867974	0.8062
