primer	site	class	id	dist.count	hght.count	dist.mean	dist.standard_deviation	dist.max	dist.median	hght.mean	hght.standard_deviation	hght.min	hght.median	tree.to_newick
F04R22	RyanCt	post	5398	6	7	0.014146667	0.002052205	0.01505	0.01497	0.990536398	0.012138321	0.974846115	0.999600732	"((39556:0.024788,(29820:0.016536,12439:0.016603):0.008218):0.000499,15798:0.024755):0.974846;"
F04R22	RyanCt	post	5410	3	5	0.01668	0.005777534	0.02013	0.0199	0.989079171	0.020211676	0.972468129	0.988816545	"((7629:0.016053,3272:0.049275):0.000460,35045:0.016348):0.972468;"
F04R22	RyanCt	post	5416	6	7	0.015475	0.001975356	0.01771	0.015525	0.989048786	0.014180644	0.973970839	0.994043119	"(23908:0.033133,((9311:0.019109,19251:0.024758):0.000498,1738:0.024725):0.000465):0.973971;"
F04R22	RyanCt	post	5442	3	5	0.013253333	0.002878095	0.01492	0.01491	0.991673644	0.01177069	0.975047728	0.999933014	"((4427:0.016613,23030:0.016646):0.008273,9383:0.025053):0.975048;"
F04R22	RyanCt	post	5464	6	7	0.018351667	0.0046567	0.02501	0.01752	0.988108631	0.017786025	0.966575836	0.991541878	"((26458:0.033233,13284:0.024899):0.000467,(24637:0.008400,13667:0.033099):0.016566):0.966576;"
F04R22	RyanCt	post	5471	6	7	0.016671667	0.0026097	0.02004	0.01748	0.988655064	0.014802004	0.970601788	0.995534555	"((40613:0.016655,7334:0.025000):0.008277,(25815:0.033378,16160:0.025000):0.000503):0.970602;"
F04R22	RyanCt	post	5478	3	5	0.015	8.66E-05	0.01505	0.01505	0.989924858	0.013798657	0.974559423	0.999663039	"((37540:0.025104,1942:0.025104):0.000505,40292:0.025104):0.974559;"
F04R22	RyanCt	post	5325	10	9	0.015608	0.002330965	0.01775	0.01523	0.988970979	0.013603794	0.972695097	0.998297649	"((31120:0.025064,38852:0.025098):0.000538,((33649:0.016721,7196:0.016721):0.008344,33671:0.033542):0.000538):0.972695;"
F04R22	RyanCt	post	5483	3	5	0.02008	0.004408072	0.02263	0.02262	0.986823065	0.020569444	0.96682745	0.991920631	"((26023:0.024633,35194:0.024666):0.000460,30625:0.049298):0.966827;"
F04R22	RyanCt	post	5506	3	5	0.018	0.003946201	0.02235	0.017	0.988360941	0.022197418	0.967230052	0.975551687	"((8918:0.033691,38929:0.041608):0.007345,8801:0.008322):0.967230;"
F04R22	RyanCt	post	5556	6	7	0.017853333	0.006524822	0.02547	0.01776	0.987540318	0.020743301	0.97044714	0.971396761	"(((11252:0.041227,23434:0.032909):0.000458,10766:0.000458):0.000491,21321:0.041227):0.970447;"
F04R22	RyanCt	post	5589	6	7	0.039221667	0.021830111	0.06527	0.040045	0.972122634	0.060313219	0.926734385	0.952185001	"(29931:0.025796,(1590:0.164599,(6924:0.052561,16867:0.008852):0.008541):0.008057):0.926734;"
F04R22	RyanCt	post	5745	10	9	0.024136	0.003115539	0.02728	0.024695	0.981712925	0.022296415	0.956366485	0.991333987	"((8878:0.042871,(12343:0.026076,23236:0.034156):0.008327):0.000565,(31369:0.043401,874:0.052328):0.000494):0.956366;"
F04R22	RyanCt	post	5764	6	7	0.045921667	0.013738404	0.06326	0.047935	0.968231336	0.064974666	0.896061319	0.951749566	"(((35992:0.138403,35362:0.062917):0.021941,722:0.033602):0.033747,28786:0.035709):0.896061;"
F04R22	RyanCt	post	5775	6	7	0.019188333	0.00387109	0.02366	0.019285	0.984570292	0.021420477	0.963632764	0.98365973	"((37451:0.037263,39563:0.051972):0.000528,(31900:0.034585,2131:0.019461):0.000566):0.963633;"
F04R22	RyanCt	post	4997	3	5	0.015593333	0.00058731	0.016	0.01586	0.987466072	0.017269122	0.968383005	0.998172583	"(17694:0.029790,(682:0.029790,26945:0.034143):0.000564):0.968383;"
F04R22	RyanCt	post	5820	6	7	0.015258333	0.002852924	0.01972	0.01492	0.987374967	0.017582723	0.96681708	0.986953986	"(11603:0.020137,(1524:0.040397,(31276:0.030287,3042:0.020137):0.010028):0.000573):0.966817;"
F04R22	RyanCt	post	5873	10	9	0.0314	0.009096122	0.04112	0.033515	0.981043209	0.026721685	0.935400212	0.980750428	"((36263:0.048540,(25951:0.042577,16319:0.035538):0.023265):0.013869,(12888:0.008564,20928:0.026073):0.036786):0.935400;"
F04R22	RyanCt	post	5897	3	5	0.013246667	0.001293303	0.01474	0.01251	0.989474384	0.014995839	0.973386861	0.993247016	"(25029:0.019860,(34392:0.029431,38018:0.029352):0.000598):0.973387;"
F04R22	RyanCt	post	5914	6	7	0.01493	0.000122474	0.01508	0.01488	0.987208453	0.015962561	0.96957624	0.999356111	"(18993:0.029780,((23949:0.029740,33719:0.029740):0.000604,7913:0.029538):0.000563):0.969576;"
F04R22	RyanCt	post	5841	6	7	0.01464	0.000260154	0.01492	0.01462	0.987444326	0.015714582	0.970071948	0.997359882	"((25090:0.029747,(18701:0.029787,16645:0.029747):0.000605):0.000645,16677:0.027288):0.970072;"
F04R22	RyanCt	post	5993	3	5	0.017126667	0.004181056	0.02061	0.01828	0.98708213	0.021124428	0.967402681	0.986015309	"(24371:0.018613,(17593:0.028032,1527:0.049936):0.000605):0.967403;"
F04R22	RyanCt	pre	1348	6	7	0.221488333	0.07845036	0.31552	0.219	0.932486236	0.104756357	0.776665305	0.927695978	"((1977:0.053101,6113:0.104722):0.151031,(26383:0.240432,25672:0.100269):0.046377):0.776665;"
F04R22	RyanCt	pre	1405	3	5	0.039973333	0.025360328	0.05472	0.05451	0.987136715	0.022325875	0.949394019	0.996332807	"(16556:0.057538,(7166:0.010043,15838:0.010446):0.036896):0.949394;"
F04R22	RyanCt	pre	1655	3	5	0.143886667	0.116324096	0.2118	0.21029	0.950254212	0.159227601	0.874212636	0.878359854	"(35944:0.004147,(18811:0.357910,12736:0.009613):0.002846):0.874213;"
F04R22	RyanCt	pre	1920	6	7	0.270293333	0.207606726	0.49591	0.263875	0.878644907	0.261273787	0.600433135	0.81026812	"(((29718:0.044208,2795:0.138533):0.070455,1993:0.037476):0.139380,39488:0.819001):0.600433;"
F04R22	RyanCt	pre	5284	6	7	0.019103333	0.003760583	0.02246	0.01992	0.987411646	0.01676513	0.962268596	0.995725345	"(34283:0.033726,((33700:0.016796,33391:0.025210):0.008246,36068:0.033457):0.008415):0.962269;"
F04R22	RyanCt	mixed	1397	3	5	0.06868	0.049648868	0.10049	0.09408	0.978840804	0.041468397	0.924416353	0.974242051	"((33792:0.015740,5432:0.004454):0.045371,39759:0.115814):0.924416;"
F04R22	RyanCt	mixed	1420	3	5	0.081313333	0.030266692	0.10982	0.08457	0.97227407	0.04383588	0.913371091	0.970438316	"(29156:0.099120,(27777:0.022439,602:0.069072):0.034628):0.913371;"
F04R22	RyanCt	mixed	1414	3	5	0.260093333	0.098372859	0.35477	0.26711	0.916935565	0.174333084	0.761010298	0.882987287	"((19372:0.388656,25792:0.059320):0.062657,10631:0.143679):0.761010;"
F04R22	RyanCt	mixed	1653	6	7	0.125303333	0.106442385	0.24213	0.12585	0.952968307	0.135789547	0.887337757	0.894494562	"((35944:0.004223,(18811:0.364485,12736:0.009790):0.002898):0.002933,21401:0.057555):0.887338;"
F04R22	RyanCt	mixed	1741	3	5	0.02714	0.012119534	0.03835	0.02879	0.988316649	0.022129899	0.968187359	0.978626575	"(847:0.053371,(1282:0.005231,6036:0.026419):0.005209):0.968187;"
F04R22	RyanCt	mixed	1759	15	11	0.09048	0.036682513	0.16745	0.08067	0.966328385	0.069516665	0.889856434	0.934234536	"(((3116:0.084127,(40852:0.037757,27462:0.136093):0.040474):0.032041,(39045:0.001127,9735:0.101979):0.026426):0.012337,14663:0.008171):0.889856;"
F04R22	RyanCt	mixed	4762	6	7	0.028728333	0.008620105	0.04019	0.028635	0.984238861	0.022549711	0.959060938	0.984408244	"(30724:0.060154,((17112:0.026085,7382:0.039312):0.000369,25230:0.019287):0.006060):0.959061;"
F04R22	RyanCt	mixed	4783	3	5	0.26282	0.169391666	0.36282	0.3584	0.950138512	0.211623973	0.680498644	1.070193917	"(25127:0.082097,(13296:0.051697,19220:0.045319):0.389695):0.680499;"
F04R22	RyanCt	mixed	4859	3	5	0.03632	0.010716399	0.0486	0.0315	0.983463	0.03565714	0.943106025	0.974208976	"(40133:0.027772,(2293:0.015065,7742:0.065639):0.031103):0.943106;"
F04R22	RyanCt	mixed	4869	3	5	0.08702	0.033599403	0.11287	0.09915	0.959526724	0.092946758	0.880612958	0.921556222	"(20714:0.040943,(28118:0.200871,980:0.043531):0.036408):0.880613;"
F04R22	RyanCt	mixed	4878	3	5	0.03376	0.020926445	0.04621	0.04547	0.98764592	0.052395008	0.921687414	1.016542185	"((7722:0.014302,2598:0.012254):0.094855,14789:0.018672):0.921687;"
F04R22	RyanCt	mixed	4939	3	5	0.02658	0.017471108	0.03958	0.03344	0.983007206	0.046118637	0.957277822	0.957758207	"((18750:0.020592,23972:0.106165):0.000480,12233:0.000448):0.957278;"
F04R22	RyanCt	mixed	5039	3	5	0.01488	7.81E-05	0.01493	0.01492	0.988961103	0.015118364	0.97214229	0.999640306	"(30450:0.027498,(18394:0.027535,18624:0.027498):0.000521):0.972142;"
F04R22	RyanCt	mixed	5069	6	7	0.014753333	0.003493999	0.01992	0.0148	0.988104705	0.016919403	0.971714188	0.986065357	"(7784:0.037411,(19464:0.037487,(17091:0.013291,15464:0.022303):0.000530):0.000530):0.971714;"
F04R22	RyanCt	mixed	5083	3	5	0.014486667	0.003451236	0.01799	0.01438	0.989630775	0.015814136	0.967832979	0.994780592	"(22732:0.028649,(35908:0.028417,23326:0.014460):0.012488):0.967833;"
F04R22	RyanCt	mixed	5098	15	11	0.050012667	0.014469371	0.07762	0.04805	0.972280263	0.070344177	0.857320553	0.982198484	"(29072:0.000524,(19134:0.101932,(39247:0.033126,((36211:0.031882,35240:0.066416):0.000524,1495:0.088838):0.026154):0.037152):0.061048):0.857321;"
F04R22	RyanCt	mixed	5157	3	5	0.02378	0.001558076	0.02548	0.02344	0.982870129	0.024850882	0.952760599	0.989494076	"((30734:0.049363,26100:0.037963):0.008829,35177:0.036733):0.952761;"
F04R22	RyanCt	mixed	5277	3	5	0.0166	0.005708949	0.02004	0.01975	0.98875068	0.020764513	0.971621805	0.988614736	"(24251:0.016993,(37321:0.050605,13704:0.016517):0.000510):0.971622;"
F04R22	RyanCt	mixed	5282	10	9	0.01991	0.003100634	0.02246	0.019945	0.986898635	0.018360532	0.958041533	0.98328962	"((34283:0.033867,((33700:0.016866,33391:0.025316):0.008281,36068:0.033597):0.008450):0.008247,34586:0.025248):0.958042;"
F04R22	RyanCt	mixed	5297	3	5	0.018146667	0.001336575	0.01969	0.01738	0.987614375	0.017355866	0.968762122	0.99398745	"((22218:0.033714,3635:0.033679):0.000548,5476:0.025225):0.968762;"
F04R22	RyanCt	mixed	5367	3	5	0.016686667	0.001393174	0.01756	0.01742	0.98892378	0.015562786	0.972059786	0.996893066	"((13873:0.033122,14747:0.024867):0.000499,13172:0.024833):0.972060;"
F04R22	RyanCt	mixed	5409	6	7	0.016863333	0.00520724	0.02381	0.016795	0.988708238	0.018979414	0.968050223	0.988416352	"(((7629:0.016115,3272:0.049465):0.000461,35045:0.016412):0.008173,4261:0.020366):0.968050;"
F04R22	RyanCt	mixed	5541	3	5	0.030313333	0.013050404	0.03934	0.03625	0.988101445	0.036262686	0.94056825	0.999938973	"(9077:0.019407,(16446:0.024114,19515:0.016033):0.059371):0.940568;"
F04R22	RyanCt	mixed	5256	3	5	0.013253333	0.002869431	0.01491	0.01491	0.990994385	0.012730833	0.973012135	0.999963775	"(3473:0.027060,(40462:0.018004,26749:0.018004):0.008948):0.973012;"
F04R22	RyanCt	mixed	5596	3	5	0.01832	0.002944486	0.02002	0.02002	0.986818368	0.019375455	0.96675727	0.994251076	"((10385:0.026917,30981:0.026917):0.000577,18096:0.044741):0.966757;"
F04R22	RyanCt	mixed	5688	3	5	0.036833333	0.021535964	0.05038	0.04812	0.979524728	0.035021302	0.919600816	0.994133539	"((12526:0.016111,12183:0.023587):0.058422,16834:0.084656):0.919601;"
F04R22	RyanCt	mixed	5743	15	11	0.037612667	0.019908405	0.06717	0.02713	0.97242246	0.041410058	0.91661402	0.977019156	"(((8878:0.042252,(12343:0.025699,23236:0.033663):0.008207):0.000556,(31369:0.042774,874:0.051572):0.000487):0.025943,34309:0.155586):0.916614;"
F04R22	RyanCt	mixed	4982	3	5	0.014853333	6.35E-05	0.01489	0.01489	0.987900094	0.016573798	0.969423211	0.999427707	"(33452:0.030004,(27451:0.030209,29790:0.030209):0.000654):0.969423;"
F04R22	ShellfishLab	post	3149	3	5	0.106386667	0.034441147	0.12956	0.12279	0.915508464	0.203896832	0.739743023	0.837799296	"((35291:0.396888,28843:0.157395):0.098056,3852:0.030375):0.739743;"
F04R22	ShellfishLab	post	3539	6	7	0.100281667	0.039475298	0.14406	0.100975	0.976841768	0.050379228	0.915195924	0.996133784	"((24022:0.037008,38943:0.037077):0.081436,(34334:0.070070,16420:0.010453):0.010868):0.915196;"
F04R22	ShellfishLab	post	3691	3	5	0.016886667	0.003969639	0.02133	0.01564	0.993194483	0.011046448	0.982824492	0.990586824	"((3921:0.019588,604:0.023530):0.000323,5573:0.007762):0.982824;"
F04R22	ShellfishLab	post	3759	3	5	0.1205	0.025424927	0.14855	0.11398	0.934521243	0.101903191	0.834174694	0.926296832	"(27340:0.177941,(24468:0.087865,969:0.223156):0.004257):0.834175;"
F04R22	ShellfishLab	pre	3160	6	7	0.012558333	0.002393436	0.01577	0.012655	0.994619009	0.007393164	0.987249563	0.994765822	"((18313:0.017350,19667:0.014428):0.000282,(6503:0.010841,14527:0.007214):0.000302):0.987250;"
F04R22	ShellfishLab	pre	3492	3	5	0.087213333	0.066574368	0.12577	0.12553	0.975286467	0.054813282	0.878629203	0.997803131	"((6337:0.009455,36524:0.009905):0.119174,40764:0.106405):0.878629;"
F04R22	ShellfishLab	pre	3509	3	5	0.190186667	0.123437191	0.27078	0.2517	0.948268488	0.097802184	0.77705311	0.988767965	"((8971:0.024479,6671:0.056689):0.187236,24676:0.213200):0.777053;"
F04R22	ShellfishLab	pre	3847	3	5	0.031813333	0.006907824	0.0383	0.03259	0.97989226	0.028937764	0.942181122	0.988540203	"(38001:0.061790,(30085:0.050209,34185:0.031260):0.015099):0.942181;"
F04R22	ShellfishLab	pre	5469	10	9	0.084076	0.036829924	0.15311	0.08848	0.950354487	0.078230115	0.853596612	0.939198624	"((26743:0.071725,(1277:0.181735,(3058:0.030380,28587:0.048932):0.000433):0.025995):0.028794,23106:0.205220):0.853597;"
F04R22	ShellfishLab	pre	5463	3	5	0.027553333	0.008569856	0.03343	0.03151	0.983007509	0.02489577	0.949243635	0.991735809	"((789:0.032247,33751:0.025942):0.016550,18309:0.060980):0.949244;"
