primer	site	class	id	dist.count	hght.count	dist.mean	dist.standard_deviation	dist.max	dist.median	hght.mean	hght.standard_deviation	hght.min	hght.median	tree.to_newick
NF118Sr2b	RyanCt	post	1220	3	5	0.019706667	0.00679542	0.02364	0.02362	0.994744397	0.007820534	0.982532299	0.99995067	"(22888:0.017537,(16492:0.008791,8713:0.008761):0.008657):0.982532;"
NF118Sr2b	RyanCt	mixed	1243	3	5	0.01826	0.000121655	0.01834	0.01832	0.994524338	0.007498653	0.986190545	0.999889725	"(8068:0.013699,(40231:0.013609,14688:0.013639):0.000241):0.986191;"
F04R22	RyanCt	mixed	5256	3	5	0.013253333	0.002869431	0.01491	0.01491	0.990994385	0.012730833	0.973012135	0.999963775	"(3473:0.027060,(40462:0.018004,26749:0.018004):0.008948):0.973012;"
NF118Sr2b	RyanCt	post	1129	3	5	0.018206667	6.66E-05	0.01825	0.01824	0.994198732	0.007944838	0.985385021	0.999824301	"(7010:0.014439,(23043:0.014471,25368:0.014487):0.000224):0.985385;"
F04R22	RyanCt	post	5442	3	5	0.013253333	0.002878095	0.01492	0.01491	0.991673644	0.01177069	0.975047728	0.999933014	"((4427:0.016613,23030:0.016646):0.008273,9383:0.025053):0.975048;"
NF118Sr2b	RyanCt	post	1107	3	5	0.018226667	6.51E-05	0.01829	0.01823	0.994219935	0.007916265	0.98543059	0.999788004	"((24427:0.014389,5044:0.014485):0.000238,24980:0.014357):0.985431;"
F04R22	RyanCt	post	5398	6	7	0.014146667	0.002052205	0.01505	0.01497	0.990536398	0.012138321	0.974846115	0.999600732	"((39556:0.024788,(29820:0.016536,12439:0.016603):0.008218):0.000499,15798:0.024755):0.974846;"
F04R22	RyanCt	post	5478	3	5	0.015	8.66E-05	0.01505	0.01505	0.989924858	0.013798657	0.974559423	0.999663039	"((37540:0.025104,1942:0.025104):0.000505,40292:0.025104):0.974559;"
F04R22	BelleairBlvd	mixed	342	3	5	0.014806667	7.57E-05	0.01486	0.01484	0.990396252	0.013152988	0.975762899	0.99967467	"(40600:0.023912,(32941:0.023912,39634:0.023977):0.000455):0.975763;"
F04R22	RyanCt	mixed	5039	3	5	0.01488	7.81E-05	0.01493	0.01492	0.988961103	0.015118364	0.97214229	0.999640306	"(30450:0.027498,(18394:0.027535,18624:0.027498):0.000521):0.972142;"
F04R22	RyanCt	mixed	4982	3	5	0.014853333	6.35E-05	0.01489	0.01489	0.987900094	0.016573798	0.969423211	0.999427707	"(33452:0.030004,(27451:0.030209,29790:0.030209):0.000654):0.969423;"
F04R22	RyanCt	post	5914	6	7	0.01493	0.000122474	0.01508	0.01488	0.987208453	0.015962561	0.96957624	0.999356111	"(18993:0.029780,((23949:0.029740,33719:0.029740):0.000604,7913:0.029538):0.000563):0.969576;"
F04R22	RyanCt	post	5841	6	7	0.01464	0.000260154	0.01492	0.01462	0.987444326	0.015714582	0.970071948	0.997359882	"((25090:0.029747,(18701:0.029787,16645:0.029747):0.000605):0.000645,16677:0.027288):0.970072;"
F04R22	BayfrontPark	pre	878	6	7	0.012705	0.004825485	0.01648	0.015005	0.996283183	0.00547243	0.985965712	0.998869572	"((33425:0.004522,32943:0.004254):0.009526,(18778:0.006345,19868:0.008847):0.006559):0.985966;"
NF118Sr2b	RyanCt	post	532	6	7	0.01528	0.003428562	0.01794	0.01627	0.995037763	0.006616951	0.986648887	0.996552453	"(24571:0.013839,(8424:0.014620,(39577:0.004830,12493:0.009725):0.004830):0.000244):0.986649;"
F04R22	BelleairBlvd	pre	131	3	5	0.011246667	0.001296161	0.012	0.01199	0.995997776	0.006077579	0.987664815	0.996657357	"(8275:0.008993,(5727:0.009338,7424:0.009357):0.004659):0.987665;"
NF118Sr2b	RyanCt	post	1034	3	5	0.016193333	0.001798787	0.01827	0.01519	0.994767203	0.007432067	0.98680458	0.996786216	"((2662:0.014746,697:0.009755):0.000227,7586:0.014632):0.986805;"
NF118Sr2b	RyanCt	post	1377	10	9	0.024028	0.004332756	0.02727	0.02689	0.992785201	0.009311784	0.979072366	0.997322684	"(13037:0.018265,(33301:0.018040,((10927:0.013402,17097:0.013372):0.000226,26455:0.013387):0.008960):0.000211):0.979072;"
NF118Sr2b	RyanCt	post	964	10	9	0.020456	0.00344259	0.02417	0.02109	0.993324334	0.008312558	0.9823984	0.997128245	"(((3055:0.014456,16463:0.009728):0.004824,(2892:0.009680,22821:0.014520):0.004824):0.000226,38036:0.019425):0.982398;"
