primer	site	class	id	dist.count	hght.count	dist.mean	dist.variance	dist.standard_deviation	dist.min	dist.max	dist.median	dist.harmonic_mean	dist.geometric_mean	hght.mean	hght.variance	hght.standard_deviation	hght.min	hght.max	hght.median	hght.harmonic_mean	hght.geometric_mean	tree.calc_tree_length	tree.calc_redundancy	tree.calc_fiala_stemminess	tree.calc_fp_mean	tree.calc_es_mean	tree.calc_pe_mean	tree.calc_shapley_mean	tree.to_newick
F04R22	BelleairBlvd	pre	439	6	7	0.106988333	0.00414298	0.064365983	0.00997	0.1805	0.10311	0.041316462	0.078547315	0.96418033	0.007834811	0.088514469	0.876903388	1.154516698	0.943336633	0.958011855	0.960969425	1.250737691	0.91642077	0.474911039	0.312684423	0.312684423	0.063820539	0.093458576	"((40855:0.018951,10740:0.000309):0.052119,(1436:0.211180,28325:0.024842):0.066433):0.876903;"
F04R22	BelleairBlvd	pre	427	15	11	0.130125333	0.006298391	0.079362402	0.01919	0.25655	0.11439	0.065812221	0.099631728	0.970015065	0.008905435	0.094368614	0.751091825	1.081115753	0.993987294	0.960468391	0.965453247	1.329834288	0.934033142	0.302438302	0.221639048	0.221639048	0.046274967	0.096457077	"(22395:0.099260,((38594:0.022389,(20074:0.009772,12983:0.022338):0.001021):0.041347,(37833:0.052592,7246:0.071299):0.067969):0.190756):0.751092;"
F04R22	BelleairBlvd	pre	411	15	11	0.012553333	1.08E-05	0.003281221	0.00812	0.01879	0.01301	0.011743182	0.012147558	0.992343427	9.60E-05	0.009795575	0.977001606	1.007914659	0.991339757	0.992255546	0.992299482	1.084222299	0.98315554	0.028867393	0.180703716	0.180703716	0.016464977	0.017870115	"(37260:0.022970,(16189:0.007198,((36173:0.015227,7673:0.015227):0.000401,(23485:0.015284,7082:0.022884):0.000430):0.000459):0.007140):0.977002;"
F04R22	BelleairBlvd	mixed	24	3	5	0.07896	0.004641727	0.068130219	0.00029	0.1183	0.11829	0.000865755	0.015950596	0.971236161	0.003704836	0.060867361	0.863624894	1.014202126	0.992887108	0.967921066	0.969623088	1.143819197	0.928090402	0.994707063	0.381273066	0.381273066	0.050421096	0.093398101	"((28467:0.000355,11633:0.000331):0.128931,5938:0.150577):0.863625;"
F04R22	BelleairBlvd	mixed	104	3	5	0.024846667	0.000452641	0.021275357	0.00028	0.03713	0.03713	0.000827519	0.007281195	0.99453867	0.000720453	0.026841251	0.959018646	1.013931217	1.013674702	0.993952049	0.994246509	1.027306652	0.986346674	0.990700764	0.342435551	0.342435551	0.004543983	0.022762668	"(24001:0.013119,(17337:0.000257,32339:0.000257):0.054656):0.959019;"
F04R22	BelleairBlvd	mixed	146	3	5	0.051726667	0.000297702	0.017254056	0.03281	0.0666	0.05577	0.047300472	0.049578536	0.98304702	0.001503071	0.038769459	0.947163074	1.047487024	0.968072026	0.98186536	0.982449282	1.0847649	0.95761755	0.174511545	0.3615883	0.3615883	0.038897625	0.045867275	"((33947:0.079415,40554:0.019490):0.020909,16930:0.017788):0.947163;"
F04R22	BelleairBlvd	mixed	129	6	7	0.08688	0.006866065	0.082861723	0.00975	0.16339	0.086385	0.02085061	0.042651968	0.968942629	0.006753738	0.082181127	0.902523395	1.1513855	0.946364199	0.963715005	0.966210038	1.217401595	0.927532802	0.367128212	0.304350399	0.304350399	0.068788006	0.07871955	"(13189:0.248862,(8275:0.008539,(5727:0.008866,7424:0.008885):0.004424):0.035302):0.902523;"
F04R22	BelleairBlvd	mixed	342	3	5	0.014806667	5.73E-09	7.57E-05	0.01472	0.01486	0.01484	0.014806408	0.014806537	0.990396252	0.000173001	0.013152988	0.975762899	1.000195198	0.99967467	0.990255829	0.990326152	1.048018739	0.97599063	0.009421265	0.34933958	0.34933958	0.023933459	0.02408528	"(40600:0.023912,(32941:0.023912,39634:0.023977):0.000455):0.975763;"
F04R22	BelleairBlvd	mixed	438	15	11	0.104196667	0.003281107	0.05728095	0.00997	0.20603	0.08946	0.056950514	0.084708468	0.965037721	0.006137026	0.078339174	0.880186012	1.17764707	0.947950226	0.959943264	0.962383929	1.38458507	0.923082986	0.362992953	0.230764178	0.230764178	0.053080983	0.08406651	"((18782:0.000276,11957:0.057813):0.050700,((40855:0.019330,10740:0.000315):0.053163,(1436:0.215411,28325:0.025340):0.067764):0.014286):0.880186;"
F04R22	BayfrontPark	post	644	10	9	0.029026	0.000245294	0.01566187	0.00029	0.04255	0.037775	0.002602998	0.018030464	0.989677941	0.000573784	0.023953783	0.948539736	1.014949621	0.989800474	0.989156779	0.98941832	1.092898527	0.976775368	0.569518274	0.218579705	0.218579705	0.008542641	0.028871758	"(((33242:0.012400,19699:0.005622):0.024342,11146:0.023912):0.011297,(37829:0.000403,26792:0.000377):0.066006):0.948540;"
F04R22	BayfrontPark	post	892	15	11	0.035677333	0.000389747	0.019742004	0.00385	0.07076	0.03397	0.018654776	0.028276367	0.985348912	0.000650552	0.025505924	0.961927891	1.031309546	0.969848683	0.984762468	0.985053387	1.161161965	0.967767607	0.024513235	0.193526994	0.193526994	0.031885547	0.033205679	"((4971:0.055987,(31370:0.046535,((10643:0.012778,11414:0.006370):0.000560,15747:0.000262):0.000262):0.000280):0.006819,34598:0.069382):0.961928;"
F04R22	BayfrontPark	pre	338	15	11	0.061762667	0.00042906	0.020713768	0.02568	0.10405	0.06	0.054864947	0.058407143	0.941437049	0.010041261	0.100206092	0.827510471	1.104811523	0.92088058	0.931996056	0.936668112	1.644192461	0.871161508	0.159730546	0.274032077	0.274032077	0.100120884	0.136113665	"((((13324:0.183931,33997:0.090305):0.091838,1806:0.050771):0.000766,12315:0.079630):0.000766,(36608:0.131576,18155:0.064511):0.122587):0.827510;"
F04R22	BayfrontPark	pre	468	10	9	0.071424	0.001204893	0.034711565	0.01259	0.12423	0.074665	0.046417112	0.060709675	0.953442501	0.008908993	0.09438746	0.812318571	1.097618162	0.931596576	0.94525682	0.949327773	1.419017492	0.895245627	0.220831697	0.283803498	0.283803498	0.088470413	0.121339784	"(9804:0.094492,(17791:0.225716,((26668:0.000595,21531:0.120953):0.045664,6731:0.000595):0.070004):0.048679):0.812319;"
F04R22	BayfrontPark	pre	653	6	7	0.024873333	7.61E-05	0.008721341	0.01528	0.0366	0.02415	0.022368422	0.023588653	0.987396948	0.001339229	0.036595484	0.944155075	1.03853211	0.988546907	0.986239242	0.986817203	1.088221367	0.970592878	0.200639697	0.272055342	0.272055342	0.024918615	0.036016573	"(39012:0.000414,((24168:0.049985,14463:0.000414):0.009470,23367:0.048861):0.034922):0.944155;"
F04R22	BayfrontPark	pre	721	3	5	0.035466667	0.000522165	0.022850929	0.00964	0.05306	0.0437	0.020623614	0.028169247	0.983905261	0.001730674	0.041601376	0.91934458	1.028954781	1.000181725	0.982460073	0.983188962	1.080473695	0.959763152	0.734654555	0.360157898	0.360157898	0.02676399	0.053709705	"((40669:0.028773,25948:0.000424):0.080837,6385:0.051095):0.919345;"
F04R22	BayfrontPark	pre	878	6	7	0.012705	2.33E-05	0.004825485	0.00491	0.01648	0.015005	0.010407237	0.011672149	0.996283183	2.99E-05	0.00547243	0.985965712	1.001371705	0.998869572	0.996257286	0.996270256	1.02601772	0.991327427	0.411034514	0.25650443	0.25650443	0.005991716	0.010013002	"((33425:0.004522,32943:0.004254):0.009526,(18778:0.006345,19868:0.008847):0.006559):0.985966;"
F04R22	BayfrontPark	pre	1588	10	9	0.04908	0.000556558	0.023591486	0.00935	0.07869	0.05578	0.031128451	0.041267906	0.990792348	0.000774511	0.027830037	0.952084721	1.031656131	0.996943949	0.990096845	0.99044467	1.082868868	0.979282783	0.400658012	0.216573774	0.216573774	0.013370225	0.02615683	"((24544:0.004258,4993:0.015479):0.009325,(25526:0.034712,(17061:0.012216,16520:0.000186):0.009749):0.044859):0.952085;"
F04R22	BayfrontPark	pre	1576	15	11	0.089633333	0.001058148	0.032529195	0.00888	0.11862	0.09794	0.0500953	0.076340559	0.979888965	0.000949712	0.030817393	0.930287359	1.019422584	0.99208976	0.978988002	0.979441761	1.221221388	0.955755722	0.393699168	0.203536898	0.203536898	0.029167604	0.048489005	"((10378:0.055003,(17208:0.005464,20653:0.006516):0.057580):0.006799,((3142:0.009687,3884:0.013815):0.046935,37065:0.084521):0.004614):0.930287;"
F04R22	BayfrontPark	pre	1600	3	5	0.026173333	0.000260715	0.01614666	0.0076	0.03687	0.03405	0.015951521	0.021209704	0.992390323	0.000202557	0.014232242	0.967642435	1.003652406	0.997752366	0.992224274	0.99230776	1.038048384	0.980975808	0.661771251	0.346016128	0.346016128	0.014579734	0.02346865	"(418:0.030110,(38895:0.009343,25634:0.004286):0.026667):0.967642;"
F04R22	BayfrontPark	pre	2343	10	9	0.105434	0.001899334	0.043581344	0.0249	0.17149	0.11346	0.078688268	0.094139617	0.946464907	0.009817173	0.09908165	0.790473734	1.104662826	0.95417419	0.937028772	0.941780471	1.481815837	0.879546041	0.149311932	0.296363167	0.296363167	0.105528329	0.138268421	"((22567:0.212851,(4881:0.025707,(10366:0.038976,20086:0.150489):0.006678):0.121457):0.035566,4149:0.099619):0.790474;"
F04R22	BayfrontPark	pre	2352	6	7	0.033721667	0.000352253	0.018768405	0.01566	0.05723	0.028755	0.025697425	0.029364762	0.977031689	0.001811298	0.042559352	0.913776489	1.026514899	0.978312931	0.975428628	0.976232311	1.160778177	0.946407274	0.2795415	0.290194544	0.290194544	0.045616312	0.061750422	"(17275:0.112738,(5533:0.000534,(22052:0.028051,34927:0.041142):0.031181):0.033356):0.913776;"
F04R22	BayfrontPark	pre	2407	6	7	0.115783333	0.003216185	0.056711417	0.03026	0.1958	0.11716	0.081212138	0.100347513	0.902664225	0.027561023	0.16601513	0.64239935	1.17588915	0.860805199	0.875766659	0.889347891	1.681350424	0.772883192	0.195376494	0.420337606	0.420337606	0.208476259	0.259737769	"((9295:0.347084,(35396:0.013360,282:0.123217):0.018641):0.186405,24718:0.350244):0.642399;"
F04R22	BayfrontPark	pre	2707	10	9	0.066868	0.000503855	0.022446713	0.0208	0.08946	0.075305	0.054923819	0.06188743	0.949290838	0.007795117	0.088289958	0.81222277	1.076302702	0.948967248	0.942039089	0.945655155	1.456382454	0.885904386	0.285381192	0.291276491	0.291276491	0.086894574	0.128831937	"((10470:0.179040,(16342:0.117120,24434:0.045119):0.057619):0.085040,(17369:0.069716,33296:0.023478):0.067028):0.812223;"
F04R22	BayfrontPark	pre	2670	10	9	0.034672	7.99E-05	0.008940965	0.01962	0.04747	0.03266	0.032470627	0.033592483	0.959219947	0.00474467	0.068881568	0.867309724	1.085882087	0.964900146	0.954904916	0.957048419	1.367020474	0.908244882	0.157490466	0.273404095	0.273404095	0.077858544	0.09994215	"(27489:0.074576,(((34802:0.108154,1241:0.015217):0.076840,3743:0.113499):0.013834,4121:0.077846):0.019744):0.867310;"
F04R22	BayfrontPark	pre	2660	3	5	0.05222	0.000192973	0.013891483	0.03809	0.06586	0.05271	0.049661421	0.050945822	0.932247557	0.011010384	0.104930378	0.818054909	1.060426777	0.926078575	0.922863773	0.927536146	1.338762215	0.830618893	0.090279436	0.446254072	0.446254072	0.165193113	0.173569102	"(37293:0.242372,(6037:0.082896,35138:0.170312):0.025128):0.818055;"
F04R22	BayfrontPark	pre	2815	3	5	0.0298	0.00018657	0.013659074	0.01757	0.04454	0.02729	0.025859754	0.027744389	0.94760572	0.012943716	0.113770454	0.854000608	1.131639793	0.885488287	0.937634964	0.942458924	1.261971402	0.869014299	0.107586658	0.420657134	0.420657134	0.125981138	0.135990265	"((24444:0.001460,26619:0.247612):0.030027,7412:0.128871):0.854001;"
F04R22	BayfrontPark	pre	6	10	9	0.196728	0.022596974	0.150322898	0.0397	0.43358	0.12266	0.105111374	0.144078165	0.909896604	0.097954698	0.312977153	0.245872268	1.324009758	1.000268751	0.722977809	0.83590698	1.810930566	0.797267359	0.368574812	0.362186113	0.362186113	0.141989856	0.31301166	"(17130:0.415771,(((39100:0.223028,39911:0.034007):0.100713,8808:0.002067):0.158322,35834:0.035075):0.596075):0.245872;"
F04R22	BayfrontPark	mixed	642	15	11	0.070844667	0.003913275	0.062556174	0.00029	0.16004	0.04003	0.003871846	0.03688882	0.970463996	0.0036396	0.060329095	0.823731645	1.071317781	0.9756824	0.96680065	0.968677414	1.324896044	0.935020791	0.536846987	0.220816007	0.220816007	0.048281683	0.0835274	"((((33242:0.012223,19699:0.005541):0.023995,11146:0.023571):0.011136,(37829:0.000398,26792:0.000371):0.065065):0.111279,40294:0.247586):0.823732;"
F04R22	BayfrontPark	mixed	877	10	9	0.050696	0.002418575	0.049179012	0.00491	0.10845	0.016405	0.016295432	0.028388775	0.98720499	0.00125671	0.035450106	0.895558853	1.006524652	1.000614381	0.985981174	0.98660893	1.115155086	0.971211228	0.508494511	0.223031017	0.223031017	0.021589558	0.043919247	"(((33425:0.004545,32943:0.004276):0.009575,(18778:0.006377,19868:0.008892):0.006593):0.095481,3169:0.083858):0.895559;"
F04R22	BayfrontPark	mixed	871	3	5	0.069686667	0.003410727	0.058401429	0.00226	0.10438	0.10242	0.00649601	0.028909251	0.979029196	0.002161277	0.046489534	0.895965308	1.003397214	0.999180672	0.977143687	0.97810656	1.10485402	0.94757299	0.958078279	0.368284673	0.368284673	0.035224449	0.06962957	"(30596:0.101157,(13907:0.004217,7445:0.000300):0.103215):0.895965;"
F04R22	BayfrontPark	mixed	1430	6	7	0.134038333	0.007091239	0.084209496	0.01468	0.19378	0.18484	0.051516727	0.093747843	0.97262752	0.004002789	0.063267599	0.849636588	1.031314556	0.977675842	0.968848869	0.970780838	1.191607363	0.936130879	0.74432552	0.297901841	0.297901841	0.020621976	0.085492694	"((31571:0.008039,23067:0.015424):0.166254,(35067:0.034811,38107:0.024214):0.093228):0.849637;"
F04R22	BayfrontPark	mixed	2681	3	5	0.067773333	0.000442354	0.021032224	0.04353	0.08114	0.07865	0.062484902	0.065249041	0.938235875	0.011793962	0.10860001	0.845247686	1.111006399	0.938135555	0.928863151	0.933433591	1.308820624	0.845589688	0.001845245	0.436273541	0.436273541	0.154296311	0.154524313	"((2111:0.265075,2564:0.104926):0.000684,12269:0.092888):0.845248;"
F04R22	RyanCt	post	1261	15	11	0.041518667	0.000473538	0.021760937	0.01606	0.06694	0.05353	0.030175861	0.035542948	0.984613967	0.002298266	0.047940235	0.94449051	1.072669062	0.966141515	0.982581767	0.983582798	1.169246361	0.966150728	0.204973289	0.194874393	0.194874393	0.020422578	0.037459308	"(((12630:0.016261,(25332:0.031187,20214:0.015432):0.091602):0.005044,(18431:0.015870,4914:0.021121):0.005228):0.000345,39746:0.022664):0.944491;"
F04R22	RyanCt	post	1304	6	7	0.078593333	0.000194841	0.013958528	0.05498	0.09497	0.07888	0.076219492	0.077458792	0.95150427	0.004004308	0.063279599	0.864969842	1.025262892	0.983326491	0.947832617	0.949677921	1.339470111	0.886843296	0.143172624	0.334867528	0.334867528	0.102219977	0.118625067	"((3192:0.096662,10305:0.138599):0.021695,(29859:0.077936,38844:0.095683):0.043926):0.864970;"
F04R22	RyanCt	post	1357	6	7	0.359008333	0.035883853	0.189430339	0.07432	0.52855	0.384345	0.222733276	0.298224402	0.905632013	0.023932697	0.154701963	0.68123915	1.16142241	0.928009736	0.88258452	0.894167243	1.660575908	0.779808031	0.364190397	0.415143977	0.415143977	0.189623638	0.244834189	"((26557:0.171906,(35025:0.050697,15289:0.055708):0.145978):0.074864,34734:0.480183):0.681239;"
F04R22	RyanCt	post	1375	3	5	0.18076	0.022692445	0.150640118	0.00682	0.26878	0.26668	0.019468144	0.078775395	0.953236985	0.008771301	0.093655223	0.796797937	1.050233708	0.973190781	0.945124873	0.94930776	1.233815075	0.883092462	0.940122915	0.411271692	0.411271692	0.088142696	0.14567238	"((25819:0.007189,2549:0.003804):0.172589,3018:0.253436):0.796798;"
F04R22	RyanCt	post	1426	15	11	0.071232	0.00270664	0.052025381	0.00733	0.16657	0.04891	0.032689149	0.051198032	0.976489729	0.002936549	0.054189933	0.916236067	1.109829447	0.960869361	0.973938486	0.975184683	1.258612978	0.948277404	0.158065478	0.20976883	0.20976883	0.046078108	0.057062819	"(19087:0.029502,((15368:0.009481,(2389:0.000282,(21372:0.000247,30758:0.052137):0.021557):0.003178):0.032398,36189:0.184819):0.008775):0.916236;"
F04R22	RyanCt	post	1664	3	5	0.019486667	4.97E-05	0.007047867	0.01143	0.02451	0.02252	0.017371796	0.018477901	0.991652593	0.000589312	0.024275756	0.971218335	1.029987937	0.987044632	0.99118502	0.991417494	1.041737033	0.979131484	0.225584594	0.347245678	0.347245678	0.0182308	0.023506232	"(16836:0.000362,(11587:0.042943,7602:0.011387):0.015826):0.971218;"
F04R22	RyanCt	post	1788	6	7	0.025503333	0.000587781	0.024244189	0.00044	0.04918	0.02473	0.002192906	0.010274762	0.984759836	0.002875341	0.053622204	0.959520374	1.1054315	0.960412978	0.982483402	0.983585063	1.106681147	0.964439618	0.048949681	0.276670287	0.276670287	0.033219774	0.036790193	"(((10242:0.000417,38804:0.131629):0.013806,29065:0.000417):0.000476,17233:0.000417):0.959520;"
F04R22	RyanCt	post	1946	6	7	0.1273	0.014361757	0.119840547	0.00634	0.24274	0.12549	0.023668166	0.060402822	0.960831832	0.012270917	0.110774173	0.718774049	1.031686017	0.993943855	0.947279474	0.954519664	1.274177178	0.908607607	0.770064291	0.318544295	0.318544295	0.062970522	0.138850782	"(((5429:0.004751,15651:0.009391):0.037541,6288:0.009190):0.265980,9352:0.228550):0.718774;"
F04R22	RyanCt	post	3613	15	11	0.045676	0.000574302	0.023964597	0.00043	0.08918	0.04371	0.005606511	0.032623914	0.974731057	0.002041757	0.045185802	0.910531382	1.06885624	0.950984309	0.972886801	0.973799005	1.277958376	0.944408325	0.053657954	0.212993063	0.212993063	0.053029202	0.061237832	"((20738:0.000381,((12063:0.117872,(32164:0.069301,17942:0.045629):0.008799):0.000409,23223:0.000381):0.000409):0.039636,14721:0.084611):0.910531;"
F04R22	RyanCt	post	4579	6	7	0.17671	0.004936258	0.070258511	0.1146	0.2667	0.15011	0.156772487	0.165984372	0.970390285	0.020983252	0.14485597	0.792667721	1.135320659	0.940650187	0.951367604	0.960930695	1.207268006	0.930910665	0.401873384	0.301817002	0.301817002	0.036918489	0.103650071	"(9823:0.000180,((25877:0.075727,33368:0.071587):0.119124,18587:0.000180):0.147803):0.792668;"
F04R22	RyanCt	post	7	6	7	0.195276667	0.00758777	0.087107809	0.03691	0.27155	0.224695	0.12013718	0.165291103	0.836810711	0.07214518	0.268598548	0.363470605	1.224714126	0.83868615	0.735744475	0.79138838	2.142325024	0.619224992	0.49189641	0.535581256	0.535581256	0.252897815	0.444713605	"((16474:0.307155,16993:0.512151):0.349092,(24912:0.057045,22562:0.135240):0.418171):0.363471;"
F04R22	RyanCt	post	4746	3	5	0.031586667	1.38E-05	0.003720771	0.0273	0.03398	0.03348	0.031273556	0.031433337	0.978350281	0.003813653	0.061754779	0.918315806	1.053930542	0.9734356	0.975253659	0.976797401	1.108248594	0.945875703	0.29112852	0.369416198	0.369416198	0.044937665	0.063310929	"(15858:0.000601,(23944:0.080495,5696:0.053717):0.055120):0.918316;"
F04R22	RyanCt	post	4764	3	5	0.02152	1.45E-05	0.00380363	0.01736	0.02482	0.02238	0.021041332	0.021284847	0.988611231	0.000297423	0.017245957	0.97134245	1.011279159	0.990753918	0.988371031	0.988491047	1.056943843	0.971528079	0.005608974	0.352314614	0.352314614	0.028410045	0.028533798	"((17112:0.026253,7382:0.039565):0.000371,25230:0.019411):0.971342;"
F04R22	RyanCt	post	4778	3	5	0.016473333	0.000113004	0.010630354	0.00443	0.02455	0.02044	0.009512017	0.013051048	0.993853484	0.000262761	0.016209918	0.984502747	1.022182587	0.985064016	0.993646034	0.993749084	1.03073258	0.98463371	0.030634573	0.343577527	0.343577527	0.015322636	0.015409944	"((37715:0.000299,10659:0.007989):0.000262,6783:0.037680):0.984503;"
F04R22	RyanCt	post	4807	3	5	0.096893333	0.00168111	0.041001338	0.04964	0.12306	0.11798	0.08163893	0.089657307	0.95156529	0.011039583	0.10506942	0.871452378	1.130477664	0.913360654	0.943220165	0.947238333	1.242173551	0.878913225	0.045380498	0.41405785	0.41405785	0.118599827	0.123573724	"((38966:0.244104,25134:0.069788):0.014922,19708:0.041908):0.871452;"
F04R22	RyanCt	post	4831	15	11	0.089436667	0.001048802	0.032385205	0.02736	0.14574	0.09539	0.074800605	0.082844414	0.961468352	0.003492894	0.059100708	0.861562528	1.053054874	0.954477634	0.958161448	0.959815268	1.423848126	0.915230375	0.19146804	0.237308021	0.237308021	0.065225061	0.093714266	"((21901:0.012395,(24745:0.035121,34301:0.102199):0.022266):0.055754,((33988:0.049607,21962:0.098577):0.051265,4136:0.093451):0.041650):0.861563;"
F04R22	RyanCt	post	4843	3	5	0.071026667	0.001272036	0.03566561	0.02996	0.09424	0.08888	0.054308307	0.063075453	0.975223654	0.003410352	0.058398223	0.885601181	1.030014314	0.990517087	0.972314634	0.973787435	1.123881732	0.938059134	0.610251073	0.374627244	0.374627244	0.044454882	0.07942685	"(423:0.066358,(15259:0.027509,39016:0.039497):0.104916):0.885601;"
F04R22	RyanCt	post	4920	6	7	0.088478333	0.0001864	0.013652829	0.06923	0.10522	0.091455	0.086625569	0.087565669	0.960451025	0.009042593	0.095092548	0.83864822	1.072844506	0.972996792	0.952230542	0.956359805	1.276842822	0.907719059	0.213275803	0.319210705	0.319210705	0.075961507	0.10954865	"(((14630:0.099848,33013:0.079603):0.061485,8556:0.111408):0.072864,17938:0.012986):0.838648;"
F04R22	RyanCt	post	5052	3	5	0.016966667	3.03E-06	0.001739665	0.01496	0.01805	0.01789	0.016840334	0.016904658	0.987488752	0.000316326	0.017785562	0.968444538	1.007790255	0.995846019	0.987231729	0.98736036	1.062556239	0.968721881	0.008314856	0.354185413	0.354185413	0.031185672	0.031370567	"((27708:0.027365,40027:0.038791):0.000555,31099:0.027401):0.968445;"
