primer	site	class	id	dist.count	hght.count	dist.mean	dist.variance	dist.standard_deviation	dist.min	dist.max	dist.median	dist.harmonic_mean	dist.geometric_mean	hght.mean	hght.variance	hght.standard_deviation	hght.min	hght.max	hght.median	hght.harmonic_mean	hght.geometric_mean	tree.calc_tree_length	tree.calc_redundancy	tree.calc_fiala_stemminess	tree.calc_fp_mean	tree.calc_es_mean	tree.calc_pe_mean	tree.calc_shapley_mean	tree.to_newick
F04R22	BelleairBlvd	post	94	6	7	0.007611667	7.43E-06	0.002725446	0.00252	0.00953	0.008405	0.00608354	0.006979865	0.997592374	2.45E-05	0.004954181	0.989943915	1.003277435	0.998820496	0.997571265	0.997581823	1.016853383	0.994382206	0.34161233	0.254213346	0.254213346	0.004508222	0.006727367	"((40226:0.008895,(9080:0.004438,30539:0.000261):0.004438):0.004438,39165:0.004438):0.989944;"
F04R22	BelleairBlvd	post	152	3	5	0.06494	0.000952741	0.030866508	0.03066	0.09053	0.07363	0.052407909	0.058903327	0.97738981	0.002812452	0.053032553	0.937425628	1.069870308	0.961927714	0.975224341	0.976284531	1.113050951	0.943474524	0.08352004	0.371016984	0.371016984	0.054509177	0.058541774	"(38736:0.030776,(2047:0.120347,40167:0.012404):0.012098):0.937426;"
F04R22	BelleairBlvd	post	210	6	7	0.011173333	6.85E-06	0.002617989	0.00746	0.01498	0.01121	0.01063962	0.010909436	0.995498877	4.09E-05	0.006398127	0.989206518	1.003736935	0.994404082	0.995463684	0.995481271	1.031507863	0.989497379	0.012382707	0.257876966	0.257876966	0.010433067	0.010575336	"(6985:0.013885,((15708:0.004628,11415:0.013961):0.000266,18327:0.009257):0.000304):0.989207;"
F04R22	BelleairBlvd	post	287	3	5	0.018493333	5.08E-05	0.007124987	0.01031	0.02332	0.02185	0.016160184	0.01738386	0.993968648	0.000178735	0.013369188	0.974287537	1.007418348	0.995555705	0.993823916	0.993896427	1.030156759	0.984921621	0.505989459	0.343385586	0.343385586	0.011533685	0.018623074	"(36930:0.013836,(2646:0.011863,17416:0.008902):0.021268):0.974288;"
F04R22	BelleairBlvd	post	357	6	7	0.013531667	6.62E-06	0.002573445	0.00992	0.01725	0.013565	0.013114056	0.013324003	0.99117618	0.000137085	0.011708333	0.973925769	1.006154722	0.997796658	0.991057287	0.99111679	1.061766738	0.979411087	0.068792238	0.265441685	0.265441685	0.019838205	0.021960242	"(18229:0.023871,(21283:0.016066,(11582:0.023741,18942:0.015675):0.000520):0.007968):0.973926;"
F04R22	BelleairBlvd	pre	19	3	5	0.06644	0.000111206	0.01054543	0.05595	0.07704	0.06633	0.06531749	0.06587826	0.972648157	0.004760759	0.068998251	0.891522782	1.053734159	0.971718	0.96872725	0.970687163	1.136759217	0.931620391	0.368082223	0.378919739	0.378919739	0.055013739	0.081745478	"(31308:0.027363,(40749:0.082016,11578:0.055662):0.080195):0.891523;"
F04R22	BelleairBlvd	pre	29	10	9	0.131844	0.002542961	0.05042778	0.05655	0.23006	0.135635	0.113838509	0.122941687	0.951269571	0.01239993	0.111354973	0.780999713	1.161604027	0.935323823	0.940079455	0.945610485	1.438573861	0.890356535	0.125696079	0.287714772	0.287714772	0.095777058	0.13151483	"(24212:0.104288,((11291:0.056423,(40540:0.201915,7814:0.103403):0.024365):0.049910,18758:0.012857):0.104414):0.781000;"
F04R22	BelleairBlvd	pre	7	10	9	0.06135	0.000525691	0.022927947	0.02997	0.1069	0.0661	0.053649325	0.057464397	0.964720172	0.003571192	0.059759449	0.907694492	1.065105054	0.9580636	0.961558245	0.963117483	1.317518455	0.920620386	0.096853588	0.263503691	0.263503691	0.071703578	0.081964793	"((19198:0.146508,(11778:0.106502,37014:0.020415):0.050511):0.000398,(25810:0.035122,3727:0.049972):0.000398):0.907694;"
F04R22	BelleairBlvd	pre	131	3	5	0.011246667	1.68E-06	0.001296161	0.00975	0.012	0.01199	0.011139981	0.011194422	0.995997776	3.69E-05	0.006077579	0.987664815	1.001680909	0.996657357	0.995968054	0.995982924	1.020011121	0.98999444	0.199507389	0.340003707	0.340003707	0.009229019	0.010782102	"(8275:0.008993,(5727:0.009338,7424:0.009357):0.004659):0.987665;"
F04R22	BelleairBlvd	pre	194	10	9	0.084056	0.002291557	0.047870212	0.01027	0.1222	0.1082	0.035837553	0.061193512	0.972138486	0.007477833	0.086474463	0.910321559	1.115700468	0.929288542	0.965791179	0.96888177	1.250753624	0.937311594	0.119442822	0.250150725	0.250150725	0.046767749	0.068086413	"((34508:0.023966,(7860:0.018143,(18315:0.092682,4930:0.098786):0.105769):0.000281):0.000543,9289:0.000262):0.910322;"
F04R22	BelleairBlvd	pre	257	3	5	0.61772	0.281629925	0.530688162	0.00494	0.92644	0.92178	0.014663229	0.161581081	0.924178399	0.168617871	0.410631065	0.401228444	1.224729299	1.21966355	0.740865704	0.835070935	1.379108006	0.810445997	0.993670237	0.459702669	0.459702669	0.053148152	0.325959854	"((298:0.000148,27062:0.005066):0.818435,40130:0.154231):0.401228;"
F04R22	BelleairBlvd	pre	263	10	9	0.210068	0.02622769	0.161949653	0.00263	0.35736	0.315085	0.017652639	0.091465775	0.944080643	0.036817053	0.191877703	0.556993452	1.109187402	1.078983209	0.900000875	0.92370725	1.503274215	0.874181446	0.508547681	0.300654843	0.300654843	0.039903708	0.189256153	"((3342:0.121395,33263:0.042065):0.224396,(14439:0.005880,(32898:0.029827,23170:0.000352):0.000377):0.521990):0.556993;"
F04R22	BelleairBlvd	pre	369	3	5	0.06728	0.000259213	0.01610009	0.0544	0.08533	0.06211	0.064932215	0.066062356	0.946763274	0.007333868	0.085638007	0.866611236	1.051391693	0.928930593	0.940666749	0.9436944	1.266183632	0.866908184	0.002409252	0.422061211	0.422061211	0.132992834	0.133190799	"(25668:0.153066,(40819:0.061725,12039:0.184187):0.000594):0.866611;"
