
tree	pre	post	class	id	stat.count	stat.mean	stat.variance	stat.standard_deviation	stat.min	stat.max	stat.skewness	stat.kurtosis	stat.median	stat.harmonic_mean	stat.geometric_mean	stat.mode	newick
../data/bik/trees/F04R22-midroot.db	../data/bik/presence_lists/F04R22/pre/BelleairBlvd.lst	../data/bik/presence_lists/F04R22/post/BelleairBlvd.lst	mixed	1458	6	0.019975	2.907395e-05	0.00539202652070629	0.01495	0.025	0	-3.33066608086885	0.019975	0.0187619974574973	0.0193590189979892		((32941:0.024179,40600:0.023727):0.000452,(16099:0.055588,24672:0.023598):0.000484):0.967759;
../data/bik/trees/F04R22-midroot.db	../data/bik/presence_lists/F04R22/pre/BelleairBlvd.lst	../data/bik/presence_lists/F04R22/post/BelleairBlvd.lst	mixed	7923	6	0.10708	0.00368924888	0.0607391873505071	0.0507700000000001	0.16339	-3.33066907387547e-17	-3.32765977909781	0.10708	0.0783487686616252	0.0916005735215897		(13189:0.248862,(8275:0.008539,(5727:0.008866,7424:0.008885):0.004424):0.035302):0.902523;
../data/bik/trees/F04R22-midroot.db	../data/bik/presence_lists/F04R22/pre/BelleairBlvd.lst	../data/bik/presence_lists/F04R22/post/BelleairBlvd.lst	mixed	8373	6	0.0201899999999999	0.000227713	0.0150901623583048	0.00266999999999995	0.0377099999999999	0	-2.74646470776268	0.0201899999999999	0.00862876243919336	0.0140336488741243		(((24001:0.013428,17337:0.056206):0.000263,40574:0.000263):0.000281,12349:0.004463):0.981068;
../data/bik/trees/F04R22-midroot.db	../data/bik/presence_lists/F04R22/pre/BelleairBlvd.lst	../data/bik/presence_lists/F04R22/post/BelleairBlvd.lst	mixed	8369	6	0.02529	0.000227713	0.0150901623583048	0.00777000000000005	0.04281	0	-2.74646470776268	0.02529	0.0170712753565668	0.0210011020207478		(((24001:0.013428,17337:0.056206):0.000263,40574:0.000263):0.000281,12349:0.004463):0.981068;
../data/bik/trees/F04R22-midroot.db	../data/bik/presence_lists/F04R22/pre/BelleairBlvd.lst	../data/bik/presence_lists/F04R22/post/BelleairBlvd.lst	mixed	8363	6	0.0356099999999999	0.000227712999999999	0.0150901623583048	0.0180899999999999	0.0531299999999999	0	-2.74646470776267	0.0356099999999999	0.0300837211031366	0.032784817093701		(((24001:0.013428,17337:0.056206):0.000263,40574:0.000263):0.000281,12349:0.004463):0.981068;
tree	pre	post	class	id	stat.count	stat.mean	stat.variance	stat.standard_deviation	stat.min	stat.max	stat.skewness	stat.kurtosis	stat.median	stat.harmonic_mean	stat.geometric_mean	stat.mode	newick
../data/bik/trees/F04R22-midroot.db	../data/bik/presence_lists/F04R22/pre/BayfrontPark.lst	../data/bik/presence_lists/F04R22/post/BayfrontPark.lst	pre	71	6	0.035005	0.00020079563	0.0141702374715458	0.01814	0.05187	0	-1.97344370896051	0.035005	0.0298879276395459	0.0324348843153131		(12886:0.001290,(35355:0.084715,(40409:0.198241,8830:0.105270):0.001290):0.070008):0.849470;
../data/bik/trees/F04R22-midroot.db	../data/bik/presence_lists/F04R22/pre/BayfrontPark.lst	../data/bik/presence_lists/F04R22/post/BayfrontPark.lst	pre	99	6	0.044995	0.00010826387	0.0104049925516552	0.03184	0.05815	-3.33066907387547e-17	-1.59494248848481	0.044995	0.0429343187353506	0.0439667871203709		(((34802:0.107214,1241:0.015085):0.076171,3743:0.112512):0.033286,27489:0.073927):0.859765;
../data/bik/trees/F04R22-midroot.db	../data/bik/presence_lists/F04R22/pre/BayfrontPark.lst	../data/bik/presence_lists/F04R22/post/BayfrontPark.lst	pre	731	6	0.103915	0.000874558349999996	0.0295729327257206	0.05744	0.15039	-1.82614340316078e-15	2.29040335237514	0.103915	0.095847997255924	0.10007988367645		(9804:0.093958,(17791:0.224441,(21531:0.165675,6731:0.000592):0.069608):0.048404):0.807727;
../data/bik/trees/F04R22-midroot.db	../data/bik/presence_lists/F04R22/pre/BayfrontPark.lst	../data/bik/presence_lists/F04R22/post/BayfrontPark.lst	pre	709	6	0.322615	0.00087455835000001	0.0295729327257208	0.27614	0.36909	3.90520948911899e-15	2.29040335237487	0.322615	0.320325035703377	0.321475756360852		(9804:0.093958,(17791:0.224441,(21531:0.165675,6731:0.000592):0.069608):0.048404):0.807727;
