loc	gamma_post	gamma_pre
BayfrontPark	-4.801901745	70.5869422
Bellair	-3.078129939	-9.608875746
RyanCt	42.31071788	63.70779131
Shellfish	-8.374550213	57.10117477
BayfrontPark	-0.820555708	49.71425549
BelleairBlvd	-2.72964852	-2.249419887
RyanCt	127.8963913	14.88284828
ShellfishLab	-4.044618546	23.9237785
