primer	site	class	id	dist.count	dist.mean	dist.variance	dist.standard_deviation	dist.min	dist.max	dist.median	dist.harmonic_mean	dist.geometric_mean	hght.count	hght.mean	hght.variance	hght.standard_deviation	hght.min	hght.max	hght.median	hght.harmonic_mean	hght.geometric_mean	tree.calc_tree_length	tree.calc_redundancy	tree.calc_gamma	tree.calc_fiala_stemminess	tree.calc_imbalance	tree.calc_i2	tree.calc_fp_mean	tree.calc_es_mean	tree.calc_pe_mean	tree.calc_shapley_mean	tree.to_newick
F04R22	BelleairBlvd	post	152	3	0.06494	0.000952741300000001	0.0308665077389717	0.03066	0.09053	0.07363	0.0524079086720302	0.0589033267726035	5	0.977389809728716	0.00281245165951405	0.0530325528285604	0.937425628327945	1.0698703078236	0.961927713739678	0.975224341467145	0.976284531476748	1.11305095135642	0.94347452432179	-1.656747910	0.0835200398307194	1	1	0.371016983785473	0.371016983785473	0.0545091770135942	0.0585417743428249	(38736:0.030776,(2047:0.120347,40167:0.012404):0.012098):0.937426;
F04R22	BelleairBlvd	post	357	6	0.0135316666666667	6.62261666666661e-06	0.00257344451400581	0.00992	0.01725	0.013565	0.0131140561767267	0.0133240029380657	7	0.991176180216385	0.000137085058449967	0.0117083328638183	0.973925769340217	1.00615472173666	0.997796658400748	0.991057287273563	0.99111679029622	1.0617667384853	0.979411087171565	-2.372361727	0.0687922380516304	1	0.666666666666667	0.265441684621326	0.265441684621326	0.0198382048050734	0.0219602422862718	(18229:0.023871,(21283:0.016066,(11582:0.023741,18942:0.015675):0.000520):0.007968):0.973926;
F04R22	BelleairBlvd	pre	19	3	0.06644	0.0001112061	0.0105454302899408	0.05595	0.07704	0.06633	0.0653174897158687	0.0658782601290338	5	0.972648156502481	0.00476075860231973	0.0689982507192735	0.891522782266333	1.05373415904524	0.971718000246073	0.968727250123066	0.970687163460941	1.13675921748759	0.931620391256203	-1.565279615	0.368082222724192	1	1	0.378919739162531	0.378919739162531	0.0550137390805069	0.0817454784070869	(31308:0.027363,(40749:0.082016,11578:0.055662):0.080195):0.891523;
F04R22	BelleairBlvd	pre	7	10	0.06135	0.000525690733333335	0.0229279465572767	0.02997	0.1069	0.0661	0.0536493254574331	0.057464396843677	9	0.964720171619661	0.00357119169791931	0.0597594486078922	0.907694491766042	1.06510505394662	0.958063600227144	0.961558245209186	0.963117482594907	1.31751845542306	0.920620386144236	-2.586319850	0.0968535884112694	0.333333333333333	0.222222222222222	0.263503691084611	0.263503691084611	0.0717035775127769	0.0819647927314026	((19198:0.146508,(11778:0.106502,37014:0.020415):0.050511):0.000398,(25810:0.035122,3727:0.049972):0.000398):0.907694;
F04R22	BelleairBlvd	pre	194	10	0.084056	0.00229155722666667	0.0478702123106496	0.01027	0.1222	0.1082	0.0358375531739883	0.0611935121990387	9	0.972138486227978	0.00747783274239322	0.0864744629494351	0.910321558700284	1.11570046771494	0.929288541545744	0.965791178808756	0.968881770082497	1.2507536239482	0.937311594012949	-2.992994117	0.119442821764704	1	0.5	0.250150724789641	0.250150724789641	0.0467677490142037	0.0680864130495838	((34508:0.023966,(7860:0.018143,(18315:0.092682,4930:0.098786):0.105769):0.000281):0.000543,9289:0.000262):0.910322;
F04R22	BelleairBlvd	pre	369	3	0.06728	0.000259212900000001	0.0161000900618599	0.0544	0.08533	0.06211	0.0649322151750078	0.0660623560299356	5	0.946763273547927	0.00733386831595473	0.085638007426345	0.866611236488894	1.05139169339193	0.928930593498832	0.940666748860445	0.943694400034331	1.26618363226036	0.866908183869818	-1.728801181	0.0024092515258593	1	1	0.422061210753454	0.422061210753454	0.132992833669874	0.13319079859049	(25668:0.153066,(40819:0.061725,12039:0.184187):0.000594):0.866611;
F04R22	BelleairBlvd	pre	439	6	0.106988333333333	0.00414297973666667	0.064365982760047	0.00997	0.1805	0.10311	0.0413164623877845	0.0785473152003361	7	0.964180329848115	0.00783481120823441	0.0885144689202528	0.876903387825079	1.15451669765533	0.943336633424287	0.958011854528711	0.960969425448496	1.25073769106319	0.916420769645602	-2.039387670	0.474911039025634	0	0	0.312684422765798	0.312684422765798	0.0638205394441359	0.0934585758095284	((40855:0.018951,10740:0.000309):0.052119,(1436:0.211180,28325:0.024842):0.066433):0.876903;
F04R22	BelleairBlvd	pre	427	15	0.130125333333333	0.00629839079809524	0.0793624016653682	0.01919	0.25655	0.11439	0.065812221342399	0.0996317277291976	11	0.970015064723549	0.00890543523331484	0.0943686136028014	0.751091824839503	1.08111575295476	0.993987294115022	0.960468390773124	0.965453246735077	1.32983428804096	0.934033142391808	-0.9198564113	0.302438301723253	0.6	0.233333333333333	0.221639048006827	0.221639048006827	0.0462749669524282	0.0964570772002432	(22395:0.099260,((38594:0.022389,(20074:0.009772,12983:0.022338):0.001021):0.041347,(37833:0.052592,7246:0.071299):0.067969):0.190756):0.751092;
F04R22	BelleairBlvd	mixed	146	3	0.0517266666666667	0.000297702433333333	0.0172540555619058	0.03281	0.0666	0.05577	0.0473004715663116	0.049578536339019	5	0.983047020016316	0.00150307097437485	0.0387694592994905	0.947163074449344	1.04748702427259	0.968072025632234	0.981865359836489	0.982449282383663	1.08476489991842	0.957617550040789	-1.618443996	0.174511545293073	1	1	0.361588299972807	0.361588299972807	0.0388976247620624	0.045867275156359	((33947:0.079415,40554:0.019490):0.020909,16930:0.017788):0.947163;
F04R22	BelleairBlvd	mixed	342	3	0.0148066666666667	5.73333333326459e-09	7.57187779435497e-05	0.01472	0.01486	0.01484	0.0148064078196593	0.0148065373602908	5	0.990396252195979	0.000173001097121928	0.0131529881442176	0.975762899342833	1.0001951981261	0.999674669789837	0.990255828683	0.990326151660373	1.04801873902011	0.975990630489947	-1.729039854	0.00942126514131898	1	1	0.349339579673368	0.349339579673368	0.0239334591276813	0.0240852798924241	(40600:0.023912,(32941:0.023912,39634:0.023977):0.000455):0.975763;
