child	parent	length
n2		0
n3	n2	0.0281
n4	n3	0.01405
n5	n4	0.00991
n6	n5	0.01085
n7	n6	0.01946
n20	n7	0.01663
5085	n20	0.10369
9325	n20	0.13226
n31	n7	0.01279
20781	n31	0.10868
n59	n31	0.00874
n60	n59	0.01327
n88	n60	0.10899
n89	n88	0.00742
4414	n89	0.00601
n99	n89	0.00898
26486	n99	0.0029
6034	n99	0.00014
n105	n88	0.01097
23596	n105	0
33057	n105	0
n120	n60	0.02014
n121	n120	0.01675
n155	n121	0.05264
n165	n155	0.0041
11867	n165	0.01159
20328	n165	0.00461
n215	n155	0.01429
n216	n215	0.00012
n217	n216	0.00011
19067	n217	0.01159
n227	n217	0.00027
21521	n227	0.01813
n243	n227	0.00014
n248	n243	0.01522
31458	n248	0.05503
31491	n248	0.098
n289	n243	0.00784
n290	n289	0.00101
n291	n290	0.00665
14584	n291	0.0575
n321	n291	0.01629
33987	n321	0.0308
n351	n321	0.04168
2099	n351	0.03084
n367	n351	0.03616
25973	n367	0.00539
n373	n367	0.00923
1815	n373	0.00574
n375	n373	0.00308
31941	n375	0.00575
27070	n375	0.00907
n414	n290	0.00783
n443	n414	0.04261
n448	n443	0.01505
24550	n448	0.0355
977	n448	0.00571
2026	n443	0.02872
n522	n414	0.00014
n523	n522	0.00194
n524	n523	0.00024
10315	n524	0.01371
n541	n524	0.00262
29176	n541	0.02724
37863	n541	0.00574
33400	n523	0.00865
n577	n522	0.00061
30940	n577	0.01178
26956	n577	0.01759
n598	n289	0.0026
n599	n598	0.00798
n602	n599	0.0217
n603	n602	0.00768
n604	n603	0.00016
n605	n604	0.00014
n625	n605	0.0162
38306	n625	0.01771
39560	n625	0.01174
n647	n605	0.00297
20072	n647	0.0114
39989	n647	0.01156
39130	n604	0.02319
n673	n603	0.01087
24232	n673	0.02101
36205	n673	0.0931
n712	n602	0.01516
15406	n712	0.00243
16778	n712	0.04548
n750	n599	0.02645
32700	n750	0.00016
17254	n750	0.01743
n759	n598	0.02087
40040	n759	0.03657
38727	n759	0.06015
34952	n216	0.0176
35915	n215	0.01748
n775	n121	0.00056
n777	n775	0.13744
15822	n777	0.02564
n779	n777	0.00391
15609	n779	0.0029
15644	n779	0.00861
n795	n775	0.00889
n808	n795	0.09766
15856	n808	0.14404
2619	n808	0.04508
n815	n795	0.00285
n819	n815	0.17991
35585	n819	0.04394
36365	n819	0.08722
n823	n815	0.00253
n824	n823	0.0027
n825	n824	0.00977
n827	n825	0.03161
15331	n827	0.00575
746	n827	0.00014
n837	n825	0.0136
n840	n837	0.00335
n841	n840	0.00015
n842	n841	0.02525
n843	n842	0.00015
24195	n843	0.01159
n845	n843	0.0086
24594	n845	0.00014
32871	n845	0.00014
n848	n842	0.02326
n849	n848	0.00498
32694	n849	0.01249
5697	n849	0.00014
25394	n848	0.03495
n853	n841	0.00889
24026	n853	0.01826
27823	n853	0.00583
7148	n840	0.00576
n857	n837	0.00254
n864	n857	0.01906
16885	n864	0.09021
20795	n864	0.1797
n873	n857	0.00014
n874	n873	0.00015
30140	n874	0.00575
n876	n874	0.00015
15171	n876	0.00574
n878	n876	0.00014
n879	n878	0.00015
n880	n879	0.00016
26071	n880	0.01452
n882	n880	0.00015
31185	n882	0.04282
n884	n882	0.00016
n885	n884	0.00016
n886	n885	0.00579
n887	n886	0.00527
33430	n887	0.10912
n893	n887	0.00885
3104	n893	0.06951
33867	n893	0.07519
