child	parent	length
n1552	n1550	0.00803
17979	n1552	0.00785
4334	n1552	0.04198
n1557	n1537	0.00012
n1558	n1557	0.00612
n1559	n1558	0.00798
19098	n1559	0.02513
36464	n1559	0.00798
n1562	n1558	0.00015
29577	n1562	0.01225
n1564	n1562	0.00639
39057	n1564	0.00014
n1566	n1564	0.00014
5530	n1566	0.0123
26341	n1566	0.03534
n1573	n1557	0.01984
40362	n1573	0.00917
n1577	n1573	0.00031
19148	n1577	0.00914
n1585	n1577	0.00029
n1586	n1585	0.00893
n1587	n1586	0.00294
12671	n1587	0.01871
13592	n1587	0.00924
10421	n1586	0.00015
n1591	n1585	0.00015
27368	n1591	0.00852
29572	n1591	0.0125
8961	n1526	0.02634
n1605	n1506	0.06181
21336	n1605	0.06324
n1611	n1605	0.02966
n1612	n1611	0.04094
12283	n1612	0.00177
3872	n1612	0.02172
15833	n1611	0.09701
n1644	n1236	0.19206
33205	n1644	0.18328
n1647	n1644	0.07928
n1648	n1647	0.06328
n1669	n1648	0.04574
11847	n1669	0.01286
30121	n1669	0.01386
n1716	n1648	0.16556
33616	n1716	0.01934
n1725	n1716	0.00749
n1726	n1725	0.00949
10010	n1726	0.00015
38977	n1726	0.0096
n1729	n1725	0.00014
n1730	n1729	0.00016
32617	n1730	0.00955
35723	n1730	0.02983
17082	n1729	0.00317
1850	n1647	0.05421
n1747	n1235	0.03358
n1748	n1747	0.0437
n1750	n1748	0.07483
39602	n1750	0.13371
n1752	n1750	0.1768
2897	n1752	0.00015
14086	n1752	0.00643
35859	n1748	0.23061
n1765	n1747	0.00565
n1773	n1765	0.06131
n1775	n1773	0.02187
n1776	n1775	0.0146
1667	n1776	0.15345
n1780	n1776	0.00014
n1781	n1780	0.01775
n1797	n1781	0.0516
n1798	n1797	0.02875
18057	n1798	0.00958
n1800	n1798	0.01929
22168	n1800	0.06547
n1804	n1800	0.0003
31845	n1804	0.03086
26312	n1804	0.00029
n1825	n1797	0.00497
n1826	n1825	0.00016
n1848	n1826	0.00376
11838	n1848	0.11639
n1860	n1848	0.00527
n1861	n1860	0.00582
n1862	n1861	0.00014
13810	n1862	0.00628
n1864	n1862	0.00595
21896	n1864	0.00309
2957	n1864	0.01808
27761	n1861	0.00626
n1868	n1860	0.00016
n1869	n1868	0.0001
9892	n1869	0.00943
n1871	n1869	0.0001
n1872	n1871	0.00011
n1873	n1872	0.00011
n1874	n1873	0.00361
