child	parent	length
n8921		0
n145	n8921	0.35577
25323	n145	0.03498
27439	n145	0.07506
n8889	n8921	0.0073
26760	n8889	0.12084
n8884	n8889	0.03826
n8279	n8884	0.0194
n7785	n8279	0.08586
38481	n7785	0.23564
n7784	n7785	0.00135
n600	n7784	0.11807
23608	n600	0.01268
6221	n600	0.0191
n7783	n7784	0.01856
n7499	n7783	0.02359
n1519	n7499	0.01486
n1046	n1519	0.01237
n751	n1046	0.10628
n693	n751	0.00512
n654	n693	0.00777
n627	n654	0.00905
34363	n627	0.00015
n626	n627	0.00888
n624	n626	0.00015
27478	n624	0.00907
8633	n624	0.01521
n625	n626	0.01361
28780	n625	0.02084
40205	n625	0.013
n636	n654	0.11659
n635	n636	0.00016
16908	n635	0.00302
n634	n635	0.00287
27717	n634	0.0061
n633	n634	0.01475
n632	n633	0.0048
n631	n632	0.00964
4085	n631	0.00015
21155	n631	0.0196
1341	n632	0.01219
32668	n633	0.00015
24644	n636	0.02539
n692	n693	0.0169
n688	n692	0.03459
n681	n688	0.01313
n669	n681	0.00015
n668	n669	0.00776
n667	n668	0.00014
22847	n667	0.01968
n666	n667	0.00318
n665	n666	0.00014
11873	n665	0.00604
n664	n665	0.0081
n656	n664	0.0139
19226	n656	0.00383
n655	n656	0.00906
30055	n655	0.00965
28782	n655	0.00016
n663	n664	0.00929
4579	n663	0.00641
n662	n663	0.00014
477	n662	0.00641
n661	n662	0.00014
16413	n661	0.00641
n660	n661	0.00014
16770	n660	0.00641
n659	n660	0.00016
26808	n659	0.00642
n658	n659	0.02116
40712	n658	0.0073
n657	n658	0.00016
19250	n657	0.00672
11200	n657	0.04088
39896	n666	0.00302
11690	n668	0.00908
3846	n669	0.00909
n680	n681	0.00925
n679	n680	0.00015
n678	n679	0.00014
n670	n678	0.01191
7813	n670	0.01643
13759	n670	0.00302
n677	n678	0.00015
n674	n677	0.01984
914	n674	0.01462
n673	n674	0.00016
5289	n673	0.00014
n672	n673	0.00014
n671	n672	0.00382
1416	n671	0.00909
13536	n671	0.02183
8788	n672	0.00014
n676	n677	0.02977
4332	n676	0.00934
n675	n676	0.00492
2792	n675	0.00939
31534	n675	0.08559
21201	n679	0.00014
7965	n680	0.01216
n686	n688	0.02684
n684	n686	0.00885
18282	n684	0.02423
36392	n684	0.03632
n685	n686	0.03232
5326	n685	0.00837
8577	n685	0.04026
11246	n692	0.00428
7136	n751	0.42858
n1021	n1046	0.08131
36784	n1021	0.00428
n1020	n1021	0.02924
20389	n1020	0.0824
n925	n1020	0.14672
n924	n925	0.02386
2405	n924	0.00972
38592	n924	0.00016
33991	n925	0.0546
n1518	n1519	0.00449
9941	n1518	0.28477
n1517	n1518	0.00891
n1498	n1517	0.01864
n1403	n1498	0.03465
21689	n1403	0.05664
n1392	n1403	0.02235
n1367	n1392	0.00376
n1290	n1367	0.00015
n1269	n1290	0.02246
n1256	n1269	0.01082
n1217	n1256	0.02871
n1212	n1217	0.00451
n1211	n1212	0.02106
26161	n1211	0.03144
36355	n1211	0.01859
4203	n1212	0.03611
33532	n1217	0.05837
n1255	n1256	0.00969
n1246	n1255	0.05469
23922	n1246	0.02548
6866	n1246	0.01248
n1254	n1255	0.00409
29661	n1254	0.02399
14963	n1254	0.02372
23109	n1269	0.05249
5462	n1290	0.02291
n1365	n1367	0.00655
n1322	n1365	0.02461
n1320	n1322	0.00312
25699	n1320	0.00301
n1319	n1320	0.00297
15947	n1319	0.00302
19378	n1319	0.00603
32045	n1322	0.00601
n1361	n1365	0.01612
2799	n1361	0.00604
n1356	n1361	0.00684
n1346	n1356	0.01734
12087	n1346	0.02314
14748	n1346	0.01499
n1351	n1356	0.00046
31488	n1351	0.01846
n1349	n1351	0.00896
10550	n1349	0.00014
19239	n1349	0.00014
40304	n1392	0.03755
14040	n1498	0.20971
n1516	n1517	0.03707
n1513	n1516	0.0162
38527	n1513	0.03382
n1506	n1513	0.05743
15474	n1506	0.01207
40314	n1506	0.00015
22992	n1516	0.03955
n7498	n7499	0.02198
n6971	n7498	0.03242
n1556	n6971	0.21739
n1555	n1556	0.01844
n1554	n1555	0.00632
1578	n1554	0.01274
25827	n1554	0.00016
17717	n1555	0.00015
37511	n1556	0.0172
n6970	n6971	0.02126
n6653	n6970	0.01543
n2349	n6653	0.11438
n2348	n2349	0.02261
n2315	n2348	0.00057
n2241	n2315	0.00751
n2099	n2241	0.00014
635	n2099	0.03308
40067	n2099	0.03118
n2238	n2241	0.00879
n2131	n2238	0.0057
7692	n2131	0.03913
3861	n2131	0.07203
n2210	n2238	0.02825
36119	n2210	0.02133
16240	n2210	0.0512
n2283	n2315	0.02376
30650	n2283	0.03674
7169	n2283	0.08675
n2347	n2348	0.01276
n2332	n2347	0.00757
24081	n2332	0.01333
28921	n2332	0.02271
24441	n2347	0.03806
3821	n2349	0.05566
n6652	n6653	0.01143
n6641	n6652	0.00272
n5989	n6641	0.03059
n5764	n5989	0.06912
n2411	n5764	0.48586
26855	n2411	0.03613
14056	n2411	0.00835
n5535	n5764	0.17833
n3937	n5535	0.06342
n3745	n3937	0.00991
n3164	n3745	0.01085
n3105	n3164	0.05426
n2669	n3105	0.10899
n2657	n2669	0.02983
36583	n2657	0.00588
n2656	n2657	0.00288
26856	n2656	0.00014
14006	n2656	0.00582
n2668	n2669	0.01054
n2667	n2668	0.00014
27654	n2667	0.01203
n2666	n2667	0.00447
40456	n2666	0.01105
277	n2666	0.0255
26113	n2668	0.15893
n3083	n3105	0.03689
n3001	n3083	0.01509
n2996	n3001	0.01093
17465	n2996	0.05804
n2994	n2996	0.02662
n2717	n2994	0.00153
13308	n2717	0.02655
30525	n2717	0.03507
n2990	n2994	0.01464
n2720	n2990	0.00578
38601	n2720	0.01476
5921	n2720	0.00584
n2988	n2990	0.00029
n2741	n2988	0.01522
n2731	n2741	0.03127
27951	n2731	0.04544
40703	n2731	0.03032
18865	n2741	0.09545
n2984	n2988	0.00784
n2899	n2984	0.00101
n2801	n2899	0.00665
26892	n2801	0.06009
n2798	n2801	0.02557
26758	n2798	0.04751
n2795	n2798	0.01233
6476	n2795	0.05021
n2794	n2795	0.00016
14396	n2794	0.02354
n2793	n2794	0.0101
n2790	n2793	0.00981
n2770	n2790	0.01356
15629	n2770	0.01124
17798	n2770	0.03987
n2789	n2790	0.00014
n2786	n2789	0.01397
n2779	n2786	0.02511
21103	n2779	0.00574
19338	n2779	0.01526
1560	n2786	0.04092
35426	n2789	0.02025
16132	n2793	0.02313
n2898	n2899	0.00504
n2802	n2898	0.009
16538	n2802	0.0176
39464	n2802	0.00289
n2895	n2898	0.00279
n2857	n2895	0.00219
37253	n2857	0.00873
n2847	n2857	0.03553
39013	n2847	0.02354
n2846	n2847	0.00461
n2824	n2846	0.00028
12143	n2824	0.02753
38168	n2824	0.03791
n2845	n2846	0.00014
900	n2845	0.03212
27547	n2845	0.01223
24860	n2895	0.03539
n2978	n2984	0.01058
n2965	n2978	0.0217
n2952	n2965	0.00768
n2929	n2952	0.00016
n2918	n2929	0.0003
n2914	n2918	0.00015
28375	n2914	0.01491
13858	n2914	0.02438
25971	n2918	0.01443
n2927	n2929	0.00258
30360	n2927	0.02127
26896	n2927	0.02329
39897	n2952	0.07265
n2963	n2965	0.01155
30608	n2963	0.01483
2852	n2963	0.02419
40118	n2978	0.01796
5026	n3001	0.05967
n3080	n3083	0.0123
31061	n3080	0.0721
n3051	n3080	0.03829
n3044	n3051	0.03122
20652	n3044	0.0729
3548	n3044	0.08471
n3049	n3051	0.0658
32286	n3049	0.00014
32583	n3049	0.00324
15662	n3164	0.18496
n3346	n3745	0.2203
n3317	n3346	0.02416
n3298	n3317	0.04355
n3288	n3298	0.00524
26350	n3288	0.00293
n3287	n3288	0.00015
32202	n3287	0.00587
n3285	n3287	0.00617
2514	n3285	0.00296
35170	n3285	0.07027
n3293	n3298	0.05932
7131	n3293	0.02046
32748	n3293	0.04944
6490	n3317	0.10418
n3339	n3346	0.08876
28204	n3339	0.02707
n3338	n3339	0.0085
15163	n3338	0.00309
26417	n3338	0.00015
