child	parent	length
n8921		0
23936	n8921	0.48094
n8884	n8921	0.04556
n8279	n8884	0.0194
n7785	n8279	0.08586
n558	n7785	0.10744
n551	n558	0.28897
12030	n551	0.02227
n550	n551	0.02034
n549	n550	0.00015
39648	n549	0.00971
n548	n549	0.00925
37603	n548	0.00015
14099	n548	0.02928
7393	n550	0.00016
21699	n558	0.30094
n7783	n7785	0.01991
n7499	n7783	0.02359
n1519	n7499	0.01486
n699	n1519	0.21629
8572	n699	0.18384
16641	n699	0.00692
n1444	n1519	0.03581
n1367	n1444	0.05699
n1256	n1367	0.03343
39124	n1256	0.05563
n1246	n1256	0.06438
n1239	n1246	0.00015
16718	n1239	0.05161
34950	n1239	0.02249
n1245	n1246	0.00016
40005	n1245	0.01263
29377	n1245	0.01215
n1365	n1367	0.00655
n1336	n1365	0.00151
23775	n1336	0.00605
n1305	n1336	0.02491
35363	n1305	0.02323
13915	n1305	0.00599
25847	n1365	0.0219
2005	n1444	0.46469
n6970	n7499	0.07566
n6653	n6970	0.01543
n2081	n6653	0.07168
n1986	n2081	0.24462
32517	n1986	0.22296
29902	n1986	0.06952
n2066	n2081	0.13135
11482	n2066	0
2676	n2066	0
n5989	n6653	0.04474
n5535	n5989	0.24745
21071	n5535	0.5539
n5534	n5535	0.01236
n4900	n5534	0.00882
n4709	n4900	0.02211
n4054	n4709	0.11308
24274	n4054	0.00015
13662	n4054	0.00579
n4685	n4709	0.059
6978	n4685	0.42672
n4651	n4685	0.18348
2585	n4651	0.01109
n4650	n4651	0.00016
16749	n4650	0.01134
n4649	n4650	0.00014
26511	n4649	0
29779	n4649	0
n4816	n4900	0.12877
n4812	n4816	0.00015
22556	n4812	0
36113	n4812	0
n4815	n4816	0.01493
n4813	n4815	0.00014
20431	n4813	0
31669	n4813	0
n4814	n4815	0.00288
20422	n4814	0.00898
4572	n4814	0.00898
n5367	n5534	0.11608
n5342	n5367	0.00908
n5272	n5342	0.01334
n5173	n5272	0.01105
n5172	n5173	0.00014
35190	n5172	0.00014
31475	n5172	0.00327
34141	n5173	0.0087
n5222	n5272	0.09221
n5201	n5222	0.01711
n5186	n5201	0.01552
19858	n5186	0.00288
9056	n5186	0.02383
n5199	n5201	0.01192
n5193	n5199	0.00635
13904	n5193	0.00595
n5189	n5193	0.00056
n5188	n5189	0.00014
40206	n5188	0.01215
600	n5188	0.00602
20739	n5189	0.01504
8044	n5199	0.03165
n5221	n5222	0.0001
n5202	n5221	0.006
21417	n5202	0.02135
12965	n5202	0.00913
n5214	n5221	0.0026
n5208	n5214	0.00351
2391	n5208	0.01707
n5207	n5208	0.00507
22741	n5207	0.0102
36827	n5207	0.09847
16105	n5214	0.02601
n5296	n5342	0.07574
n5294	n5296	0.00014
20059	n5294	0
38671	n5294	0
5308	n5296	0.01234
n5354	n5367	0.12132
n5348	n5354	0.00074
40129	n5348	0.01396
27078	n5348	0.04063
34893	n5354	0.01202
n5776	n5989	0.16478
33146	n5776	0.00015
35518	n5776	0.00014
n6952	n6970	0.09287
n6677	n6952	0.04085
29555	n6677	0.02419
n6676	n6677	0.01599
n6675	n6676	0.00015
8864	n6675	0.00888
n6674	n6675	0.00014
20585	n6674	0.07048
n6670	n6674	0.0003
26403	n6670	0.06033
n6669	n6670	0.00016
38838	n6669	0.01193
n6668	n6669	0.00016
n6666	n6668	0.00015
n6664	n6666	0.00731
11433	n6664	0.00295
10037	n6664	0.00369
22558	n6666	0.01875
n6667	n6668	0.00014
2485	n6667	0
40097	n6667	0
2725	n6676	0.00016
n6951	n6952	0.00454
n6867	n6951	0.03381
14393	n6867	0.07721
7439	n6867	0.0426
30394	n6951	0.03988
n7782	n7783	0.07558
n7717	n7782	0.03276
n7666	n7717	0.01087
n7665	n7666	0.00365
n7663	n7665	0.01172
n7628	n7663	0.00369
8925	n7628	0.08268
n7623	n7628	0.01526
31425	n7623	0.00014
32961	n7623	0.05398
n7661	n7663	0.00775
n7659	n7661	0.00015
2212	n7659	0.01197
n7658	n7659	0.00015
n7655	n7658	0.00044
n7653	n7655	0.00362
32263	n7653	0.03566
13945	n7653	0.02893
28419	n7655	0.01201
17507	n7658	0.00014
19866	n7661	0.01347
n7664	n7665	0.00014
24900	n7664	0.02139
2068	n7664	0.04483
12017	n7666	0.03676
n7716	n7717	0.01848
n7686	n7716	0.01248
n7684	n7686	0.01667
28750	n7684	0.07251
21306	n7684	0.03364
5141	n7686	0.01219
n7713	n7716	0.04625
38251	n7713	0.00584
n7712	n7713	0.00014
n7709	n7712	0.0239
24395	n7709	0.03193
12452	n7709	0.0124
n7710	n7712	0.00595
31721	n7710	0.00598
13187	n7710	0.00598
23441	n7782	0.1183
n8277	n8279	0.01611
n8201	n8277	0.14226
n8175	n8201	0.05256
n8107	n8175	0.02244
n8083	n8107	0.00015
n7957	n8083	0.01676
n7955	n7957	0.02505
10151	n7955	0.00014
n7954	n7955	0.01336
31840	n7954	0.00649
n7953	n7954	0.00016
15736	n7953	0.00985
n7952	n7953	0.00012
11863	n7952	0.00983
n7951	n7952	0.00015
934	n7951	0.00986
n7950	n7951	0.00014
11666	n7950	0.00508
2076	n7950	0.00016
22704	n7957	0.01255
n8081	n8083	0.00025
n8066	n8081	0.00099
n8039	n8066	0.01946
17323	n8039	0.01705
n8019	n8039	0.02549
n8017	n8019	0.00011
24591	n8017	0.00724
n8016	n8017	0.00619
29997	n8016	0.00015
35397	n8016	0.01201
15802	n8019	0.02904
n8064	n8066	0.00029
17027	n8064	0.05311
n8060	n8064	0.01164
15918	n8060	0.0093
6981	n8060	0.07717
28635	n8081	0.03101
626	n8107	0.06392
n8170	n8175	0.0426
n8152	n8170	0.02714
n8124	n8152	0.03617
n8123	n8124	0.00016
n8118	n8123	0.00465
n8110	n8118	0.00014
24973	n8110	0.00467
3715	n8110	0.00699
n8117	n8118	0.00016
n8115	n8117	0.0062
8364	n8115	0.0062
n8114	n8115	0.00014
33052	n8114	0.00619
n8113	n8114	0.00014
n8111	n8113	0.00014
17138	n8111	0.00931
7630	n8111	0.00621
n8112	n8113	0.00014
27856	n8112	0.0062
17228	n8112	0.00933
n8116	n8117	0.00015
31928	n8116	0.00624
21602	n8116	0.01262
n8122	n8123	0.00015
30814	n8122	0.00234
n8121	n8122	0.00015
n8120	n8121	0.00015
11043	n8120	0.0125
n8119	n8120	0.00015
14591	n8119	0.00953
30812	n8119	0.00907
28578	n8121	0.00014
9907	n8124	0.00612
n8151	n8152	0.0227
n8129	n8151	0.00272
3882	n8129	0.0332
9642	n8129	0.07334
15129	n8151	0.32827
n8169	n8170	0.0221
7385	n8169	0.01309
n8168	n8169	0.00479
5915	n8168	0.00921
n8167	n8168	0.00086
n8164	n8167	0.01647
18543	n8164	0.03767
3461	n8164	0.01273
20887	n8167	0.00892
20841	n8201	0.12586
n8275	n8277	0.10589
18179	n8275	0.08886
29756	n8275	0.02976
n8883	n8884	0.02902
n8735	n8883	0.021
n8514	n8735	0.00694
n8337	n8514	0.06227
n8329	n8337	0.04821
14399	n8329	0.08629
39919	n8329	0.11514
n8333	n8337	0.05474
7348	n8333	0.00693
n8332	n8333	0.01209
37493	n8332	0.02564
34147	n8332	0.04825
40521	n8514	0.19023
n8731	n8735	0.0284
n8711	n8731	0.03327
6873	n8711	0.07062
n8619	n8711	0.08709
11070	n8619	0.01247
n8617	n8619	0.02325
n8616	n8617	0.00016
n8614	n8616	0.00015
n8612	n8614	0.00728
35890	n8612	0.0059
8743	n8612	0.00714
21891	n8614	0.02081
n8615	n8616	0.00641
25393	n8615	0.01543
13378	n8615	0.01996
5795	n8617	0.02093
27565	n8731	0.10827
n8882	n8883	0.00912
n8881	n8882	0.00962
n8737	n8881	0.01112
6162	n8737	0.02828
36743	n8737	0.00748
n8880	n8881	0.00014
n8746	n8880	0.00764
n8743	n8746	0.02677
21366	n8743	0.00969
n8742	n8743	0.02872
23447	n8742	0.07624
1403	n8742	0.05956
11343	n8746	0.02196
n8879	n8880	0.00012
n8831	n8879	0.01934
n8749	n8831	0.00318
n8748	n8749	0.00016
1218	n8748	0.00906
12949	n8748	0.02305
13584	n8749	0.01209
n8830	n8831	0.00012
9277	n8830	0.02392
n8829	n8830	0.00012
n8760	n8829	0.00552
29198	n8760	0.00606
n8759	n8760	0.02273
35938	n8759	0.0122
n8758	n8759	0.0182
n8754	n8758	0.01603
12737	n8754	0.07773
35231	n8754	0.01162
25145	n8758	0.03603
n8828	n8829	0.00015
n8782	n8828	0.00015
n8762	n8782	0.00499
40201	n8762	0.00688
n8761	n8762	0.00015
40266	n8761	0.01208
23843	n8761	0.01723
n8781	n8782	0.00015
20249	n8781	0.02141
n8780	n8781	0.00014
n8778	n8780	0.00014
n8776	n8778	0.00015
n8775	n8776	0.00012
23602	n8775	0.00014
n8774	n8775	0.00016
n8764	n8774	0.003
n8763	n8764	0.00015
26050	n8763	0.00904
29613	n8763	0.00905
6820	n8764	0.00902
n8773	n8774	0.00014
3580	n8773	0.01209
n8772	n8773	0.00014
n8770	n8772	0.00014
n8769	n8770	0.00014
15573	n8769	0.01206
n8768	n8769	0.00016
5218	n8768	0.03433
33434	n8768	0.02056
3251	n8770	0.01207
n8771	n8772	0.00015
11184	n8771	0.01203
26931	n8771	0.01202
26175	n8776	0.01209
22564	n8778	0.01208
12066	n8780	0.01207
n8827	n8828	0.00472
n8783	n8827	0.01494
28598	n8783	0.00274
3083	n8783	0.01449
n8826	n8827	0.00678
n8812	n8826	0.00016
n8784	n8812	0.00016
22174	n8784	0.01367
6962	n8784	0.00453
n8811	n8812	0.00149
n8810	n8811	0.00709
n8807	n8810	0.00742
n8789	n8807	0.01804
n8788	n8789	0.0053
n8787	n8788	0.01047
n8786	n8787	0.00836
8419	n8786	0.02154
n8785	n8786	0.02045
18790	n8785	0.03938
13027	n8785	0.01799
32048	n8787	0.05515
37164	n8788	0.0152
10419	n8789	0.03507
n8806	n8807	0.01427
n8805	n8806	0.01497
n8803	n8805	0.00015
n8802	n8803	0.00013
n8790	n8802	0.0032
25198	n8790	0.0097
28351	n8790	0.00969
n8801	n8802	0.00016
n8798	n8801	0.00725
n8791	n8798	0.004
33017	n8791	0.00967
15435	n8791	0.00985
n8794	n8798	0.046
13948	n8794	0.00649
n8793	n8794	0.00014
35958	n8793	0.00857
8339	n8793	0.00481
n8800	n8801	0.00316
28917	n8800	0.00971
14560	n8800	0.0097
38435	n8803	0.01414
n8804	n8805	0.01033
11694	n8804	0.02198
24533	n8804	0.01292
38558	n8806	0.00282
n8809	n8810	0.0181
9571	n8809	0.00411
n8808	n8809	0.01775
18962	n8808	0.00281
32649	n8808	0.02293
24717	n8811	0.00937
n8825	n8826	0.0134
n8820	n8825	0.00014
28042	n8820	0.00873
n8819	n8820	0.00014
8210	n8819	0.00588
n8818	n8819	0.00015
25579	n8818	0.00589
n8817	n8818	0.00014
n8813	n8817	0.00428
29295	n8813	0.01653
27375	n8813	0.00948
n8816	n8817	0.02993
n8814	n8816	0.00726
18504	n8814	0.00769
18796	n8814	0.01649
n8815	n8816	0.00014
16343	n8815	0.01741
40513	n8815	0.02647
n8824	n8825	0.01199
n8823	n8824	0.00426
n8822	n8823	0.00014
1554	n8822	0.00288
n8821	n8822	0.01563
14577	n8821	0.00281
23909	n8821	0.04451
4018	n8823	0.01464
25248	n8824	0.09793
n8878	n8879	0.00368
n8877	n8878	0.00369
n8864	n8877	0.00014
n8842	n8864	0.02
11262	n8842	0.01162
n8841	n8842	0.01464
25439	n8841	0.02399
n8840	n8841	0.00015
28558	n8840	0.00677
n8839	n8840	0.00015
6826	n8839	0.01009
n8838	n8839	0.00754
n8836	n8838	0.00015
n8834	n8836	0.01907
21598	n8834	0.01741
30263	n8834	0.00284
n8835	n8836	0.00858
10050	n8835	0.00674
22748	n8835	0.01364
n8837	n8838	0.00014
26723	n8837	0.02277
31797	n8837	0.01177
n8863	n8864	0.00636
8790	n8863	0.01191
n8862	n8863	0.00081
n8850	n8862	0.00011
n8849	n8850	0.00509
28654	n8849	0.01537
n8848	n8849	0.00015
n8845	n8848	0.00507
23134	n8845	0.00899
n8844	n8845	0.00498
21528	n8844	0.00599
12193	n8844	0.0051
n8847	n8848	0.00497
19283	n8847	0.00893
34386	n8847	0.00909
3025	n8850	0.02697
n8861	n8862	0.00587
n8853	n8861	0.00459
23666	n8853	0.0089
n8852	n8853	0.0141
38042	n8852	0.09114
n8851	n8852	0.00495
18579	n8851	0.00597
5066	n8851	0.01678
n8860	n8861	0.00839
n8854	n8860	0.00227
29019	n8854	0.00681
12446	n8854	0.00894
n8859	n8860	0.00016
32450	n8859	0.00225
n8858	n8859	0.00014
n8855	n8858	0.00227
18136	n8855	0.00453
22362	n8855	0.01383
n8857	n8858	0.00015
31514	n8857	0.00951
n8856	n8857	0.00335
1846	n8856	0.01263
37273	n8856	0.00949
n8876	n8877	0.00034
37056	n8876	0.01195
n8875	n8876	0.00019
n8873	n8875	0.00058
n8872	n8873	0.00015
n8870	n8872	0.0011
n8866	n8870	0.00563
19286	n8866	0.01842
n8865	n8866	0.00285
13822	n8865	0.01187
5097	n8865	0.00896
3112	n8870	0.01303
18797	n8872	0.01488
13891	n8873	0.00014
n8874	n8875	0.00297
12070	n8874	0.00895
3761	n8874	0.00895
25316	n8878	0.00901
29533	n8882	0.01705
