child	parent	length
n8921		0
n263	n8921	0.00014
n245	n263	0.00016
n7	n245	0.00189
25386	n7	0.00937
4360	n7	0.06096
n244	n245	0.00463
35357	n244	0.02092
n243	n244	0.00014
n42	n243	0.00022
18276	n42	0.05317
14094	n42	0.04738
n242	n243	0.00016
35636	n242	0.01718
n241	n242	0.00014
n72	n241	0.00946
n69	n72	0.00015
12124	n69	0.0069
n68	n69	0.00016
36080	n68	0.01134
n65	n68	0.00026
39174	n65	0.01373
34798	n65	0.01211
13340	n72	0.01359
n231	n241	0.02895
n229	n231	0.00016
36302	n229	0.01005
n228	n229	0.00015
31827	n228	0.03903
n226	n228	0.0003
n210	n226	0.00016
n119	n210	0.02623
35158	n119	0.01462
26660	n119	0.00908
n196	n210	0.00996
23074	n196	0.00682
34085	n196	0.00507
27318	n226	0.04405
33311	n231	0.01196
8859	n263	0.01921
n8912	n8921	0.00042
n8889	n8912	0.00688
n452	n8889	0.01084
n429	n452	0.00069
n426	n429	0.00054
n406	n426	0.01027
n405	n406	0.00011
n366	n405	0.02346
n363	n366	0.00027
7812	n363	0.01233
n362	n363	0.00015
n332	n362	0.00779
n299	n332	0.00011
n297	n299	0.00014
8068	n297	0.01211
n296	n297	0.00014
24714	n296	0.04983
8211	n296	0.01819
15707	n299	0.01207
n331	n332	0.00015
30619	n331	0.02153
12798	n331	0.01412
2733	n362	0.03194
3751	n366	0.0212
n401	n405	0.01688
n388	n401	0.00079
15962	n388	0.01229
31212	n388	0.01209
n400	n401	0.00296
7029	n400	0.00597
33811	n400	0.0092
22140	n406	0.01213
n425	n426	0.00429
n422	n425	0.00429
n408	n422	0.00514
28406	n408	0.00594
39874	n408	0.01194
n421	n422	0.00015
33355	n421	0.01647
5071	n421	0.00912
n424	n425	0.003
22235	n424	0.01237
n423	n424	0.00014
16231	n423	0.006
30721	n423	0.00601
n428	n429	0.00298
30194	n428	0.01209
36960	n428	0.00912
18847	n452	0.02451
n8884	n8889	0.03826
n8279	n8884	0.0194
n7784	n8279	0.08721
10289	n7784	0.09774
n6653	n7784	0.13324
n2391	n6653	0.03123
34712	n2391	0.16138
n2390	n2391	0.01754
n2081	n2390	0.02291
n1916	n2081	0.16144
n1796	n1916	0.00789
25499	n1796	0.00016
n1795	n1796	0.01987
n1793	n1795	0.0117
n1792	n1793	0.00402
n1791	n1792	0.00684
2574	n1791	0.00648
n1790	n1791	0.03614
n1789	n1790	0.02399
34501	n1789	0.00519
10624	n1789	0.07516
36681	n1790	0.01326
36559	n1792	0.00014
36328	n1793	0.00743
n1794	n1795	0.00016
24915	n1794	0.0204
7329	n1794	0.04149
n1915	n1916	0.00376
n1827	n1915	0.0001
n1815	n1827	0.00059
15200	n1815	0.011
n1814	n1815	0.00133
n1808	n1814	0.01607
n1807	n1808	0.0015
n1806	n1807	0.00134
n1805	n1806	0.00015
2180	n1805	0.01186
n1804	n1805	0.00014
n1797	n1804	0.00015
37716	n1797	0.00851
8673	n1797	0.01497
n1803	n1804	0.00014
n1801	n1803	0.00964
12064	n1801	0.00415
n1800	n1801	0.00014
n1798	n1800	0.00014
36632	n1798	0.01046
16402	n1798	0.01108
n1799	n1800	0.00461
30504	n1799	0.04899
7159	n1799	0.01277
n1802	n1803	0.0021
1784	n1802	0.00633
7841	n1802	0.00826
20108	n1806	0.04064
37942	n1807	0.01097
9731	n1808	0.00579
n1813	n1814	0.00989
n1809	n1813	0.0071
20124	n1809	0.00015
2608	n1809	0.00821
n1812	n1813	0.00016
21538	n1812	0.01095
n1811	n1812	0.00014
6465	n1811	0.01376
n1810	n1811	0.01234
29380	n1810	0.01797
30853	n1810	0.03284
n1826	n1827	0.00425
n1825	n1826	0.00014
