child	parent	length
n2		0
21071	n2	0.53263
n2812	n2	0.05583
n2813	n2812	0.01236
n2814	n2813	0.00882
n2925	n2814	0.02211
n2936	n2925	0.11308
24274	n2936	0.00015
13662	n2936	0.00579
n3686	n2925	0.059
6978	n3686	0.42672
n4156	n3686	0.18348
2585	n4156	0.01109
n4158	n4156	0.00016
16749	n4158	0.01134
n4160	n4158	0.00014
26511	n4160	0
29779	n4160	0
n4448	n2814	0.12877
n4449	n4448	0.00015
22556	n4449	0
36113	n4449	0
n4452	n4448	0.01493
n4453	n4452	0.00014
20431	n4453	0
31669	n4453	0
n4456	n4452	0.00288
20422	n4456	0.00898
4572	n4456	0.00898
n4867	n2813	0.11608
n4868	n4867	0.00908
n4925	n4868	0.01334
n4927	n4925	0.01105
n4928	n4927	0.00014
35190	n4928	0.00014
31475	n4928	0.00327
34141	n4927	0.0087
n5211	n4925	0.09221
n5212	n5211	0.01711
n5215	n5212	0.01552
19858	n5215	0.00288
9056	n5215	0.02383
n5225	n5212	0.01192
n5229	n5225	0.00635
13904	n5229	0.00595
n5235	n5229	0.00056
n5236	n5235	0.00014
40206	n5236	0.01215
600	n5236	0.00602
20739	n5235	0.01504
8044	n5225	0.03165
n5251	n5211	0.0001
n5252	n5251	0.006
21417	n5252	0.02135
12965	n5252	0.00913
n5263	n5251	0.0026
n5266	n5263	0.00351
2391	n5266	0.01707
n5270	n5266	0.00507
22741	n5270	0.0102
36827	n5270	0.09847
16105	n5263	0.02601
n5429	n4868	0.07574
n5430	n5429	0.00014
20059	n5430	0
38671	n5430	0
5308	n5429	0.01234
n5528	n4867	0.12132
n5538	n5528	0.00074
40129	n5538	0.01396
27078	n5538	0.04063
34893	n5528	0.01202
n6728	n2812	0.23486
n6758	n6728	0.16478
33146	n6758	0.00015
35518	n6758	0.00014
n8524	n6728	0.0382
n8862	n8524	0.07168
n9239	n8862	0.24462
32517	n9239	0.22296
29902	n9239	0.06952
n9432	n8862	0.13135
11482	n9432	0
2676	n9432	0
n10072	n8524	0.02126
n10097	n10072	0.09287
n10100	n10097	0.04085
29555	n10100	0.02419
n10102	n10100	0.01599
n10103	n10102	0.00015
8864	n10103	0.00888
n10105	n10103	0.00014
20585	n10105	0.07048
n10110	n10105	0.0003
26403	n10110	0.06033
n10112	n10110	0.00016
38838	n10112	0.01193
n10114	n10112	0.00016
n10115	n10114	0.00015
n10116	n10115	0.00731
11433	n10116	0.00295
10037	n10116	0.00369
22558	n10115	0.01875
n10122	n10114	0.00014
2485	n10122	0
40097	n10122	0
2725	n10102	0.00016
n10507	n10097	0.00454
n10509	n10507	0.03381
14393	n10509	0.07721
7439	n10509	0.0426
30394	n10507	0.03988
n11962	n10072	0.07799
n11963	n11962	0.01486
