child	parent	length
n8884		0.04556
n8279	n8884	0.0194
n7787	n8279	0.03015
38423	n7787	0.08146
n7785	n7787	0.05571
n599	n7785	0.03071
40851	n599	0.27585
n598	n599	0.01298
2620	n598	0.10059
n597	n598	0.01968
n569	n597	0.16015
12987	n569	0.13496
n568	n569	0.0315
26059	n568	0.0935
n567	n568	0.01831
19324	n567	0.01477
79	n567	0.00016
n596	n597	0.0442
39439	n596	0.06787
n595	n596	0.05938
n594	n595	0.00015
n581	n594	0.00014
n578	n581	0.00337
n577	n578	0.00014
n574	n577	0.0001
27613	n574	0.01214
n573	n574	0.00016
15537	n573	0.01215
n572	n573	0.00439
33920	n572	0.02288
34571	n572	0.01141
n576	n577	0.00601
n575	n576	0.00301
20689	n575	0.01853
6052	n575	0.00299
5545	n576	0.01218
8290	n578	0.01522
n580	n581	0.003
n579	n580	0.00016
17295	n579	0.00908
25447	n579	0.02146
31224	n580	0.02806
n593	n594	0.01733
36468	n593	0.15411
n592	n593	0.00499
n582	n592	0.00233
6500	n582	0.00937
34535	n582	0.00956
n591	n592	0.00014
n589	n591	0.00016
n584	n589	0.00014
n583	n584	0.00011
19274	n583	0.01248
20907	n583	0.01259
28391	n584	0.00014
n588	n589	0.00289
3619	n588	0.01574
n587	n588	0.00587
22347	n587	0.00932
n586	n587	0.00015
39222	n586	0.00309
n585	n586	0.00014
39281	n585	0.00934
5175	n585	0.00938
n590	n591	0.00619
16026	n590	0.02516
6735	n590	0.00015
37023	n595	0.00683
n7783	n7785	0.01991
n7499	n7783	0.02359
n1519	n7499	0.01486
n1046	n1519	0.01237
n905	n1046	0.00528
n888	n905	0.01386
n622	n888	0.11517
n621	n622	0.01087
16348	n621	0.02261
n620	n621	0.02764
22725	n620	0.00597
n619	n620	0.00525
28850	n619	0.00307
n618	n619	0.00386
n608	n618	0.04287
n606	n608	0.01417
13720	n606	0.00014
n605	n606	0.00593
4232	n605	0.00292
36791	n605	0.00609
n607	n608	0.00779
40577	n607	0.02764
6956	n607	0.01234
n617	n618	0.00183
38146	n617	0.00298
n616	n617	0.00015
n609	n616	0.01809
26247	n609	0.00014
37135	n609	0.01853
n615	n616	0.01293
n612	n615	0.01277
n610	n612	0.01846
15827	n610	0.02152
26730	n610	0.00904
n611	n612	0.00014
37987	n611	0.00745
1390	n611	0.00273
n614	n615	0.00014
3260	n614	0.00297
n613	n614	0.00596
13758	n613	0.00599
35547	n613	0.01204
7658	n622	0.0073
n887	n888	0.01324
11636	n887	0.0202
n885	n887	0.03801
n751	n885	0.03589
n653	n751	0.03829
n629	n653	0.00891
16230	n629	0.00016
25996	n629	0.02489
n651	n653	0.00781
n640	n651	0.01244
n639	n640	0.01195
19917	n639	0.02295
7002	n639	0.04114
32850	n640	0.07685
n646	n651	0.04725
n641	n646	0.0071
38165	n641	0.04688
30122	n641	0.00015
n644	n646	0.00809
14809	n644	0.02157
5549	n644	0.01746
n750	n751	0.01512
n746	n750	0.04407
n701	n746	0.03221
n700	n701	0.00614
22827	n700	0.01247
n698	n700	0.00416
n697	n698	0.00014
19953	n697	0.12987
11215	n697	0.14384
35065	n698	0.01831
15731	n701	0.03163
8947	n746	0.22341
n749	n750	0.02105
15229	n749	0.0166
n748	n749	0.00613
25399	n748	0.01956
n747	n748	0.02652
24555	n747	0.01613
38308	n747	0.00016
n884	n885	0.0442
n883	n884	0.03698
n825	n883	0.05976
n754	n825	0.12332
21496	n754	0.11836
26278	n754	0.0213
n818	n825	0.09556
25276	n818	0.1038
n817	n818	0.00015
n816	n817	0.01131
n812	n816	0.01788
38776	n812	0.00014
n811	n812	0.00304
n810	n811	0.00016
726	n810	0.00014
n809	n810	0.00292
31713	n809	0.01551
4825	n809	0.03161
14	n811	0.02183
