child	parent	length
n2		0
n5	n2	0.0271
n362	n5	0.02291
n1935	n362	0.10617
n1936	n1935	0.00821
n1938	n1936	0.02746
n1939	n1938	0.01382
n1940	n1939	0.01599
n1942	n1940	0.05062
n1943	n1942	0.02416
n1945	n1943	0.02832
n1946	n1945	0.02041
7332	n1946	0.04736
n1948	n1946	0.02814
n1949	n1948	0.01623
n1950	n1949	0.00263
n1951	n1950	0.03095
n1954	n1951	0.01175
n1955	n1954	0.01651
38569	n1955	0.00718
12347	n1955	0.01451
n1958	n1954	0.00425
n1959	n1958	0.00015
6957	n1959	0.0112
n1963	n1959	0.00015
n1964	n1963	0.00794
n1965	n1964	0.00015
21858	n1965	0.00239
37953	n1965	0.00718
n1968	n1964	0.02627
7967	n1968	0.01548
n1970	n1968	0.02644
22143	n1970	0.05877
2923	n1970	0.13571
n1973	n1963	0.00015
n1974	n1973	0.00014
n1975	n1974	0.00016
13755	n1975	0.00958
n1977	n1975	0.00015
n1978	n1977	0.00837
n1979	n1978	0.01682
6497	n1979	0.00682
24161	n1979	0.02672
n1982	n1978	0.00203
38515	n1982	0.01729
n1984	n1982	0.01188
17835	n1984	0.01461
29097	n1984	0.01502
31258	n1977	0.00968
n1988	n1974	0.00477
13736	n1988	0.00477
n1990	n1988	0.00014
12866	n1990	0.00478
10384	n1990	0.00477
20408	n1973	0.00014
14876	n1958	0.00416
n1996	n1951	0.0088
n1999	n1996	0.00028
n2001	n1999	0.0003
n2002	n2001	0.00388
6254	n2002	0.00388
n2004	n2002	0.00014
n2005	n2004	0.00015
n2008	n2005	0.00251
6036	n2008	0.01192
1282	n2008	0.00236
12527	n2005	0.00472
662	n2004	0.01183
n2013	n2001	0.00014
n2014	n2013	0.00233
40747	n2014	0.00194
35716	n2014	0.00964
18047	n2013	0.00989
23477	n1999	0.00014
n2026	n1996	0.01635
n2027	n2026	0.01313
39045	n2027	0.00056
9735	n2027	0.05067
n2030	n2026	0.01592
3116	n2030	0.0418
n2032	n2030	0.02011
40852	n2032	0.01876
27462	n2032	0.06762
n2036	n1950	0.06659
n2037	n2036	0.01727
1627	n2037	0.02295
16803	n2037	0.03987
n2040	n2036	0.0509
n2041	n2040	0.02232
