child	parent	length
n11045		0.24349
n10978	n11045	0.0271
n8881	n10978	0.02291
n7989	n8881	0.10617
n7330	n7989	0.00821
n7167	n7330	0.02746
n4834	n7167	0.01382
n3210	n4834	0.01599
n2671	n3210	0.05062
n2571	n2671	0.02416
n2555	n2571	0.02832
n2551	n2555	0.02041
7332	n2551	0.04736
n2550	n2551	0.02814
n2535	n2550	0.01623
n2530	n2535	0.00263
n2522	n2530	0.03095
n2500	n2522	0.01175
n2481	n2500	0.01651
38569	n2481	0.00718
12347	n2481	0.01451
n2499	n2500	0.00425
n2498	n2499	0.00015
6957	n2498	0.0112
n2497	n2498	0.00015
n2486	n2497	0.00794
n2483	n2486	0.00015
21858	n2483	0.00239
37953	n2483	0.00718
n2485	n2486	0.02627
7967	n2485	0.01548
n2484	n2485	0.02644
22143	n2484	0.05877
2923	n2484	0.13571
n2496	n2497	0.00015
n2495	n2496	0.00014
n2492	n2495	0.00016
13755	n2492	0.00958
n2491	n2492	0.00015
n2490	n2491	0.00837
n2487	n2490	0.01682
6497	n2487	0.00682
24161	n2487	0.02672
n2489	n2490	0.00203
38515	n2489	0.01729
n2488	n2489	0.01188
17835	n2488	0.01461
29097	n2488	0.01502
31258	n2491	0.00968
n2494	n2495	0.00477
13736	n2494	0.00477
n2493	n2494	0.00014
12866	n2493	0.00478
10384	n2493	0.00477
20408	n2496	0.00014
14876	n2499	0.00416
n2520	n2522	0.0088
n2513	n2520	0.00028
n2511	n2513	0.0003
n2506	n2511	0.00388
6254	n2506	0.00388
n2505	n2506	0.00014
n2504	n2505	0.00015
n2502	n2504	0.00251
6036	n2502	0.01192
1282	n2502	0.00236
12527	n2504	0.00472
662	n2505	0.01183
n2510	n2511	0.00014
n2508	n2510	0.00233
40747	n2508	0.00194
35716	n2508	0.00964
18047	n2510	0.00989
23477	n2513	0.00014
n2518	n2520	0.01635
n2515	n2518	0.01313
39045	n2515	0.00056
9735	n2515	0.05067
n2517	n2518	0.01592
3116	n2517	0.0418
n2516	n2517	0.02011
40852	n2516	0.01876
27462	n2516	0.06762
n2529	n2530	0.06659
n2523	n2529	0.01727
1627	n2523	0.02295
16803	n2523	0.03987
n2528	n2529	0.0509
n2524	n2528	0.02232
6858	n2524	0.02378
34984	n2524	0.00424
n2527	n2528	0.00372
n2526	n2527	0.00218
5258	n2526	0.00015
n2525	n2526	0.00434
28436	n2525	0.00697
436	n2525	0.04565
9357	n2527	0.00014
n2534	n2535	0.01604
n2532	n2534	0.08703
27958	n2532	0.01175
n2531	n2532	0.01259
6336	n2531	0.03914
29192	n2531	0.00697
n2533	n2534	0.01738
21808	n2533	0.01476
12536	n2533	0.03013
n2546	n2550	0.05276
n2536	n2546	0.04282
569	n2536	0.01214
38028	n2536	0.00385
n2545	n2546	0.01366
n2539	n2545	0.00214
2372	n2539	0.00014
12293	n2539	0.01177
n2544	n2545	0.04706
n2543	n2544	0.0088
17324	n2543	0.01197
n2541	n2543	0.00821
n2540	n2541	0.00164
18811	n2540	0.20626
12736	n2540	0.00554
35944	n2541	0.00239
21695	n2544	0.02705
n2554	n2555	0.03057
23344	n2554	0.0227
n2553	n2554	0.01047
28886	n2553	0.00014
n2552	n2553	0.00014
19751	n2552	0.02194
32543	n2552	0.00234
n2570	n2571	0.01013
17217	n2570	0.00654
n2569	n2570	0.01188
14049	n2569	0.00714
18302	n2569	0.00189
n2669	n2671	0.03805
29451	n2669	0.16349
n2659	n2669	0.04796
13035	n2659	0.01473
20637	n2659	0.01318
n3208	n3210	0.03341
39488	n3208	0.34792
n3193	n3208	0.05921
1993	n3193	0.01592
n3177	n3193	0.02993
2795	n3177	0.05885
29718	n3177	0.01878
n4833	n4834	0.03216
n4601	n4833	0.02363
n3708	n4601	0.07885
n3699	n3708	0.07245
18626	n3699	0.08615
n3698	n3699	0.00802
n3274	n3698	0.00558
n3240	n3274	0.01774
n3234	n3240	0.00336
4573	n3234	0.02869
n3233	n3234	0.00015
13257	n3233	0.02926
10049	n3233	0.05563
n3239	n3240	0.01293
n3238	n3239	0.01833
31536	n3238	0.00554
n3237	n3238	0.01691
586	n3237	0.08904
n3236	n3237	0.00015
14106	n3236	0.02819
n3235	n3236	0.01237
15755	n3235	0.01672
25033	n3235	0.01443
18768	n3239	0.01428
n3273	n3274	0.00466
n3272	n3273	0.00867
n3250	n3272	0.01166
n3242	n3250	0.01487
24112	n3242	0.0186
n3241	n3242	0.04139
9836	n3241	0.01444
17083	n3241	0.03595
n3249	n3250	0.00817
n3245	n3249	0.00217
17032	n3245	0.00935
n3244	n3245	0.0256
28972	n3244	0.00014
n3243	n3244	0.00438
7958	n3243	0.02004
32238	n3243	0.01902
n3248	n3249	0.00014
n3247	n3248	0.00015
27050	n3247	0.01152
n3246	n3247	0.01437
4610	n3246	0.01772
17714	n3246	0.05128
28251	n3248	0.00762
n3271	n3272	0.03009
n3252	n3271	0.01177
21113	n3252	0.04212
n3251	n3252	0.00224
29817	n3251	0.03888
36143	n3251	0.0287
n3270	n3271	0.0109
n3259	n3270	0.01001
14849	n3259	0.03381
n3258	n3259	0.00659
n3253	n3258	0.00302
37808	n3253	0.02234
6091	n3253	0.02444
n3257	n3258	0.00016
3329	n3257	0.00681
n3256	n3257	0.00099
n3254	n3256	0.02107
39183	n3254	0.05025
11077	n3254	0.0041
n3255	n3256	0.00237
39925	n3255	0.00966
16436	n3255	0.00492
n3269	n3270	0.00621
n3260	n3269	0.0028
17788	n3260	0.02343
1113	n3260	0.01064
n3268	n3269	0.00868
n3262	n3268	0.00552
n3261	n3262	0.00166
15463	n3261	0.05849
24926	n3261	0.00986
8439	n3262	0.00778
n3267	n3268	0.00015
n3265	n3267	0.00015
n3263	n3265	0.00394
1423	n3263	0.02444
2337	n3263	0.01842
n3264	n3265	0.00016
18027	n3264	0.01194
32473	n3264	0.01357
n3266	n3267	0.01455
11477	n3266	0.00015
33344	n3266	0.01627
8768	n3273	0.03762
n3697	n3698	0.00015
n3278	n3697	0.0081
10904	n3278	0.01263
n3277	n3278	0.00252
n3276	n3277	0.02713
9506	n3276	0.04007
n3275	n3276	0.04785
24694	n3275	0.0413
36666	n3275	0.10886
22364	n3277	0.00679
n3696	n3697	0.02859
n3280	n3696	0.00412
20510	n3280	0.09291
n3279	n3280	0.01761
4394	n3279	0.09678
27989	n3279	0.04151
n3695	n3696	0.00036
n3694	n3695	0.05572
n3653	n3694	0.00814
13750	n3653	0.0073
n3652	n3653	0.02249
n3611	n3652	0.00322
n3291	n3611	0.00895
n3290	n3291	0.01262
n3289	n3290	0.01218
n3288	n3289	0.00097
n3285	n3288	0.00281
20536	n3285	0.01139
n3284	n3285	0.00239
26597	n3284	0.00726
n3283	n3284	0.01289
23330	n3283	0.00014
n3281	n3283	0.02413
14683	n3281	0.01677
4942	n3281	0.0095
n3287	n3288	0.00015
34937	n3287	0.01218
n3286	n3287	0.00559
2997	n3286	0.00482
32757	n3286	0.00622
37910	n3289	0.03736
28188	n3290	0.01778
11317	n3291	0.01171
n3610	n3611	0.00104
n3607	n3610	0.00012
n3523	n3607	0.0001
n3518	n3523	0.00084
n3476	n3518	0.0076
29849	n3476	0.00965
n3475	n3476	0.0057
n3294	n3475	0.00016
17116	n3294	0.01681
24909	n3294	0.00964
n3473	n3475	0.00204
n3393	n3473	0.00011
n3352	n3393	0.00011
n3326	n3352	0.00212
n3325	n3326	0.00038
n3324	n3325	0.00014
n3304	n3324	0.00235
n3303	n3304	0.0134
19780	n3303	0.03312
n3302	n3303	0.0085
n3297	n3302	0.00014
35560	n3297	0.00953
n3296	n3297	0.00016
7237	n3296	0.00714
n3295	n3296	0.00014
9668	n3295	0.00953
9723	n3295	0.02116
n3301	n3302	0.00015
n3299	n3301	0.00015
31574	n3299	0.01102
n3298	n3299	0.01221
8774	n3298	0.04029
21646	n3298	0.05781
n3300	n3301	0.01789
5031	n3300	0.03466
13315	n3300	0.01287
15770	n3304	0.00713
n3323	n3324	0.00898
19792	n3323	0.00956
n3322	n3323	0.00042
n3320	n3322	0.00015
n3315	n3320	0.00015
n3313	n3315	0.00015
n3312	n3313	0.00013
n3311	n3312	0.00015
n3306	n3311	0.00233
29236	n3306	0.00475
n3305	n3306	0.00015
807	n3305	0.00715
15033	n3305	0.00715
n3310	n3311	0.00168
n3309	n3310	0.00025
11974	n3309	0.00936
n3308	n3309	0.0017
n3307	n3308	0.00314
19620	n3307	0.00629
24406	n3307	0.00237
25043	n3308	0.00955
23141	n3310	0.00934
34576	n3312	0.00951
20859	n3313	0.01194
n3314	n3315	0.00645
57	n3314	0.015
11688	n3314	0.00882
n3319	n3320	0.00675
2510	n3319	0.01474
n3318	n3319	0.00011
29643	n3318	0.05377
n3317	n3318	0.00015
31384	n3317	0.00715
n3316	n3317	0.0046
17408	n3316	0.00718
35613	n3316	0.00717
n3321	n3322	0.00236
11302	n3321	0.00717
36686	n3321	0.00719
16676	n3325	0.00955
11543	n3326	0.00956
n3351	n3352	0.00018
n3350	n3351	0.00208
n3349	n3350	0.00013
n3347	n3349	0.0001
n3327	n3347	0.00236
4726	n3327	0.00717
30034	n3327	0.00959
n3346	n3347	0.00013
n3345	n3346	0.00015
n3343	n3345	0.00012
n3329	n3343	0.00293
25032	n3329	0.00728
n3328	n3329	0.00534
4038	n3328	0.01832
15147	n3328	0.01819
n3342	n3343	0.00015
n3341	n3342	0.003
n3340	n3341	0.00016
n3339	n3340	0.00015
24525	n3339	0.00714
n3338	n3339	0.00015
26616	n3338	0.00715
n3337	n3338	0.00014
n3336	n3337	0.00301
n3335	n3336	0.00015
26220	n3335	0.00717
n3334	n3335	0.00014
9789	n3334	0.00964
n3333	n3334	0.00016
n3332	n3333	0.00341
14298	n3332	0.00951
n3331	n3332	0.00391
1998	n3331	0.00207
n3330	n3331	0.0047
31895	n3330	0.00655
12422	n3330	0.0005
28064	n3333	0.00472
19078	n3336	0.00715
6193	n3337	0.00715
