child	parent	length
n12908		0
n12814	n12908	0.00164
n12500	n12814	0.01071
n12479	n12500	0.05075
n12081	n12479	0.01424
n1180	n12081	0.00931
n490	n1180	0.03256
39311	n490	0.06635
32273	n490	0.09935
n1146	n1180	0.02597
n592	n1146	0.03131
n591	n592	0.00014
n577	n591	0.0024
18272	n577	0.00725
11129	n577	0.00485
28411	n591	0.00595
34213	n592	0.01213
n1142	n1146	0.03424
n1004	n1142	0.02095
n1000	n1004	0.01419
n934	n1000	0.0347
n902	n934	0.01268
n826	n902	0.01925
n787	n826	0.02248
n750	n787	0.00939
n691	n750	0.07314
4555	n691	0.02857
30835	n691	0.01547
15363	n750	0.18207
n784	n787	0.05078
n778	n784	0.00518
n769	n778	0.02981
5577	n769	0.02061
n768	n769	0.00016
n766	n768	0.0129
29773	n766	0.01995
n765	n766	0.028
n759	n765	0.01466
39427	n759	0.01034
17748	n759	0.16615
23611	n765	0.01718
n767	n768	0.00494
39622	n767	0.00249
31172	n767	0.0075
n770	n778	0.02689
22031	n770	0.00015
31279	n770	0.02547
n783	n784	0.0062
28304	n783	0.00996
30528	n783	0.05719
n821	n826	0.12751
n816	n821	0.02057
36198	n816	0.0353
n811	n816	0.09305
40486	n811	0.00016
n810	n811	0.00224
38276	n810	0.00742
29867	n810	0.05273
n818	n821	0.05547
35698	n818	0.02889
n817	n818	0.01142
23914	n817	0.00016
31187	n817	0.01774
n870	n902	0.06592
31717	n870	0.01349
28432	n870	0.01573
n921	n934	0.08637
32105	n921	0.0143
n920	n921	0.0137
n914	n920	0.00015
11819	n914	0.01056
n911	n914	0.0151
20941	n911	0.01536
3492	n911	0.00015
n918	n920	0.01368
33	n918	0.03411
32875	n918	0.00014
1753	n1000	0.04029
32295	n1004	0.00724
20366	n1142	0.21413
n12074	n12081	0.00426
n11045	n12074	0.16189
n10978	n11045	0.0271
n8882	n10978	0.01412
n1690	n8882	0.05237
n1636	n1690	0.01927
n1556	n1636	0.01412
18802	n1556	0.0096
36938	n1556	0.0099
n1631	n1636	0.02185
n1629	n1631	0.01053
n1620	n1629	0.01634
21220	n1620	0.02676
n1619	n1620	0.00244
n1584	n1619	0.00891
4278	n1584	0.00959
n1580	n1584	0.00028
n1576	n1580	0.00057
38192	n1576	0.05044
16219	n1576	0.0097
22916	n1580	0.01922
5820	n1619	0.10601
10658	n1629	0.09365
38067	n1631	0.01964
34149	n1690	0.09625
n8175	n8882	0.03217
n1792	n8175	0.065
n1751	n1792	0.01096
35663	n1751	0.07177
n1750	n1751	0.00616
n1727	n1750	0.0034
23264	n1727	0.01342
22002	n1727	0.01243
n1749	n1750	0.02152
30632	n1749	0.02865
n1747	n1749	0.00031
15248	n1747	0.02547
n1743	n1747	0.00942
8115	n1743	0.01169
16912	n1743	0.00491
36446	n1792	0.02596
n8173	n8175	0.02588
n2335	n8173	0.0481
n2330	n2335	0.06527
19400	n2330	0.03583
n2329	n2330	0.01108
24141	n2329	0.06609
n2328	n2329	0.02285
n2307	n2328	0.04205
n2252	n2307	0.00308
n2237	n2252	0.00809
16099	n2237	0.01737
n2235	n2237	0.00028
32941	n2235	0.00735
39634	n2235	0.00737
34277	n2252	0.01936
n2298	n2307	0.00739
33807	n2298	0.06212
n2296	n2298	0.00315
37962	n2296	0.00735
32094	n2296	0.01267
n2327	n2328	0.04452
n2310	n2327	0.04828
556	n2310	0.01248
n2309	n2310	0.00524
25129	n2309	0.01803
27685	n2309	0.03356
n2326	n2327	0.00069
n2323	n2326	0.00039
n2322	n2323	0.00012
n2321	n2322	0.00129
38781	n2321	0.00978
n2320	n2321	0.0001
n2319	n2320	0.00031
n2313	n2319	0.00023
21537	n2313	0.07141
25664	n2313	0.03185
n2318	n2319	0.00719
n2317	n2318	0.00014
10755	n2317	0.00014
n2316	n2317	0.00015
29764	n2316	0.01237
n2315	n2316	0.00016
5184	n2315	0.01006
n2314	n2315	0.00239
29562	n2314	0.00491
37187	n2314	0.00992
30937	n2318	0.00244
18823	n2320	0.00014
38176	n2322	0.00991
26171	n2323	0.01238
n2325	n2326	0.00669
n2324	n2325	0.00014
9271	n2324	0.01509
27636	n2324	0.00491
10257	n2325	0.03688
n2334	n2335	0.07151
25668	n2334	0.03866
n2333	n2334	0.00015
40819	n2333	0.01559
12039	n2333	0.04652
n8172	n8173	0.03912
n7167	n8172	0.05346
n4834	n7167	0.01382
n3210	n4834	0.01599
n2580	n3210	0.20773
14439	n2580	0.00234
n2579	n2580	0.00015
23170	n2579	0.00014
32898	n2579	0.01187
n2779	n3210	0.0893
3342	n2779	0.04831
33263	n2779	0.01674
n4745	n4834	0.04467
n3231	n4745	0.20797
n3224	n3231	0.00063
19410	n3224	0.00387
n3223	n3224	0.00014
25028	n3223	0.00014
11921	n3223	0.00833
n3230	n3231	0.01532
n3228	n3230	0.01951
34376	n3228	0.0071
24369	n3228	0.00754
n3229	n3230	0.01211
4567	n3229	0.05351
2738	n3229	0.01871
30310	n4745	0.282
n7140	n7167	0.15545
n5875	n7140	0.02804
n5107	n5875	0.11169
n5099	n5107	0.00482
n5089	n5099	0.00014
19318	n5089	0.00248
33934	n5089	0.00498
n5097	n5099	0.04204
n5093	n5097	0.00987
n5091	n5093	0.00016
8050	n5091	0.00757
2520	n5091	0.00014
n5092	n5093	0.00543
18608	n5092	0.00686
2880	n5092	0.00534
n5096	n5097	0.00015
7298	n5096	0.00014
n5095	n5096	0.00015
20369	n5095	0.01727
n5094	n5095	0.00243
2222	n5094	0.00497
33191	n5094	0.00747
n5106	n5107	0.00016
n5103	n5106	0.00492
20955	n5103	0.00497
n5102	n5103	0.00016
37075	n5102	0.00496
n5101	n5102	0.00016
9553	n5101	0.00247
n5100	n5101	0.00014
33595	n5100	0.00496
27772	n5100	0.00495
n5105	n5106	0.00247
21397	n5105	0.00016
n5104	n5105	0.0025
23380	n5104	0.00755
12534	n5104	0.00251
n5828	n5875	0.05647
n5738	n5828	0.00387
n5707	n5738	0.00998
n5573	n5707	0.0081
n5215	n5573	0.02537
33454	n5215	0.01653
n5210	n5215	0.02719
n5196	n5210	0.00235
4581	n5196	0
34408	n5196	0
n5201	n5210	0.0209
27864	n5201	0.00257
n5200	n5201	0.00015
11917	n5200	0.00014
n5199	n5200	0.00014
26761	n5199	0.02355
11589	n5199	0.00486
n5564	n5573	0.03736
n5483	n5564	0.02399
8275	n5483	0.00469
n5482	n5483	0.00243
7424	n5482	0.00488
5727	n5482	0.00487
n5560	n5564	0.0238
n5535	n5560	0.0041
18194	n5535	0.00978
16930	n5535	0.02509
14698	n5560	0.01638
n5705	n5707	0.03294
n5704	n5705	0.01006
n5689	n5704	0.03446
12349	n5689	0.00238
n5688	n5689	0.00015
40574	n5688	0.00014
24001	n5688	0.0073
n5703	n5704	0.06463
4250	n5703	0.0048
7069	n5703	0.00014
38561	n5705	0.08365
n5725	n5738	0.05051
9289	n5725	0.00014
n5723	n5725	0.00029
34508	n5723	0.0128
n5722	n5723	0.00015
7860	n5722	0.00969
n5718	n5722	0.05649
18315	n5718	0.0495
4930	n5718	0.05276
n5827	n5828	0.01327
n5749	n5827	0.10024
14900	n5749	0.0251
n5748	n5749	0.00015
16689	n5748	0
37232	n5748	0
n5825	n5827	0.11541
n5824	n5825	0.04404
6048	n5824	0
18818	n5824	0
23540	n5825	0.00978
n6941	n7140	0.03288
40130	n6941	0.14614
n6389	n6941	0.7755
27062	n6389	0.0048
298	n6389	0.00014
n8163	n8172	0.05406
n8137	n8163	0.11689
n8128	n8137	0.01416
n8121	n8128	0.00015
n8113	n8121	0.00688
n8104	n8113	0.00057
7383	n8104	0.02627
n8103	n8104	0.00514
n8088	n8103	0.00028
25442	n8088	0.00971
13612	n8088	0.01006
n8096	n8103	0.01385
9647	n8096	0.06348
n8093	n8096	0.03229
15566	n8093	0.08098
33757	n8093	0.00916
2879	n8113	0.07315
n8120	n8121	0.0151
15014	n8120	0.15745
16214	n8120	0.05257
15952	n8128	0.04562
n8131	n8137	0.03146
16337	n8131	0.00735
n8130	n8131	0.00248
2130	n8130	0.012
n8129	n8130	0.00016
554	n8129	0.00014
21846	n8129	0.00014
