child	parent	length
20576	n464	0.07397
n461	n464	0.01689
16383	n461	0.00407
11242	n461	0.02499
29921	n465	0.0468
36519	n478	0.02042
36520	n483	0.00739
21553	n485	0.00489
18634	n494	0.03206
13768	n497	0.00776
n1174	n1180	0.00142
n1159	n1174	0.00163
n516	n1159	0.0124
16491	n516	0.00855
n515	n516	0.01047
n513	n515	0.00014
594	n513	0.00408
n512	n513	0.00015
33755	n512	0.00827
n511	n512	0.00014
14800	n511	0.00828
n509	n511	0.06253
7908	n509	0.01463
27992	n509	0.01718
39603	n515	0.01234
n1157	n1159	0.00988
n521	n1157	0.00029
517	n521	0.00744
631	n521	0.00728
n1151	n1157	0.00655
n531	n1151	0.01117
11163	n531	0.0249
n530	n531	0.03154
24333	n530	0.0291
38754	n530	0.02472
n1150	n1151	0.00014
24208	n1150	0.00484
n1147	n1150	0.00333
n1146	n1147	0.00302
n626	n1146	0.00031
n623	n626	0.01914
n573	n623	0.00477
2461	n573	0.01394
n572	n573	0.00014
n560	n572	0.00262
15999	n560	0.00729
n559	n560	0.00102
n536	n559	0.0137
n533	n536	0.0027
7565	n533	0.00738
20943	n533	0.0027
15115	n536	0.00743
13981	n559	0.02844
n571	n572	0.00504
3073	n571	0.03359
n569	n571	0.07393
n565	n569	0.00014
n564	n565	0.0298
11654	n564	0.00218
27888	n564	0.05503
6651	n565	0.01218
n568	n569	0.00949
n566	n568	0.00029
28665	n566	0.01462
11874	n566	0.00971
14206	n568	0.01213
n608	n623	0.0089
n590	n608	0.00325
n587	n590	0.00029
12750	n587	0.02536
n585	n587	0.01027
n580	n585	0.03713
32190	n580	0.02159
37115	n580	0.00725
21467	n585	0.01884
n589	n590	0.00241
38686	n589	0.00242
32746	n589	0.00488
n606	n608	0.00028
n602	n606	0.00015
n597	n602	0.00457
6452	n597	0.01948
21593	n597	0.00926
31352	n602	0.05791
n605	n606	0.00529
18702	n605	0.00538
9400	n605	0.0111
n625	n626	0.00239
40327	n625	0.0073
20669	n625	0.0097
n1145	n1146	0.00372
n646	n1145	0.00649
n635	n646	0.01807
23701	n635	0.01618
7773	n635	0.01775
n645	n646	0.10867
39614	n645	0.00917
n641	n645	0.01103
33392	n641	0.00016
n638	n641	0.00855
9333	n638	0.03864
4568	n638	0.02268
n1144	n1145	0.00029
n653	n1144	0.00323
3787	n653	0.02346
n652	n653	0.00741
n650	n652	0.00493
27149	n650	0.00014
n649	n650	0.00014
21345	n649	0.02516
34126	n649	0.00976
12148	n652	0.01488
n1142	n1144	0.03023
n1002	n1142	0.02768
n1001	n1002	0.00016
n1000	n1001	0.0073
n950	n1000	0.01441
n935	n950	0.01343
n670	n935	0.05069
n658	n670	0.01658
6964	n658	0.00014
1001	n658	0.01546
n669	n670	0.00015
25404	n669	0.0139
8664	n669	0.02326
n934	n935	0.00686
n902	n934	0.01268
n855	n902	0.00936
n853	n855	0.00228
n826	n853	0.00761
n787	n826	0.02248
n751	n787	0.00577
n682	n751	0.03554
n678	n682	0.00858
7453	n678	0.01272
n677	n678	0.04685
n676	n677	0.00244
2818	n676	0.0048
n674	n676	0.01079
5903	n674	0.00014
n673	n674	0.02397
8994	n673	0.00014
n672	n673	0.01946
1999	n672	0.02337
29309	n672	0.09163
31680	n677	0.00499
17661	n682	0.0209
n750	n751	0.00362
n697	n750	0.03618
n685	n697	0.02856
14793	n685	0.02512
34232	n685	0.01421
n693	n697	0.03439
5207	n693	0.03882
5361	n693	0.00016
n749	n750	0.00342
20346	n749	0.06505
n747	n749	0.01339
n742	n747	0.02984
12770	n742	0.0781
n741	n742	0.03439
32650	n741	0.04331
n731	n741	0.0393
n730	n731	0.01264
n722	n730	0.03986
37133	n722	0.00772
6089	n722	0.02563
34197	n730	0.08795
10708	n731	0.08586
n744	n747	0.01694
14824	n744	0.0206
15692	n744	0.03176
n778	n787	0.05596
n765	n778	0.07087
n759	n765	0.01466
2504	n759	0.01769
6914	n759	0.08325
15342	n765	0.00743
n774	n778	0.03003
8000	n774	0.01679
40817	n774	0.01002
n825	n826	0.02424
31847	n825	0.05481
n823	n825	0.06507
25908	n823	0.10579
n821	n823	0.0382
n814	n821	0.05466
19214	n814	0.13549
n813	n814	0.05379
n804	n813	0.00732
8008	n804	0.00016
31222	n804	0.00957
7150	n813	0.00523
39297	n821	0.07837
n840	n853	0.04775
n829	n840	0.03029
32876	n829	0.00016
32937	n829	0.01754
n837	n840	0.01854
24787	n837	0.00014
32316	n837	0.01653
31718	n855	0.04434
n901	n902	0.01248
n898	n901	0.00455
n871	n898	0.01321
n858	n871	0.01848
35420	n858	0.07396
n857	n858	0.03256
20578	n857	0.01002
22204	n857	0.01642
n870	n871	0.03568
n868	n870	0.00301
n860	n868	0.00293
21019	n860	0.00014
22937	n860	0.01039
38928	n868	0.01796
29633	n870	0.02601
n897	n898	0.01207
n879	n897	0.00679
n874	n879	0.00851
27018	n874	0.00383
11949	n874	0.00556
29185	n879	0.01038
n896	n897	0.00015
37439	n896	0.0128
n892	n896	0.0033
