child	parent	length
n12908		0
n12814	n12908	0.00164
n12616	n12814	0.00037
n12614	n12616	0.0036
n8	n12614	0.00553
n2	n8	0.00357
n1	n2	0.0108
22304	n1	0.00415
29506	n1	0.0077
26772	n2	0.00584
n7	n8	0.00794
n4	n7	0.00628
27482	n4	0.00879
n3	n4	0.01228
28748	n3	0.01618
3765	n3	0.01318
8619	n7	0.09496
n12613	n12614	0.00016
n12500	n12613	0.00658
n12496	n12500	0.00016
n12488	n12496	0.00015
n12483	n12488	0.00472
31228	n12483	0.00644
n12481	n12483	0.03418
n12	n12481	0.015
2433	n12	0.00711
6676	n12	0.031
n12480	n12481	0.01139
n13	n12480	0.00786
5730	n13	0.01685
26664	n13	0.01718
n12479	n12480	0.00015
n12082	n12479	0.01408
n12081	n12082	0.00016
n1197	n12081	0.00279
n1194	n1197	0.00304
n1187	n1194	0.00022
n1185	n1187	0.00016
n1184	n1185	0.00061
7395	n1184	0.01222
n1183	n1184	0.00017
n16	n1183	0.00252
n15	n16	0.00015
25290	n15	0.00977
n14	n15	0.00014
30656	n14	0.02188
24838	n14	0.00769
28638	n16	0.00231
n1182	n1183	0.00056
n33	n1182	0.00308
n18	n33	0.00015
22598	n18	0.00979
n17	n18	0.00014
25253	n17	0.00487
11938	n17	0.00487
n32	n33	0.02311
16711	n32	0.00706
n31	n32	0.00016
n30	n31	0.00729
9930	n30	0.00939
n28	n30	0.00259
20497	n28	0.00248
n27	n28	0.00245
14498	n27	0.01187
n26	n27	0.00014
1729	n26	0.0047
n23	n26	0.00029
n20	n23	0.00492
8822	n20	0.00707
14791	n20	0.00739
8991	n23	0.00717
2820	n31	0.02678
n1181	n1182	0.00162
n38	n1181	0.00014
n37	n38	0.00014
40785	n37	0.05003
1045	n37	0.00982
33140	n38	0.00977
n1180	n1181	0.00014
n500	n1180	0.01218
n499	n500	0.00169
n45	n499	0.01893
33521	n45	0.01235
n44	n45	0.00015
n42	n44	0.00618
n40	n42	0.00866
40724	n40	0.00998
24722	n40	0.02601
n41	n42	0.00014
10033	n41	0.01061
2040	n41	0.00989
10863	n44	0.00751
n498	n499	0.00226
n68	n498	0.01334
8550	n68	0.01431
n66	n68	0.02031
11274	n66	0.03251
n65	n66	0.03716
n60	n65	0.01092
n56	n60	0.00468
29852	n56	0.0344
n55	n56	0.01568
n49	n55	0.00016
20088	n49	0.02039
n48	n49	0.01553
21700	n48	0.00901
n47	n48	0.00016
12846	n47	0.00414
30712	n47	0.00652
n54	n55	0.03321
n51	n54	0.00031
25120	n51	0.03397
11403	n51	0.04725
n53	n54	0.0112
9712	n53	0.01721
25784	n53	0.01499
1638	n60	0.01525
n64	n65	0.00014
9957	n64	0.01691
n63	n64	0.03071
30489	n63	0.00015
n62	n63	0.00331
4383	n62	0.03742
29691	n62	0.00623
n497	n498	0.00015
n495	n497	0.005
16742	n495	0.04263
n493	n495	0.00893
n490	n493	0.00235
n109	n490	0.00361
n71	n109	0.00435
27019	n71	0.00383
31560	n71	0.01317
n108	n109	0.00361
n75	n108	0.00283
n73	n75	0.00265
8416	n73	0.01218
20767	n73	0.01635
n74	n75	0.03707
39015	n74	0.0173
20439	n74	0.00235
n107	n108	0.00014
n76	n107	0.00121
165	n76	0.00131
28026	n76	0.01208
n106	n107	0.00016
n105	n106	0.00015
n104	n105	0.00014
n103	n104	0.00014
n102	n103	0.0001
n81	n102	0.00014
n77	n81	0.00242
24770	n77	0.00729
36759	n77	0.00729
n80	n81	0.00014
40463	n80	0.00973
n79	n80	0.00014
19916	n79	0.01949
36185	n79	0.03839
n101	n102	0.00748
n98	n101	0.02253
n83	n98	0.0076
37518	n83	0.00894
n82	n83	0.0374
26866	n82	0.00914
32620	n82	0.09022
n97	n98	0.00015
21779	n97	0.0468
n96	n97	0.00016
n84	n96	0.00457
34055	n84	0.00456
1297	n84	0.00921
n93	n96	0.02971
n88	n93	0.00414
n87	n88	0.00029
37616	n87	0.01174
18108	n87	0.01082
26621	n88	0.02028
36000	n93	0.0144
n100	n101	0.01818
15767	n100	0.01442
n99	n100	0.00311
9526	n99	0.00913
27254	n99	0.02748
34998	n103	0.00728
8124	n104	0.00973
5918	n105	0.00728
1026	n106	0.01476
n489	n490	0.00156
n443	n489	0.00656
n119	n443	0.01409
n112	n119	0.00979
19532	n112	0.01252
n110	n112	0.00983
361	n110	0.02081
29385	n110	0.00678
n118	n119	0.00617
n116	n118	0.01544
n115	n116	0.01521
n114	n115	0.00014
38923	n114	0.01964
n113	n114	0.00015
26729	n113	0.01189
28911	n113	0.01528
34748	n115	0.0639
31413	n116	0.01008
n117	n118	0.02812
3895	n117	0.04639
24224	n117	0.01198
n442	n443	0.00015
n186	n442	0.00216
n120	n186	0.00424
28582	n120	0.02118
22539	n120	0.01691
n185	n186	0.00679
n138	n185	0.00015
n137	n138	0.0001
n135	n137	0.0001
n134	n135	0.00012
n121	n134	0.00418
39661	n121	0.00842
13472	n121	0.00842
n127	n134	0.02822
34733	n127	0.01263
n126	n127	0.00013
12356	n126	0.01263
n125	n126	0.0025
28008	n125	0.05495
n124	n125	0.0138
n122	n124	0.03522
27469	n122	0.05778
34539	n122	0.01288
15205	n124	0.03622
22642	n135	0.01265
n136	n137	0.00418
15985	n136	0.00841
17994	n136	0.01696
2789	n138	0.01205
n184	n185	0.0026
n182	n184	0.00159
n180	n182	0.0001
n179	n180	0.00033
n144	n179	0.00444
n139	n144	0.00818
22966	n139	0.01264
30514	n139	0.01672
n142	n144	0.07377
n140	n142	0.03592
1399	n140	0.03043
20913	n140	0.04618
n141	n142	0.04331
26420	n141	0.03748
11657	n141	0.02701
n178	n179	0.01147
n153	n178	0.0041
n150	n153	0.00478
14287	n150	0.01666
n149	n150	0.00366
18623	n149	0.02485
n148	n149	0.00759
19270	n148	0.01275
38335	n148	0.00845
14053	n153	0.01624
n177	n178	0.00058
n154	n177	0.00416
29622	n154	0.02574
16362	n154	0.01271
n176	n177	0.00024
n173	n176	0.00012
n170	n173	0.0014
n162	n170	0.00016
18214	n162	0.01693
n161	n162	0.00803
11849	n161	0.0084
n159	n161	0.00027
n155	n159	0.00015
19927	n155	0.01259
31742	n155	0.01693
n158	n159	0.00016
n157	n158	0.00779
35	n157	0.02746
3210	n157	0.00808
16071	n158	0.0084
n169	n170	0.00298
35117	n169	0.01036
n167	n169	0.00897
37250	n167	0.02901
n166	n167	0.00477
184	n166	0.0049
n165	n166	0.00014
6583	n165	0.00981
6904	n165	0.0049
26022	n173	0.01452
n174	n176	0.01265
30443	n174	0
38190	n174	0
13399	n180	0.01263
3007	n182	0.02386
n183	n184	0.00833
8899	n183	0.00829
21921	n183	0.02138
n441	n442	0.00339
n428	n441	0.01082
37576	n428	0.0206
n427	n428	0.00014
n209	n427	0.0001
n208	n209	0.00346
n200	n208	0.00833
n188	n200	0.00597
9733	n188	0.01026
4751	n188	0.01178
n199	n200	0.00019
n195	n199	0.01214
40621	n195	0.00016
19314	n195	0.012
9881	n199	0.01247
n207	n208	0.0176
n203	n207	0.01416
n201	n203	0.03102
411	n201	0.03331
22746	n201	0.01698
n202	n203	0.00991
17262	n202	0.0299
23471	n202	0.0295
n206	n207	0.00016
11934	n206	0.01866
39738	n206	0.0774
17002	n209	0.0292
n426	n427	0.00275
n418	n426	0.00015
n211	n418	0.00562
12832	n211	0.01812
n210	n211	0.00859
22840	n210	0.00646
26185	n210	0.01916
n417	n418	0.01408
n243	n417	0.00168
n239	n243	0.00015
n214	n239	0.00016
24092	n214	0.00494
33227	n214	0.03107
n238	n239	0.01001
7989	n238	0.00352
n237	n238	0.00015
19252	n237	0.00838
n235	n237	0.00031
n234	n235	0.00014
n228	n234	0.02754
n225	n228	0.00023
14090	n225	0.01263
n222	n225	0.00894
3070	n222	0.00014
n221	n222	0.00301
5295	n221	0.07571
n220	n221	0.00286
11466	n220	0.00576
n219	n220	0.00015
27346	n219	0.01277
n218	n219	0.00015
9168	n218	0.00839
22399	n218	0.01267
23301	n228	0.02113
17592	n234	0.02554
4092	n235	0.00839
n242	n243	0.0121
n240	n242	0.00176
37266	n240	0.04658
37400	n240	0.00537
11901	n242	0.00366
