site	primer	treatment	taxon	id	distance	abundance_log	abundance_CSS	abundance_DESeq2
RyanCt	NF118Sr2b	Post	Leptosomatidae	23660	0.0219112264129118	-9.730720	1.5469	1.08812
RyanCt	NF118Sr2b	Post	Leptosomatidae	5792	0.0237533292778842	-10.829332	0.90625	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	17327	0.0258391485013483	-10.829332	0.90625	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	16958	0.0221324006024057	-10.829332	0.90625	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	12390	0.023311695880053	-10.136185	1.2955	0.84567
RyanCt	NF118Sr2b	Post	Leptosomatidae	2318	0.0195145392265286	-10.136185	1.2955	0.84567
RyanCt	NF118Sr2b	Post	Leptosomatidae	8781	0.0259415419700922	-10.136185	1.0854	0.84567
RyanCt	NF118Sr2b	Post	Leptosomatidae	31659	0.0233249821831818	-10.829332	0.90625	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	38388	0.021991672617761	-9.730720	1.5469	1.08812
RyanCt	NF118Sr2b	Post	Leptosomatidae	27925	0.0233715617157925	-9.219895	1.8808	1.40792
RyanCt	NF118Sr2b	Post	Leptosomatidae	34610	0.0234437863222772	-10.829332	0.90625	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	37418	0.0257589782429174	-10.829332	0.90625	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	697	0.0218271913094411	-10.829332	0.90625	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	2662	0.0230252634890651	-8.264383	2.53655	1.99792
RyanCt	NF118Sr2b	Post	Leptosomatidae	7586	0.0233361918780164	-10.829332	0.90625	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	21203	0.0164791968652901	-9.219895	1.8808	1.40792
RyanCt	NF118Sr2b	Post	Leptosomatidae	23694	0.022234267464828	-10.136185	1.0854	0.84567
RyanCt	NF118Sr2b	Post	Leptosomatidae	23620	0.0212312382690302	-9.037573	2.0034	1.52247
RyanCt	NF118Sr2b	Post	Phanodermatidae	24571	0.0239584066593004	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	39577	0.0218660655707183	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	12493	0.0238373121891367	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	8424	0.0239653884524552	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	29644	0.0218670142396465	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Phanodermatidae	28759	0.0166445182724252	-9.730720	1.3224	1.08812
RyanCt	NF118Sr2b	Post	Phanodermatidae	29327	0.0132890365448505	-10.136185	1.2955	0.84567
RyanCt	NF118Sr2b	Post	Leptosomatidae	35633	0.0174025274404615	-10.829332	0.90625	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	31202	0.0171468547344909	-10.136185	1.2955	0.84567
RyanCt	NF118Sr2b	Post	Leptosomatidae	8578	0.021017360089873	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	31004	0.0199670003790497	-9.443038	1.50045	1.26772
RyanCt	NF118Sr2b	Post	Leptosomatidae	21184	0.0172561225661889	-9.730720	1.5469	1.08812
RyanCt	NF118Sr2b	Post	Leptosomatidae	28554	0.0172738122402979	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Phanodermatidae	35255	0.0245440677539192	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	18751	0.0232316647717738	-10.136185	1.0854	0.84567
RyanCt	NF118Sr2b	Post	Leptosomatidae	35114	0.0187697404678468	-9.219895	1.6432	1.40792
RyanCt	NF118Sr2b	Post	Leptosomatidae	24684	0.0234641434054237	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Phanodermatidae	6864	0.0219706289619385	-10.829332	0.90625	0.49222
RyanCt	NF118Sr2b	Post	Phanodermatidae	9240	0.0244062028058986	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	9738	0.024448916377408	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	27748	0.0234740901127233	-10.136185	1.0854	0.84567
RyanCt	NF118Sr2b	Post	Leptosomatidae	39205	0.0236777833783783	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	21268	0.0234878497570584	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	30481	0.0240709815350262	-10.136185	1.0854	0.84567
RyanCt	NF118Sr2b	Post	Phanodermatidae	1202	0.0258403150482538	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	29760	0.0240348886669035	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	17780	0.0242132602129658	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	36506	0.0260435037052897	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	8480	0.0239404885541487	-10.136185	1.0854	0.84567
RyanCt	NF118Sr2b	Post	Leptosomatidae	18506	0.0242237117874841	-10.136185	1.0854	0.84567
RyanCt	NF118Sr2b	Post	Leptosomatidae	27725	0.0233388180442489	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	35424	0.0234546632402857	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	32908	0.0241232099651415	-10.136185	1.0854	0.84567
RyanCt	NF118Sr2b	Post	Leptosomatidae	17354	0.0264420278130002	-10.829332	0.90625	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	3927	0.0275571182829914	-10.829332	0.90625	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	30441	0.0233873540745539	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	34708	0.0212851922773784	-10.136185	1.0854	0.84567
RyanCt	NF118Sr2b	Post	Leptosomatidae	13833	0.0258602108353003	-9.730720	1.3224	1.08812
RyanCt	NF118Sr2b	Post	Leptosomatidae	5466	0.0240698148703901	-9.443038	1.50045	1.26772
RyanCt	NF118Sr2b	Post	Leptosomatidae	35589	0.023360150649984	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	3451	0.0255037482981848	-9.443038	1.50045	1.26772
RyanCt	NF118Sr2b	Post	Leptosomatidae	34621	0.0233304212708183	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	16860	0.0257198296789959	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	1513	0.0219128976421023	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	20751	0.0234184578179663	-10.136185	1.2955	0.84567
RyanCt	NF118Sr2b	Post	Leptosomatidae	18256	0.0209769175144291	-8.883422	1.86445	1.61852
RyanCt	NF118Sr2b	Post	Leptosomatidae	31073	0.0193039473102859	-9.443038	1.50045	1.26772
RyanCt	NF118Sr2b	Post	Leptosomatidae	39449	0.0234127853564355	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	30331	0.0254840334151607	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	24807	0.0255039780335233	-9.443038	1.50045	1.26772
RyanCt	NF118Sr2b	Post	Leptosomatidae	14091	0.0255294897261204	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	10942	0.022010824722949	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	35364	0.0242658250935735	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	11139	0.0217880930262791	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	19008	0.0221175809835365	-9.730720	1.3224	1.08812
RyanCt	NF118Sr2b	Post	Leptosomatidae	6441	0.0193098086857187	-9.730720	1.3224	1.08812
RyanCt	NF118Sr2b	Post	Leptosomatidae	24652	0.0238877366967085	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	17522	0.022029108336572	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	13726	0.0239203757173043	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	12955	0.0234671008764022	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	33815	0.0213871774549022	-9.219895	1.6432	1.40792
RyanCt	NF118Sr2b	Post	Leptosomatidae	25324	0.0218137395252406	-8.526747	2.10525	1.83832
RyanCt	NF118Sr2b	Post	Leptosomatidae	31271	0.0244220751491302	-10.136185	1.0854	0.84567
RyanCt	NF118Sr2b	Post	Leptosomatidae	22246	0.0195250322712867	-9.443038	1.50045	1.26772
RyanCt	NF118Sr2b	Post	Leptosomatidae	5022	0.0258466771402605	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	4428	0.0239951066431949	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	12512	0.0191719157038202	-10.136185	1.0854	0.84567
RyanCt	NF118Sr2b	Post	Leptosomatidae	34777	0.0192146793220314	-9.443038	1.50045	1.26772
RyanCt	NF118Sr2b	Post	Leptosomatidae	9047	0.0260233269376465	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	3999	0.0235365686445521	-8.264383	2.28545	1.99792
RyanCt	NF118Sr2b	Post	Leptosomatidae	7147	0.0219890557867326	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	10271	0.0255016771495046	-10.136185	1.0854	0.84567
RyanCt	NF118Sr2b	Post	Leptosomatidae	2975	0.0255335417689418	-10.829332	0.90625	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	2553	0.0216674290432177	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	3113	0.0235697716817402	-10.829332	0.90625	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	34369	0.0196679241667663	-10.829332	0.90625	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	20024	0.0194746744952337	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	15710	0.0219688513528078	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	38789	0.0240420799455693	-10.829332	0.90625	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	819	0.0234377284148163	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	21935	0.0225477295315479	-10.829332	0.90625	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	34584	0.0225256956047581	-10.136185	1.0854	0.84567
RyanCt	NF118Sr2b	Post	Leptosomatidae	38255	0.0216416959422678	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	18794	0.022011817864534	-8.526747	2.10525	1.83832
RyanCt	NF118Sr2b	Post	Leptosomatidae	33965	0.0191539260729916	-9.037573	1.7623	1.52247
RyanCt	NF118Sr2b	Post	Leptosomatidae	19291	0.0213167202330506	-10.136185	1.0854	0.84567
RyanCt	NF118Sr2b	Post	Leptosomatidae	23890	0.0260132652174075	-10.136185	1.0854	0.84567
RyanCt	NF118Sr2b	Post	Phanodermatidae	34840	0.0220244303113207	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	34923	0.0140502849494518	-10.136185	1.2955	0.84567
RyanCt	NF118Sr2b	Post	Leptosomatidae	3124	0.018638250476504	-9.730720	1.3224	1.08812
RyanCt	NF118Sr2b	Post	Leptosomatidae	11063	0.0211012833885468	-9.730720	1.3224	1.08812
RyanCt	NF118Sr2b	Post	Leptosomatidae	2784	0.023457434289267	-9.037573	1.7623	1.52247
RyanCt	NF118Sr2b	Post	Leptosomatidae	10725	0.0166663126540961	-8.883422	1.86445	1.61852
RyanCt	NF118Sr2b	Post	Leptosomatidae	29599	0.0216615676282767	-10.136185	1.0854	0.84567
RyanCt	NF118Sr2b	Post	Leptosomatidae	10728	0.0188292617242375	-10.136185	1.0854	0.84567
RyanCt	NF118Sr2b	Post	Leptosomatidae	19151	0.0239751757179056	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	5074	0.0205522012171838	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	1060	0.0231109812605537	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	14308	0.0226900275282166	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	14666	0.0216918767968829	-8.883422	1.86445	1.61852
RyanCt	NF118Sr2b	Post	Leptosomatidae	17155	0.0250288393613025	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	12073	0.023414520173729	-9.443038	1.50045	1.26772
RyanCt	NF118Sr2b	Post	Leptosomatidae	19903	0.0242412600391659	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	11	0.0254309461583957	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	11041	0.0207524849847496	-10.136185	1.2955	0.84567
RyanCt	NF118Sr2b	Post	Leptosomatidae	8079	0.012987012987013	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	35407	0.0136830791524869	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	34884	0.0254368992120331	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	13129	0.0265472522271878	-10.136185	1.2955	0.84567
RyanCt	NF118Sr2b	Post	Leptosomatidae	27833	0.0171213185866798	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	33180	0.0117555717716215	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	117	0.0201843780655955	-9.730720	1.5469	1.08812
RyanCt	NF118Sr2b	Post	Leptosomatidae	9922	0.0103365384615385	-10.829332	0.90625	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	18338	0.0264525212608945	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	39587	0.0233500030971064	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	29963	0.020183789162519	-9.730720	1.3224	1.08812
RyanCt	NF118Sr2b	Post	Leptosomatidae	35078	0.0162632762150854	-7.884894	2.54955	2.22327
RyanCt	NF118Sr2b	Post	Leptosomatidae	21004	0.0237139887791164	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	6026	0.0233241177581817	-8.190275	2.33675	2.04252
RyanCt	NF118Sr2b	Post	Leptosomatidae	16141	0.0187397815928452	-8.749891	1.95395	1.70117
RyanCt	NF118Sr2b	Post	Leptosomatidae	31019	0.025730385780312	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	38444	0.023913314291003	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	35909	0.0188148140767666	-10.136185	1.0854	0.84567
RyanCt	NF118Sr2b	Post	Leptosomatidae	36599	0.0258321305006191	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	32152	0.0219427664584426	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	12245	0.0257690716441533	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	35024	0.024525108358648	-9.443038	1.50045	1.26772
RyanCt	NF118Sr2b	Post	Leptosomatidae	1873	0.0166402498893381	-10.829332	0.90625	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	14190	0.0256077588696924	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	11553	0.0259329644720622	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	38999	0.0219717536735152	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	20104	0.0234910997369473	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Phanodermatidae	11225	0.0173474837686021	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	2861	0.0208731410241763	-10.136185	1.0854	0.84567
RyanCt	NF118Sr2b	Post	Leptosomatidae	20537	0.0234277987651969	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	27806	0.0255182053421588	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	11830	0.0236567224099195	-10.136185	1.0854	0.84567
RyanCt	NF118Sr2b	Post	Leptosomatidae	37907	0.022024441255804	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	24033	0.0243596000906627	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	13060	0.0193971270590522	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Phanodermatidae	32869	0.0210633676173289	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	5503	0.0215245058898886	-10.136185	1.0854	0.84567
RyanCt	NF118Sr2b	Post	Phanodermatidae	9695	0.0260021338971642	-10.136185	1.0854	0.84567
RyanCt	NF118Sr2b	Post	Phanodermatidae	29606	0.0131382904106306	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	4185	0.0245260694214586	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	39310	0.0210774060568537	-9.443038	1.50045	1.26772
RyanCt	NF118Sr2b	Post	Phanodermatidae	35391	0.0192281648750475	-10.829332	0.90625	0.49222
RyanCt	NF118Sr2b	Post	Phanodermatidae	21412	0.0228901935106005	-10.829332	0.90625	0.49222
RyanCt	NF118Sr2b	Post	Phanodermatidae	12310	0.0199408230451588	-9.037573	2.0034	1.52247
RyanCt	NF118Sr2b	Post	Leptosomatidae	40773	0.0186459104651448	-10.136185	1.0854	0.84567
RyanCt	NF118Sr2b	Post	Leptosomatidae	35873	0.0189259522278288	-10.136185	1.0854	0.84567
RyanCt	NF118Sr2b	Post	Leptosomatidae	13203	0.0238326484468523	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	23190	0.0241867696913636	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	18580	0.0184162555509059	-8.883422	1.86445	1.61852
RyanCt	NF118Sr2b	Post	Leptosomatidae	3383	0.0240729307607706	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	3623	0.0213645598974003	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	36302	0.0166059156322113	-8.056744	2.4295	2.12217
RyanCt	NF118Sr2b	Post	Leptosomatidae	40025	0.0231396773649455	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	11515	0.0241586971387589	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	3391	0.0232964543573447	-9.730720	1.3224	1.08812
RyanCt	NF118Sr2b	Post	Leptosomatidae	18872	0.0255668514696986	-10.136185	1.0854	0.84567
RyanCt	NF118Sr2b	Post	Leptosomatidae	12474	0.0257431691357155	-10.136185	1.0854	0.84567
RyanCt	NF118Sr2b	Post	Leptosomatidae	38887	0.0244198537104166	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	26269	0.0235962643694158	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	14844	0.0235929794526149	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	26971	0.0234791260643948	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	10889	0.0235807999177888	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	32485	0.0239012714272265	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	11829	0.0236176518045011	-10.136185	1.0854	0.84567
RyanCt	NF118Sr2b	Post	Leptosomatidae	10129	0.0234349242003129	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	29936	0.0241258809972012	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	40276	0.0235068465505554	-10.136185	1.0854	0.84567
RyanCt	NF118Sr2b	Post	Leptosomatidae	23971	0.0239527594467903	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	28931	0.0241822116090364	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	35098	0.0235411938886486	-9.730720	1.3224	1.08812
RyanCt	NF118Sr2b	Post	Leptosomatidae	4264	0.0241130734147173	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	22418	0.015439534010374	-1.514272	7.1235	5.32492
RyanCt	NF118Sr2b	Post	Leptosomatidae	21411	0.0234901263009368	-7.938961	2.5117	2.19162
RyanCt	NF118Sr2b	Post	Leptosomatidae	25801	0.0241789414901844	-9.443038	1.50045	1.26772
RyanCt	NF118Sr2b	Post	Leptosomatidae	16844	0.023992442548659	-9.730720	1.3224	1.08812
RyanCt	NF118Sr2b	Post	Leptosomatidae	19312	0.0239040264036858	-9.730720	1.3224	1.08812
RyanCt	NF118Sr2b	Post	Leptosomatidae	20225	0.0193470673748271	-8.264383	2.28545	1.99792
RyanCt	NF118Sr2b	Post	Leptosomatidae	21312	0.0248387500686573	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	20506	0.0163351747586184	-7.533496	2.79675	2.42587
RyanCt	NF118Sr2b	Post	Leptosomatidae	24289	0.023460177826092	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	25780	0.0240659463444125	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	34300	0.0241244981916049	-10.136185	1.0854	0.84567
RyanCt	NF118Sr2b	Post	Leptosomatidae	18121	0.0258989827935018	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	31893	0.023598103819461	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	26277	0.0240462959295048	-10.136185	1.0854	0.84567
RyanCt	NF118Sr2b	Post	Leptosomatidae	19805	0.0241670673071333	-10.136185	1.0854	0.84567
RyanCt	NF118Sr2b	Post	Leptosomatidae	37390	0.0243612890758791	-10.829332	0.73005	0.49222
