site	primer	treatment	taxon	id	distance	abundance_log	abundance_CSS	abundance_DESeq2
BelleairBlvd	NF118Sr2b	Post	Saccharomycetaceae	35155	0.0187761233019854	-7.148346	2.42345	0.49222
BelleairBlvd	NF118Sr2b	Post	Saccharomycetaceae	23222	0.0146290491118077	-7.148346	2.42345	0.49222
ShellfishLab	NF118Sr2b	Post	Saccharomycetaceae	21290	0.0104166666666667	-7.644919	2.4633	0.49222
ShellfishLab	NF118Sr2b	Post	Saccharomycetaceae	14443	0.00625	-2.962788	5.817	3.16802
ShellfishLab	NF118Sr2b	Post	Saccharomycetaceae	11157	0.00625	-2.463136	6.116	3.41487
ShellfishLab	NF118Sr2b	Post	Saccharomycetaceae	25584	0.0145833333333333	-7.644919	2.40435	0.49222
RyanCt	NF118Sr2b	Post	Convolutidae	19974	0.00613496932515337	-10.829332	0.90625	0.49222
RyanCt	NF118Sr2b	Post	Convolutidae	35403	0.0207645115620576	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Convolutidae	23929	0.0121238238885298	-10.829332	0.90625	0.49222
RyanCt	NF118Sr2b	Post	Convolutidae	35278	0.0100725418372477	-10.829332	0.90625	0.49222
RyanCt	NF118Sr2b	Post	Convolutidae	31087	0.00923076923076923	-10.136185	1.0854	0.84567
RyanCt	NF118Sr2b	Post	Convolutidae	28212	0	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Convolutidae	8541	0	-10.829332	0.90625	0.49222
ShellfishLab	NF118Sr2b	Post	Canthocamptidae	10077	0.00940438871473354	-7.644919	2.40435	0.49222
ShellfishLab	NF118Sr2b	Post	Canthocamptidae	3382	0.0120577698163905	-7.644919	2.4633	0.49222
ShellfishLab	NF118Sr2b	Post	Canthocamptidae	36594	0.0120577698163905	-7.644919	2.40435	0.49222
ShellfishLab	NF118Sr2b	Post	Canthocamptidae	37777	0.0120577698163905	-7.644919	2.4633	0.49222
ShellfishLab	NF118Sr2b	Post	Canthocamptidae	5144	0.0102720555306762	-4.243722	4.8325	2.48557
ShellfishLab	NF118Sr2b	Post	Canthocamptidae	34966	0.0102720555306762	-4.277624	4.869	2.46642
ShellfishLab	NF118Sr2b	Post	Canthocamptidae	24867	0.0120577698163905	-7.644919	2.40435	0.49222
ShellfishLab	NF118Sr2b	Post	Canthocamptidae	24937	0.0120577698163905	-7.644919	2.40435	0.49222
RyanCt	NF118Sr2b	Post	Phanodermatidae	5185	0.0181543881547203	-10.829332	0.90625	0.49222
RyanCt	NF118Sr2b	Post	Phanodermatidae	35325	0.0119436370868749	-10.136185	1.0854	0.84567
RyanCt	NF118Sr2b	Post	Phanodermatidae	120	0.0128273377373977	-9.037573	2.0034	1.52247
RyanCt	NF118Sr2b	Post	Phanodermatidae	1492	0.0139984312452667	-10.829332	0.73005	0.49222
RyanCt	NF118Sr2b	Post	Phanodermatidae	33448	0.00952380952380952	-10.829332	0.73005	0.49222
BayfrontPark	NF118Sr2b	Post	Xyalidae	9623	0.00625	-4.214304	4.40425	2.15802
BayfrontPark	NF118Sr2b	Post	Xyalidae	23241	0.00625	-3.956475	4.55295	2.30842
BayfrontPark	NF118Sr2b	Post	Xyalidae	19003	0.0125	-7.047517	2.38585	0.49222
BayfrontPark	NF118Sr2b	Post	Xyalidae	20026	0	-4.744932	3.98575	1.83832
BayfrontPark	NF118Sr2b	Post	Xyalidae	32849	0	-4.968076	3.86235	1.70117
RyanCt	NF118Sr2b	Post	Phanodermatidae	28208	0.022960339123449	-10.829332	0.90625	0.49222
RyanCt	NF118Sr2b	Post	Phanodermatidae	27386	0.021379025708003	-10.829332	0.90625	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	9685	0.0165787130524447	-8.344426	2.4806	1.94947
RyanCt	NF118Sr2b	Post	Leptosomatidae	18977	0.0234404008624789	-10.829332	0.90625	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	18891	0.0166827853384509	-9.037573	2.0034	1.52247
RyanCt	NF118Sr2b	Post	Leptosomatidae	16320	0.0166018676882909	-7.738290	2.90725	2.30842
RyanCt	NF118Sr2b	Post	Leptosomatidae	20406	0.0234760952189153	-10.829332	0.90625	0.49222
RyanCt	NF118Sr2b	Post	Phanodermatidae	7126	0.0183719539292004	-10.829332	0.90625	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	19934	0.0195927551257957	-9.730720	1.5469	1.08812
RyanCt	NF118Sr2b	Post	Phanodermatidae	25018	0.0172727254409919	-10.829332	0.90625	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	31394	0.0235679015315128	-10.829332	0.90625	0.49222
RyanCt	NF118Sr2b	Post	Leptosomatidae	1739	0.0238590333917325	-10.829332	0.90625	0.49222
